actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-14T19:41:02.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-14T19:41:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-14T19:41:05.1Z,1,REGULAR,jumpball,recovered,[],1631204,,,1610612765,0,0,2024-04-14T19:41:05Z,40000,False,,,0,,Jump Ball J. Wiseman vs. Z. Collins: Tip to M. Sasser,"[1631204, 1630164, 1628380]",1610612765.0,DET,startperiod,M. Sasser,1631204.0,Sasser,M. Sasser,Wiseman,1630164.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-04-14T19:41:16.8Z,1,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612765,0,0,2024-04-14T19:41:29Z,70000,False,,,0,,Z. Collins shooting personal FOUL (1 PF) (Wiseman 2 FT),"[1628380, 1630164]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,202053.0,1.0,0.0,Wiseman,1630164.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-04-14T19:41:39.2Z,1,REGULAR,freethrow,1 of 2,[],1630164,,,1610612765,0,1,2024-04-14T19:41:39Z,90000,False,,,0,,J. Wiseman Free Throw 1 of 2 (1 PTS),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2024-04-14T19:41:54.2Z,1,REGULAR,freethrow,2 of 2,[],1630164,,,1610612765,0,2,2024-04-14T19:41:54Z,100000,False,,,0,,J. Wiseman Free Throw 2 of 2 (2 PTS),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M35.00S,2024-04-14T19:42:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630577,6.1268068331143235,47.30392156862745,1610612759,2,2,2024-04-14T19:42:14Z,110000,False,13.0,5.0,1,left,J. Champagnie driving reverse Layup (2 PTS) (B. Wesley 1 AST),"[1630577, 1631104]",1610612759.0,SAS,driving reverse,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.44,B. Wesley,1631104.0,1.0,,,,,,,,,
13,PT11M18.00S,2024-04-14T19:42:26.6Z,1,REGULAR,turnover,traveling,[],1631204,,,1610612765,2,2,2024-04-14T19:42:33Z,130000,False,,,0,,M. Sasser traveling TURNOVER (1 TO),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,16-24 Left,1662.0,,,,,,,,,,,1.0,,,,,,,,
14,PT11M06.00S,2024-04-14T19:42:44.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628380,20.318659658344284,49.26470588235294,1610612759,2,2,2024-04-14T19:42:51Z,140000,False,4.0,138.0,1,left,MISS Z. Collins 13' Jump Shot,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,13.85,,,,,,,,,,,,
15,PT11M01.00S,2024-04-14T19:42:49.7Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612765,2,2,2024-04-14T19:42:51Z,150000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M47.00S,2024-04-14T19:43:02.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630164,92.72339027595268,48.77450980392157,1610612765,2,2,2024-04-14T19:43:24Z,160000,False,-6.0,16.0,1,right,MISS J. Wiseman cutting DUNK,[1630164],1610612765.0,DET,cutting,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.7,,,,,,,,,,,,
17,PT10M46.00S,2024-04-14T19:43:03.6Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,2,2,2024-04-14T19:43:05Z,170000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M31.00S,2024-04-14T19:43:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,7.178055190538765,51.225490196078425,1610612759,2,2,2024-04-14T19:44:16Z,180000,False,-6.0,15.0,1,left,MISS T. Jones driving finger roll Layup,[1630200],1610612759.0,SAS,driving finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.62,,,,,,,,,,,,
19,PT10M29.00S,2024-04-14T19:43:21.0Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612765,2,2,2024-04-14T19:43:25Z,190000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:2),[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,18.0,2.0,2.0,0.0,,,,
20,PT10M22.00S,2024-04-14T19:43:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,93.9060446780552,47.794117647058826,1610612765,2,4,2024-04-14T19:44:56Z,200000,False,-11.0,5.0,1,right,J. Ivey driving finger roll Layup (2 PTS),[1631093],1610612765.0,DET,driving finger roll,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.2,,,,,,,,,,,,
22,PT10M11.00S,2024-04-14T19:43:40.1Z,1,REGULAR,3pt,Jump Shot,[],1630572,27.677398160315374,20.588235294117645,1610612759,5,4,2024-04-14T19:43:45Z,220000,False,147.0,208.0,1,left,S. Mamukelashvili 25' 3PT  (3 PTS) (Z. Collins 1 AST),"[1630572, 1628380]",1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,25.45,Z. Collins,1628380.0,1.0,,,,,,,,,
24,PT09M57.00S,2024-04-14T19:43:54.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631204,85.49605781865965,51.225490196078425,1610612765,5,6,2024-04-14T19:45:47Z,240000,False,6.0,84.0,1,right,M. Sasser 8' driving floating Jump Shot (2 PTS),[1631204],1610612765.0,DET,driving floating,,,Sasser,M. Sasser,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,8.4,,,,,,,,,,,,
25,PT09M46.00S,2024-04-14T19:44:04.4Z,1,REGULAR,3pt,Jump Shot,[],1630577,27.414586070959263,21.07843137254902,1610612759,5,6,2024-04-14T19:44:14Z,250000,False,145.0,205.0,1,left,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.1,,,,,,,,,,,,
26,PT09M46.00S,2024-04-14T19:44:04.4Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,5,6,2024-04-14T19:44:14Z,260000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,
27,PT09M36.00S,2024-04-14T19:44:16.6Z,1,REGULAR,foul,personal,[],1630200,,,1610612765,5,6,2024-04-14T19:44:41Z,270000,False,,,0,,T. Jones personal FOUL (1 PF),"[1630200, 1631204]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,1662.0,1.0,0.0,Sasser,1631204.0,,,,,,,,,,,,,,,
29,PT09M31.00S,2024-04-14T19:44:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630164,81.02825229960578,58.08823529411765,1610612765,5,6,2024-04-14T19:47:24Z,290000,False,40.0,126.0,1,right,MISS J. Wiseman 13' turnaround fadeaway Shot,[1630164],1610612765.0,DET,turnaround fadeaway,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,13.21,,,,,,,,,,,,
30,PT09M27.00S,2024-04-14T19:44:41.6Z,1,REGULAR,rebound,defensive,[],1631104,,,1610612759,5,6,2024-04-14T19:47:24Z,300000,False,,,0,,B. Wesley REBOUND (Off:0 Def:1),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,
31,PT09M15.00S,2024-04-14T19:44:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,6.521024967148489,46.81372549019608,1610612759,7,6,2024-04-14T19:45:00Z,310000,False,16.0,9.0,1,left,S. Mamukelashvili driving finger roll Layup (5 PTS) (J. Champagnie 1 AST),"[1630572, 1630577]",1610612759.0,SAS,driving finger roll,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,1.82,J. Champagnie,1630577.0,1.0,,,,,,,,,
33,PT08M58.00S,2024-04-14T19:45:09.5Z,1,REGULAR,turnover,lost ball,[],1629002,,,1610612765,7,6,2024-04-14T19:45:15Z,330000,False,,,0,,C. Metu lost ball TURNOVER (1 TO),"[1629002, 1628380]",1610612765.0,DET,,,,Metu,C. Metu,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,1.0,,,,,Collins,1628380.0,,
34,PT08M58.00S,2024-04-14T19:45:09.5Z,1,REGULAR,steal,,[],1628380,,,1610612759,7,6,2024-04-14T19:47:51Z,340000,False,,,0,,Z. Collins STEAL (1 STL),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
35,PT08M53.00S,2024-04-14T19:45:14.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630200,26.49474375821288,80.3921568627451,1610612759,7,6,2024-04-14T19:48:34Z,350000,False,-152.0,197.0,1,left,MISS T. Jones 24' running 3PT,[1630200],1610612759.0,SAS,running,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,24.85,,,,,,,,,,,,
36,PT08M48.00S,2024-04-14T19:45:19.8Z,1,REGULAR,rebound,offensive,[],1628380,,,1610612759,7,6,2024-04-14T19:45:21Z,360000,False,,,0,,Z. Collins REBOUND (Off:1 Def:0),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,35.0,1.0,0.0,1.0,,,,
37,PT08M48.00S,2024-04-14T19:45:20.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1628380,5.590000152587891,50.0,1610612759,7,6,2024-04-14T19:45:22Z,370000,False,0.0,0.0,1,left,MISS Z. Collins putback Layup,[1628380],1610612759.0,SAS,putback,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,Missed,,0.0,,,,,,,,,,,,
38,PT08M48.00S,2024-04-14T19:45:20.0Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,7,6,2024-04-14T20:16:31Z,380000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:2),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,
