actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-14T01:10:32.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-14T01:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-14T01:10:36.5Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2023-12-14T01:10:36Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. A. Davis: Tip to K. Johnson,"[1629640, 1641705, 203076]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Wembanyama,1641705.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-14T01:10:50.3Z,1,REGULAR,turnover,bad pass,[],1631103,,,1610612759,0,0,2023-12-14T01:11:27Z,70000,False,,,0,,M. Branham bad pass TURNOVER (1 TO),"[1631103, 203076]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,Mid-Range,8-16 Left,1.0,Davis,203076.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-12-14T01:10:50.3Z,1,REGULAR,steal,,[],203076,,,1610612747,0,0,2023-12-14T01:10:52Z,80000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2023-12-14T01:11:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203076,8.09789750328515,53.431372549019606,1610612747,0,0,2023-12-14T01:11:38Z,90000,False,-17.0,24.0,1,left,MISS A. Davis driving finger roll Layup,[203076],1610612747.0,LAL,driving finger roll,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,2.92,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2023-12-14T01:11:03.0Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,0,2023-12-14T01:11:03Z,100000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M23.00S,2023-12-14T01:11:10.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631110,93.64323258869908,50.73529411764706,1610612759,2,0,2023-12-14T01:11:45Z,110000,False,4.0,7.0,1,right,J. Sochan cutting DUNK (2 PTS) (V. Wembanyama 1 AST),"[1631110, 1641705]",1610612759.0,SAS,cutting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,0.82,Made,,,,,2.0,V. Wembanyama,1641705.0,1.0,,,,,,,
13,PT11M23.00S,2023-12-14T01:11:14.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,2,0,2023-12-14T01:11:14Z,130000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2023-12-14T01:14:53.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.122864651773984,73.77450980392157,1610612747,2,0,2023-12-14T01:15:00Z,140000,False,-119.0,221.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,25.12,Missed,,,,,,,,,,,,,,,
15,PT11M03.00S,2023-12-14T01:14:57.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,0,2023-12-14T01:15:00Z,150000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
