actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-04T00:12:22.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-04T00:12:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-04T00:12:24.1Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2024-03-04T00:12:24Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. M. Turner: Tip to T. Jones,"[1630200, 1641705, 1626167]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Wembanyama,1641705.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-04T00:12:37.5Z,1,REGULAR,3pt,Jump Shot,[],1630170,30.436925098554536,74.01960784313727,1610612759,0,0,2024-03-04T00:12:45Z,70000,False,-120.0,234.0,1,left,MISS D. Vassell 26' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-03-04T00:12:44.5Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,0,0,2024-03-04T00:12:45Z,80000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:0),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2024-03-04T00:12:43.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641705,5.590000152587891,50.0,1610612759,2,0,2024-03-04T00:12:43Z,90000,False,0.0,0.0,1,left,V. Wembanyama tip DUNK (2 PTS),[1641705],1610612759.0,SAS,tip,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M18.00S,2024-03-04T00:13:03.3Z,1,REGULAR,3pt,Jump Shot,[],1629614,68.67608409986859,63.970588235294116,1610612754,2,0,2024-03-04T00:13:07Z,100000,False,70.0,242.0,1,right,MISS A. Nembhard 25' pullup 3PT,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,25.18,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2024-03-04T00:13:04.3Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,0,2024-03-04T00:13:07Z,110000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12,PT11M13.00S,2024-03-04T00:13:11.6Z,1,REGULAR,foul,personal,[],1627783,,,1610612759,2,0,2024-03-04T00:13:21Z,120000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1641705]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,2004.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,
15,PT11M00.00S,2024-03-04T00:13:52.8Z,1,REGULAR,turnover,lost ball,[],1630170,,,1610612759,2,0,2024-03-04T00:13:59Z,150000,False,,,0,,D. Vassell lost ball TURNOVER (1 TO),"[1630170, 1630174]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Nesmith,1630174.0,,,,,
16,PT11M00.00S,2024-03-04T00:13:52.8Z,1,REGULAR,steal,,[],1630174,,,1610612754,2,0,2024-03-04T00:13:55Z,160000,False,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
