actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-01-23T01:40:24.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-23T01:40:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-23T01:40:26.9Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2024-01-23T01:40:26Z,40000,False,,,0,,Jump Ball A. Horford vs. D. Lively II: Tip to J. Tatum,"[1628369, 201143, 1641726]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Horford,201143.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-01-23T01:40:34.6Z,1,REGULAR,2pt,Jump Shot,[],1627759,8.409986859395532,78.94454656862744,1610612738,0,0,2024-01-23T01:40:41Z,70000,False,-145.0,27.0,1,left,MISS J. Brown 14' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,14.71,Missed,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-01-23T01:40:36.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2024-01-23T01:40:41Z,80000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2024-01-23T01:40:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,94.56307490144546,54.65686274509803,1610612742,2,0,2024-01-23T01:41:24Z,90000,False,23.0,-1.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M10.00S,2024-01-23T01:41:12.9Z,1,REGULAR,3pt,Jump Shot,[],201143,23.603810775295663,12.745098039215685,1610612738,2,0,2024-01-23T01:41:16Z,100000,False,186.0,169.0,1,left,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,25.18,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2024-01-23T01:41:13.9Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612742,2,0,2024-01-23T01:41:16Z,110000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M02.00S,2024-01-23T01:41:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630182,93.9060446780552,51.9607843137255,1610612742,2,0,2024-01-23T01:41:34Z,120000,False,10.0,5.0,1,right,MISS J. Green driving Layup - blocked,"[1630182, 1628401]",1610612742.0,DAL,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.09,Missed,,,,,,White,1628401.0,,,,,,,,,,,
13,PT11M02.00S,2024-01-23T01:41:23.2Z,1,REGULAR,block,,[],1628401,,,1610612742,2,0,2024-01-23T01:41:26Z,130000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2024-01-23T01:41:24.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,2,0,2024-01-23T01:41:34Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,12.0,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2024-01-23T01:41:51.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627884,91.27792378449409,56.86274509803921,1610612742,2,0,2024-01-23T01:41:55Z,160000,False,34.0,29.0,1,right,MISS D. Jones Jr. turnaround Hook,[1627884],1610612742.0,DAL,turnaround,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.52,Missed,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2024-01-23T01:41:53.3Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,2,0,2024-01-23T01:41:55Z,170000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M42.00S,2024-01-23T01:42:02.2Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612738,2,0,2024-01-23T01:42:10Z,180000,False,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[201950, 202681]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1.0,Irving,202681.0,,,,,,,,
19,PT10M42.00S,2024-01-23T01:42:02.2Z,1,REGULAR,steal,,[],202681,,,1610612742,2,0,2024-01-23T01:42:03Z,190000,False,,,0,,K. Irving STEAL (1 STL),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT10M31.00S,2024-01-23T01:42:10.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627884,73.01248357424441,82.35294117647058,1610612742,2,0,2024-01-23T01:43:02Z,200000,False,162.0,201.0,1,right,MISS D. Jones Jr. 25' pullup 3PT,[1627884],1610612742.0,DAL,pullup,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Right Center,25.82,Missed,,,,,,,,,,,,,,,,,,
