actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-02T00:40:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-02T00:40:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-02T00:40:49.4Z,1,REGULAR,jumpball,recovered,[],1631223,,,1610612763,0,0,2023-12-02T00:40:49Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. D. Lively II: Tip to D. Roddy,"[1631223, 1628991, 1641726]",1610612763.0,MEM,startperiod,D. Roddy,1631223.0,Roddy,D. Roddy,Jackson Jr.,1628991.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-02T00:41:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,91.67214191852825,48.529411764705884,1610612763,0,0,2023-12-02T00:41:12Z,70000,False,-7.0,26.0,1,right,MISS J. Jackson Jr. driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-12-02T00:41:10.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2023-12-02T00:41:10Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2023-12-02T00:41:32.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631223,80.3712220762155,92.15686274509804,1610612763,0,0,2023-12-02T00:41:37Z,100000,False,211.0,132.0,1,right,MISS D. Roddy 24' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Right Center,24.87,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2023-12-02T00:41:37.0Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,0,0,2023-12-02T00:41:37Z,110000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Above the Break 3,24+ Right Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M17.00S,2023-12-02T00:41:48.8Z,1,REGULAR,turnover,out-of-bounds,[],1630182,,,1610612742,0,0,2023-12-02T00:41:53Z,120000,False,,,0,,J. Green bad pass out-of-bounds TURNOVER (1 TO),[1630182],1610612742.0,DAL,bad pass,,,Green,J. Green,,,,,Mid-Range,16-24 Right,,,,,,,2714.0,1.0,,,,,,,,,,,,
13,PT11M02.00S,2023-12-02T00:42:07.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630217,74.32654402102497,75.98039215686273,1610612763,0,0,2023-12-02T00:42:11Z,130000,False,130.0,189.0,1,right,MISS D. Bane 22' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,22.92,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2023-12-02T00:42:09.3Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612742,0,0,2023-12-02T00:42:11Z,140000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,Mid-Range,16-24 Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M55.00S,2023-12-02T00:42:14.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629684,33.98488830486202,41.17647058823529,1610612742,0,0,2023-12-02T00:44:09Z,150000,False,44.0,267.0,1,left,MISS G. Williams 27' running 3PT,[1629684],1610612742.0,DAL,running,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,27.06,Missed,,,,,,,,,,,,,,,,,,
