actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-25T01:40:59.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-25T01:40:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-25T01:41:02.0Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612742,0,0,2024-01-25T01:41:02Z,40000,False,,,0,,Jump Ball D. Lively II vs. J. Nurkic: Tip to J. Green,"[1630182, 1641726, 203994]",1610612742.0,DAL,startperiod,J. Green,1630182.0,Green,J. Green,Lively II,1641726.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-01-25T01:41:25.1Z,1,REGULAR,3pt,Jump Shot,[],1629684,68.80749014454665,31.127450980392158,1610612742,3,0,2024-01-25T01:41:30Z,70000,False,-94.0,241.0,1,right,G. Williams 25' 3PT  (3 PTS) (J. Green 1 AST),"[1629684, 1630182]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Left Center,25.85,Made,3.0,J. Green,1630182.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2024-01-25T01:41:43.3Z,1,REGULAR,turnover,out-of-bounds,[],203994,,,1610612756,3,0,2024-01-25T01:41:49Z,90000,False,,,0,,J. Nurkic bad pass out-of-bounds TURNOVER (1 TO),[203994],1610612756.0,PHX,bad pass,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,,,,,2714.0,1.0,,,,,,,,,,,,
10,PT10M59.00S,2024-01-25T01:42:08.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,67.09921156373193,66.42156862745098,1610612742,3,0,2024-01-25T01:42:12Z,100000,False,82.0,257.0,1,right,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,26.96,Missed,,,,,,,,,,,,,,,,,,
11,PT10M57.00S,2024-01-25T01:42:10.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,3,0,2024-01-25T01:42:12Z,110000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M46.00S,2024-01-25T01:42:20.8Z,1,REGULAR,3pt,Jump Shot,[],1626164,24.655059132720105,85.7843137254902,1610612756,3,0,2024-01-25T01:42:26Z,120000,False,-179.0,179.0,1,left,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2024-01-25T01:42:24.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,3,0,2024-01-25T01:42:24Z,130000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,
14,PT10M40.00S,2024-01-25T01:42:27.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203078,6.258212877792378,49.754901960784316,1610612756,3,2,2024-01-25T01:42:31Z,140000,False,1.0,6.0,1,left,B. Beal cutting DUNK (2 PTS) (G. Allen 1 AST),"[203078, 1628960]",1610612756.0,PHX,cutting,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,0.64,Made,2.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,
16,PT10M23.00S,2024-01-25T01:42:43.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,95.22010512483574,4.166666666666666,1610612742,6,2,2024-01-25T01:42:48Z,160000,False,-229.0,-8.0,1,right,G. Williams 3PT  (6 PTS) (D. Jones Jr. 1 AST),"[1629684, 1627884]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,22.93,Made,6.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,,,,
