actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-12-03T02:10:10.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-03T02:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-03T02:10:13.0Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2023-12-03T02:10:13Z,40000,False,,,0,,Jump Ball C. Holmgren vs. D. Lively II: Tip to J. Giddey,"[1630581, 1631096, 1641726]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2023-12-03T02:10:22.6Z,1,REGULAR,foul,personal,[],203552,,,1610612760,0,0,2023-12-03T02:10:44Z,70000,False,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1630581]",1610612742.0,DAL,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,2003.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2023-12-03T02:10:50.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.964520367936925,51.19485294117647,1610612760,0,0,2023-12-03T02:11:03Z,90000,False,-6.0,13.0,1,left,MISS J. Giddey driving Layup - blocked,"[1630581, 1641726]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,1.43,Missed,Lively II,1641726.0,,,,,,,,,,,
10,PT11M41.00S,2023-12-03T02:10:50.4Z,1,REGULAR,block,,[],1641726,,,1610612760,0,0,2023-12-03T02:10:53Z,100000,False,,,0,,D. Lively II BLOCK (1 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M39.00S,2023-12-03T02:10:52.4Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,0,0,2023-12-03T02:11:03Z,110000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,
12,PT11M29.00S,2023-12-03T02:11:04.2Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,0,0,2023-12-03T02:11:24Z,120000,False,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,,,,,,
13,PT11M14.00S,2023-12-03T02:11:26.9Z,1,REGULAR,foul,personal,[],1629684,,,1610612760,0,0,2023-12-03T02:11:34Z,130000,False,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 1631096]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,Mid-Range,8-16 Left,203591.0,1.0,0.0,Holmgren,1631096.0,,,,,,,,,,,,,,,
15,PT11M07.00S,2023-12-03T02:11:48.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630581,6.258212877792378,96.56862745098039,1610612760,0,0,2023-12-03T02:13:37Z,150000,False,-233.0,6.0,1,left,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,,,,23.29,Missed,,,,,,,,,,,,,
16,PT11M04.00S,2023-12-03T02:11:50.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2023-12-03T02:11:50Z,160000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Left Corner 3,24+ Left,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT10M59.00S,2023-12-03T02:11:57.2Z,1,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612742,0,0,2023-12-03T02:12:07Z,170000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Lively II 2 FT),"[1631096, 1641726]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1204.0,1.0,0.0,Lively II,1641726.0,,,,,,,,,,,,,,,
19,PT10M59.00S,2023-12-03T02:12:29.2Z,1,REGULAR,freethrow,1 of 2,[],1641726,,,1610612742,0,0,2023-12-03T02:12:29Z,190000,False,,,0,,MISS D. Lively II Free Throw 1 of 2,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
20,PT10M59.00S,2023-12-03T02:12:29.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,0,0,2023-12-03T02:12:29Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,
21,PT10M59.00S,2023-12-03T02:12:44.9Z,1,REGULAR,freethrow,2 of 2,[],1641726,,,1610612742,0,0,2023-12-03T02:12:44Z,210000,False,,,0,,MISS D. Lively II Free Throw 2 of 2,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
22,PT10M57.00S,2023-12-03T02:12:46.1Z,1,REGULAR,rebound,offensive,[],1629029,,,1610612742,0,0,2023-12-03T02:12:46Z,220000,False,,,0,,L. Doncic REBOUND (Off:1 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,21.0,2.0,1.0,1.0,,,,,,,
23,PT10M54.00S,2023-12-03T02:12:47.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629029,88.12417871222075,79.90196078431373,1610612742,0,0,2023-12-03T02:13:50Z,230000,False,150.0,59.0,1,right,MISS L. Doncic 16' bank Shot,[1629029],1610612742.0,DAL,bank,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Right,,,,,,16.08,Missed,,,,,,,,,,,,,
24,PT10M52.00S,2023-12-03T02:12:49.9Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,0,0,2023-12-03T02:13:51Z,240000,False,,,0,,D. Lively II REBOUND (Off:1 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,16-24 Right,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,
25,PT10M51.00S,2023-12-03T02:12:51.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641726,94.1688567674113,49.50980392156863,1610612742,2,0,2023-12-03T02:14:03Z,250000,False,-2.0,2.0,1,right,D. Lively II tip DUNK (2 PTS),[1641726],1610612742.0,DAL,tip,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,0.34,Made,,,,,,,,2.0,,,,,
26,PT10M37.00S,2023-12-03T02:13:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,14.536793692509855,61.274509803921575,1610612760,2,0,2023-12-03T02:19:28Z,260000,False,-56.0,84.0,1,left,MISS C. Holmgren 10' Jump Shot,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Left,,,,,,10.13,Missed,,,,,,,,,,,,,
27,PT10M37.00S,2023-12-03T02:13:09.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,2,0,2023-12-03T02:13:09Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,26.0,,,,,,,,,,
29,PT10M34.00S,2023-12-03T02:13:28.3Z,1,REGULAR,foul,personal,[],1627884,,,1610612760,2,0,2023-12-03T02:13:40Z,290000,False,,,0,,D. Jones Jr. personal FOUL (1 PF),"[1627884, 1628983]",1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,1204.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
31,PT10M25.00S,2023-12-03T02:13:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,7.835085413929041,56.61764705882353,1610612760,2,0,2023-12-03T03:18:18Z,310000,False,-33.0,21.0,1,left,MISS J. Giddey driving Layup - blocked,"[1630581, 1627884]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,3.93,Missed,Jones Jr.,1627884.0,,,,,,,,,,,
32,PT10M25.00S,2023-12-03T02:13:52.7Z,1,REGULAR,block,,[],1627884,,,1610612760,2,0,2023-12-03T02:13:56Z,320000,False,,,0,,D. Jones Jr. BLOCK (1 BLK),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT10M24.00S,2023-12-03T02:13:53.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,2,0,2023-12-03T02:14:09Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,31.0,,,,,,,,,,
35,PT10M21.00S,2023-12-03T02:14:13.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631114,13.091327201051248,85.29411764705883,1610612760,2,0,2023-12-03T03:18:55Z,350000,False,-176.0,71.0,1,left,MISS J. Williams 19' fadeaway Shot,[1631114],1610612760.0,OKC,fadeaway,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left,,,,,,19.01,Missed,,,,,,,,,,,,,
36,PT10M19.00S,2023-12-03T02:14:15.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,0,2023-12-03T02:19:30Z,360000,False,,,0,,L. Doncic REBOUND (Off:1 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left,,,,,,,,,,35.0,3.0,2.0,1.0,,,,,,,
37,PT10M13.00S,2023-12-03T02:14:20.7Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,2,0,2023-12-03T02:14:33Z,370000,False,,,0,,L. Doncic lost ball TURNOVER (2 TO),"[1629029, 1628983]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,2.0,,Gilgeous-Alexander,1628983.0,,,
38,PT10M13.00S,2023-12-03T02:14:20.7Z,1,REGULAR,steal,,[],1628983,,,1610612760,2,0,2023-12-03T02:14:23Z,380000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
39,PT10M09.00S,2023-12-03T02:14:25.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628983,6.783837056504599,50.98039215686274,1610612760,2,0,2023-12-03T03:20:04Z,390000,False,-5.0,11.0,1,left,MISS S. Gilgeous-Alexander running Layup,[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,1.23,Missed,,,,,,,,,,,,,
40,PT10M09.00S,2023-12-03T02:14:25.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,2,0,2023-12-03T02:14:41Z,400000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,39.0,,,,,,,,,,
42,PT10M00.00S,2023-12-03T02:14:42.7Z,1,REGULAR,2pt,Jump Shot,[],203552,78.36727989487517,75.0,1610612742,2,0,2023-12-03T02:17:47Z,420000,False,125.0,151.0,1,right,MISS S. Curry 19' pullup Shot,[203552],1610612742.0,DAL,pullup,,,Curry,S. Curry,,,,,Mid-Range,16-24 Right Center,,,,,,19.59,Missed,,,,,,,,,,,,,
