actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-04-06T00:40:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-06T00:40:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-06T00:40:54.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612742,0,0,2024-04-06T00:40:54Z,40000,False,,,0,,Jump Ball D. Gafford vs. T. Jackson-Davis: Tip to Team (DAL),"[1629655, 1631218]",1610612742.0,DAL,startperiod,Team (DAL),Gafford,1629655.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2024-04-06T00:41:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,7.046649145860711,54.90196078431373,1610612742,2,0,2024-04-06T00:41:16Z,80000,False,-25.0,14.0,1,left,K. Irving cutting Layup (2 PTS) (D. Gafford 1 AST),"[202681, 1629655]",1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,2.81,Made,2.0,Irving,K. Irving,D. Gafford,1629655.0,1.0,,,,,,,,,,,,,,,
10,PT11M31.00S,2024-04-06T00:41:26.9Z,1,REGULAR,3pt,Jump Shot,[],1630541,78.26872536136662,88.23529411764706,1610612744,2,0,2024-04-06T00:41:34Z,100000,False,191.0,152.0,1,right,MISS M. Moody 24' 3PT,[1630541],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,24.41,Missed,,Moody,M. Moody,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2024-04-06T00:41:29.9Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,2,0,2024-04-06T00:41:34Z,110000,False,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Green,D. Green,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,
12,PT11M26.00S,2024-04-06T00:41:32.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,69.85873850197109,28.186274509803923,1610612744,2,0,2024-04-06T00:41:36Z,120000,False,-109.0,231.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,25.53,Missed,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2024-04-06T00:41:33.4Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,2,0,2024-04-06T00:47:01Z,130000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Gafford,D. Gafford,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M05.00S,2024-04-06T00:41:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203957,7.966491458607096,47.30392156862745,1610612742,4,0,2024-04-06T00:41:59Z,140000,False,13.0,22.0,1,left,D. Exum driving finger roll Layup (2 PTS) (P. Washington 1 AST),"[203957, 1629023]",1610612742.0,DAL,driving finger roll,,,,,,Restricted Area,0-8 Center,2.62,Made,2.0,Exum,D. Exum,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,,
16,PT10M50.00S,2024-04-06T00:42:08.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630541,93.77463863337714,52.450980392156865,1610612744,4,0,2024-04-06T00:42:29Z,160000,False,12.0,6.0,1,right,MISS M. Moody cutting Layup,[1630541],1610612744.0,GSW,cutting,,,,,,Restricted Area,0-8 Center,1.37,Missed,,Moody,M. Moody,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2024-04-06T00:42:10.0Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,4,0,2024-04-06T00:42:14Z,170000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,Irving,K. Irving,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
