actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-13T00:35:20.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-13T00:35:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-13T00:35:22.8Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2023-12-13T00:35:22Z,40000,False,,,0,,Jump Ball A. Davis vs. D. Lively II: Tip to L. James,"[2544, 203076, 1641726]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-13T00:35:38.2Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612747,0,0,2023-12-13T00:35:42Z,70000,False,,,0,,A. Davis lost ball TURNOVER (1 TO),"[203076, 1641726]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,1.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-12-13T00:35:38.2Z,1,REGULAR,steal,,[],1641726,,,1610612742,0,0,2023-12-13T00:35:39Z,80000,False,,,0,,D. Lively II STEAL (1 STL),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2023-12-13T00:35:51.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1641726,89.83245729303549,56.372549019607845,1610612742,2,0,2023-12-13T00:35:56Z,90000,False,32.0,43.0,1,right,D. Lively II turnaround Hook (2 PTS) (L. Doncic 1 AST),"[1641726, 1629029]",1610612742.0,DAL,turnaround,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,5.36,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
11,PT11M18.00S,2023-12-13T00:36:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,6.652431011826544,49.50980392156863,1610612747,2,2,2023-12-13T00:36:07Z,110000,False,2.0,10.0,1,left,C. Reddish cutting Layup (2 PTS) (L. James 1 AST),"[1629629, 2544]",1610612747.0,LAL,cutting,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,,,,1.03,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,
13,PT11M01.00S,2023-12-13T00:36:18.8Z,1,REGULAR,3pt,Jump Shot,[],203552,91.14651773981603,96.07843137254902,1610612742,2,2,2023-12-13T00:36:24Z,130000,False,230.0,31.0,1,right,MISS S. Curry 3PT,[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,,,,23.24,Missed,,,,,,,,,,,,,,,
14,PT11M00.00S,2023-12-13T00:36:19.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,2,2,2023-12-13T00:36:24Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,13.0,,,,,,,,,,
15,PT11M00.00S,2023-12-13T00:36:24.4Z,1,REGULAR,foul,personal,[],1641726,,,1610612747,2,2,2023-12-13T00:36:48Z,150000,False,,,0,,D. Lively II loose ball personal FOUL (1 PF),"[1641726, 2544]",1610612742.0,DAL,loose ball,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202049.0,1.0,0.0,James,2544.0,,,,,
17,PT10M52.00S,2023-12-13T00:36:45.6Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612747,2,2,2023-12-13T00:36:50Z,170000,False,,,0,,D. Russell lost ball TURNOVER (1 TO),"[1626156, 203957]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,1.0,Exum,203957.0,,,,,,,,,,,,,,,,,
