actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2024-04-07T19:40:19.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-07T19:40:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-07T19:40:21.8Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2024-04-07T19:40:21Z,40000,False,,,0,,Jump Ball D. Gafford vs. J. Smith Jr.: Tip to L. Doncic,"[1629029, 1629655, 1631095]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Gafford,1629655.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-04-07T19:40:33.8Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,0,0,2024-04-07T19:40:42Z,70000,False,,,0,,L. Doncic lost ball TURNOVER (1 TO),"[1629029, 1630224]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Right Center,1.0,Green,1630224.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-04-07T19:40:33.8Z,1,REGULAR,steal,,[],1630224,,,1610612745,0,0,2024-04-07T19:40:35Z,80000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2024-04-07T19:40:52.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630224,94.69448094612353,50.0,1610612745,0,2,2024-04-07T19:40:56Z,90000,False,0.0,-3.0,1,right,J. Green driving finger roll Layup (2 PTS),[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,0.26,Made,2.0,,,,,,,,,,,,,,
10,PT11M02.00S,2024-04-07T19:41:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,9.149145860709593,44.36274509803921,1610612742,0,2,2024-04-07T19:41:20Z,100000,False,28.0,34.0,1,left,MISS K. Irving driving Layup - blocked,"[202681, 1631095]",1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,4.38,Missed,,Smith Jr.,1631095.0,,,,,,,,,,,,
11,PT11M02.00S,2024-04-07T19:41:16.4Z,1,REGULAR,block,,[],1631095,,,1610612742,0,2,2024-04-07T19:41:18Z,110000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2024-04-07T19:41:16.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,2,2024-04-07T19:41:20Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,,,,,,,,,,,
14,PT10M44.00S,2024-04-07T19:41:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,92.19776609724047,51.225490196078425,1610612745,0,4,2024-04-07T19:41:46Z,140000,False,6.0,21.0,1,right,D. Brooks driving finger roll Layup (2 PTS) (J. Green 1 AST),"[1628415, 1630224]",1610612745.0,HOU,driving finger roll,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,2.17,Made,2.0,,,,J. Green,1630224.0,1.0,,,,,,,,
16,PT10M26.00S,2024-04-07T19:42:00.1Z,1,REGULAR,2pt,Jump Shot,[],202681,7.5722733245729295,27.205882352941174,1610612742,2,4,2024-04-07T19:42:29Z,160000,False,114.0,19.0,1,left,K. Irving 11' driving floating Jump Shot (2 PTS),[202681],1610612742.0,DAL,driving floating,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,,,,11.55,Made,2.0,,,,,,,,,,,,,,
17,PT10M10.00S,2024-04-07T19:42:16.4Z,1,REGULAR,2pt,Jump Shot,[],1627832,88.12417871222075,15.931372549019606,1610612745,2,6,2024-04-07T19:42:19Z,170000,False,-170.0,59.0,1,right,F. VanVleet 18' pullup Jump Shot (2 PTS),[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Left,,,,18.03,Made,2.0,,,,,,,,,,,,,,
