actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
28,PT10M01.00S,2024-03-22T00:43:54.1Z,1,REGULAR,3pt,Jump Shot,[],1629023,9.149145860709593,4.6568627450980395,1610612742,1,6,2024-03-22T00:44:02Z,280000,False,227.0,34.0,1,left,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,22.92,Missed,,,,,,,,,,,,,,,,,,
29,PT09M56.00S,2024-03-22T00:43:59.1Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,1,6,2024-03-22T00:44:02Z,290000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Right Corner 3,24+ Right,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M52.00S,2024-03-22T00:44:05.0Z,1,REGULAR,foul,offensive,[],1631117,,,1610612762,1,6,2024-03-22T00:48:17Z,300000,False,,,0,,W. Kessler off-the-ball offensive FOUL (1 PF),"[1631117, 1627884]",1610612762.0,UTA,off-the-ball,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,202058.0,1.0,0.0,Jones Jr.,1627884.0,,,,,
32,PT09M52.00S,2024-03-22T00:44:05.0Z,1,REGULAR,turnover,offensive foul,[],1631117,,,1610612762,1,6,2024-03-22T00:48:17Z,320000,False,,,0,,W. Kessler offensive foul TURNOVER (1 TO),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,202058.0,,,,,1.0,,,,
33,PT09M42.00S,2024-03-22T00:44:28.8Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,1,6,2024-03-22T00:44:34Z,330000,False,,,0,,L. Doncic lost ball TURNOVER (1 TO),"[1629029, 1627739]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,Dunn,1627739.0,,
34,PT09M42.00S,2024-03-22T00:44:28.8Z,1,REGULAR,steal,,[],1627739,,,1610612762,1,6,2024-03-22T00:44:30Z,340000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
35,PT09M24.00S,2024-03-22T00:44:47.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627739,94.30026281208936,49.01960784313725,1610612762,1,8,2024-03-22T00:44:52Z,350000,False,-5.0,1.0,1,right,K. Dunn driving Layup (2 PTS),[1627739],1610612762.0,UTA,driving,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,0.5,Made,2.0,,,,,,,,,,,,,,,,,
36,PT09M15.00S,2024-03-22T00:44:58.2Z,1,REGULAR,foul,offensive,[],1629655,,,1610612742,1,8,2024-03-22T00:45:07Z,360000,False,,,0,,D. Gafford off-the-ball offensive FOUL (1 PF),"[1629655, 1627739]",1610612742.0,DAL,off-the-ball,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,202058.0,1.0,0.0,Dunn,1627739.0,,,,,
38,PT09M15.00S,2024-03-22T00:44:58.2Z,1,REGULAR,turnover,offensive foul,[],1629655,,,1610612742,1,8,2024-03-22T00:44:58Z,380000,False,,,0,,D. Gafford offensive foul TURNOVER (1 TO),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,202058.0,,,,,1.0,,,,
39,PT09M06.00S,2024-03-22T00:45:24.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641718,80.23981603153744,69.11764705882352,1610612762,1,8,2024-03-22T00:45:32Z,390000,False,96.0,133.0,1,right,MISS K. George 16' pullup Shot,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,16-24 Right Center,16.4,Missed,,,,,,,,,,,,,,,,,,
