actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-28T00:42:29.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T00:42:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-10-28T00:42:33.3Z,1,REGULAR,jumpball,recovered,[],1627827,,,1610612751,0,0,2023-10-28T00:42:33Z,40000,False,,,0,,Jump Ball B. Simmons vs. D. Lively II: Tip to D. Finney-Smith,"[1627827, 1627732, 1641726]",1610612751.0,BKN,startperiod,D. Finney-Smith,1627827.0,Finney-Smith,D. Finney-Smith,Simmons,1627732.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-10-28T00:42:47.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,95.6143232588699,36.76470588235294,1610612751,0,0,2023-10-28T00:42:52Z,70000,False,-66.0,-11.0,1,right,MISS B. Simmons 6' turnaround Hook,[1627732],1610612751.0,BKN,turnaround,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,6.72,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-10-28T00:42:50.0Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,0,0,2023-10-28T00:42:52Z,80000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2023-10-28T00:43:10.6Z,1,REGULAR,3pt,Jump Shot,[],1627884,6.783837056504599,96.81372549019608,1610612742,0,0,2023-10-28T00:43:13Z,90000,False,-234.0,11.0,1,left,MISS D. Jones Jr. 3PT,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Left Corner 3,24+ Left,23.44,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2023-10-28T00:43:12.6Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,0,0,2023-10-28T00:43:13Z,100000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Left Corner 3,24+ Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2023-10-28T00:43:15.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203915,81.68528252299606,93.38235294117648,1610612751,0,0,2023-10-28T00:44:22Z,110000,False,217.0,120.0,1,right,MISS S. Dinwiddie 24' running 3PT,[203915],1610612751.0,BKN,running,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,24.77,Missed,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2023-10-28T00:43:17.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612742,0,0,2023-10-28T00:43:20Z,120000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2023-10-28T00:43:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,6.915243101182654,43.13725490196079,1610612742,0,0,2023-10-28T00:43:34Z,130000,False,34.0,13.0,1,left,MISS K. Irving driving Layup,[202681],1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,3.65,Missed,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2023-10-28T00:43:29.2Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,0,0,2023-10-28T00:43:34Z,140000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
