actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-04T01:40:49.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-04T01:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-04T01:40:51.9Z,1,REGULAR,jumpball,recovered,[],1627736,,,1610612749,0,0,2024-02-04T01:40:52Z,40000,False,,,0,,Jump Ball R. Lopez vs. M. Kleber: Tip to M. Beasley,"[1627736, 201577, 1628467]",1610612749.0,MIL,startperiod,M. Beasley,1627736.0,Beasley,M. Beasley,Lopez,201577.0,Kleber,1628467.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-02-04T01:41:03.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,77.7431011826544,11.029411764705882,1610612749,0,3,2024-02-04T01:41:07Z,70000,False,-195.0,157.0,1,right,M. Beasley 25' 3PT  (3 PTS) (D. Lillard 1 AST),"[1627736, 203081]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,25.01,Made,3.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-02-04T01:41:19.2Z,1,REGULAR,foul,personal,[],1627736,,,1610612742,0,3,2024-02-04T01:41:23Z,90000,False,,,0,,M. Beasley personal FOUL (1 PF),"[1627736, 1630182]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Center,,,,,,,101283.0,1.0,0.0,Green,1630182.0,,,,,,,,,
11,PT11M23.00S,2024-02-04T01:41:40.9Z,1,REGULAR,3pt,Jump Shot,[],1628467,26.49474375821288,80.3921568627451,1610612742,3,3,2024-02-04T01:41:44Z,110000,False,-152.0,197.0,1,left,M. Kleber 24' 3PT  (3 PTS) (G. Williams 1 AST),"[1628467, 1629684]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Left Center,24.85,Made,3.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,
13,PT11M13.00S,2024-02-04T01:41:50.4Z,1,REGULAR,3pt,Jump Shot,[],1627736,93.64323258869908,94.85294117647058,1610612749,3,3,2024-02-04T01:41:53Z,130000,False,224.0,7.0,1,right,MISS M. Beasley 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Right Corner 3,24+ Right,22.44,Missed,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2024-02-04T01:41:52.4Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612742,3,3,2024-02-04T01:41:53Z,140000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M01.00S,2024-02-04T01:42:02.6Z,1,REGULAR,turnover,lost ball,[],1628467,,,1610612742,3,3,2024-02-04T01:42:06Z,150000,False,,,0,,M. Kleber lost ball TURNOVER (1 TO),"[1628467, 203114]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Middleton,203114.0,,
16,PT11M01.00S,2024-02-04T01:42:02.6Z,1,REGULAR,steal,,[],203114,,,1610612749,3,3,2024-02-04T01:42:04Z,160000,False,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2024-02-04T01:42:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203507,93.51182654402102,48.529411764705884,1610612749,3,5,2024-02-04T01:43:33Z,170000,False,-7.0,8.0,1,right,G. Antetokounmpo driving reverse Layup (2 PTS),[203507],1610612749.0,MIL,driving reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.13,Made,2.0,,,,,,,,,,,,,,,,,
