actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-13T00:41:52.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-13T00:41:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-13T00:41:54.9Z,1,REGULAR,jumpball,recovered,[],1631204,,,1610612765,0,0,2024-04-13T00:41:55Z,40000,False,,,0,,Jump Ball J. Wiseman vs. D. Gafford: Tip to M. Sasser,"[1631204, 1630164, 1629655]",1610612765.0,DET,startperiod,M. Sasser,1631204.0,Sasser,M. Sasser,Wiseman,1630164.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-04-13T00:42:09.4Z,1,REGULAR,2pt,Jump Shot,[],1629002,93.51182654402102,72.30392156862744,1610612765,0,0,2024-04-13T00:42:16Z,70000,False,112.0,8.0,1,right,MISS C. Metu 11' turnaround Shot,[1629002],1610612765.0,DET,turnaround,,,Metu,C. Metu,,,,,Mid-Range,8-16 Right,11.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-04-13T00:42:11.4Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,0,0,2024-04-13T00:42:16Z,80000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2024-04-13T00:42:19.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629023,6.258212877792378,50.245098039215684,1610612742,2,0,2024-04-13T00:42:29Z,90000,False,-1.0,6.0,1,left,P. Washington cutting DUNK (2 PTS) (D. Exum 1 AST),"[1629023, 203957]",1610612742.0,DAL,cutting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,0.64,Made,,,,,2.0,D. Exum,203957.0,1.0,,,,,,,,,,
11,PT11M16.00S,2024-04-13T00:42:35.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628972,89.04402102496715,37.99019607843137,1610612765,2,2,2024-04-13T00:42:39Z,110000,False,-60.0,50.0,1,right,T. Brown Jr. 7' driving floating Jump Shot (2 PTS),[1628972],1610612765.0,DET,driving floating,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.84,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M59.00S,2024-04-13T00:42:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,6.389618922470433,51.470588235294116,1610612742,2,2,2024-04-13T00:42:57Z,120000,False,-7.0,8.0,1,left,MISS T. Hardaway Jr. driving Layup,[203501],1610612742.0,DAL,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,1.06,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2024-04-13T00:42:55.4Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,2,2,2024-04-13T00:42:57Z,130000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M50.00S,2024-04-13T00:43:01.8Z,1,REGULAR,3pt,Jump Shot,[],1631204,67.49342969776609,56.86274509803921,1610612765,2,2,2024-04-13T00:43:06Z,140000,False,34.0,253.0,1,right,MISS M. Sasser 25' step back 3PT,[1631204],1610612765.0,DET,step back,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Center,25.54,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2024-04-13T00:43:04.8Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,2,2,2024-04-13T00:43:06Z,150000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M36.00S,2024-04-13T00:43:15.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,5.075558475689881,50.0,1610612742,4,2,2024-04-13T00:43:19Z,160000,False,0.0,-5.0,1,left,D. Gafford DUNK (2 PTS) (D. Jones Jr. 1 AST),"[1629655, 1627884]",1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,0.48,Made,,,,,2.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,
18,PT10M25.00S,2024-04-13T00:43:26.6Z,1,REGULAR,3pt,Jump Shot,[],1629002,68.41327201051249,64.4607843137255,1610612765,4,5,2024-04-13T00:43:43Z,180000,False,72.0,244.0,1,right,C. Metu 25' 3PT  (3 PTS) (J. Wiseman 1 AST),"[1629002, 1630164]",1610612765.0,DET,,,,Metu,C. Metu,,,,,Above the Break 3,24+ Center,25.49,Made,,,,,3.0,J. Wiseman,1630164.0,1.0,,,,,,,,,,
20,PT10M10.00S,2024-04-13T00:43:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627884,6.1268068331143235,53.67647058823529,1610612742,4,5,2024-04-13T00:43:46Z,200000,False,-18.0,5.0,1,left,MISS D. Jones Jr. driving Layup - blocked,"[1627884, 1630164]",1610612742.0,DAL,driving,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,1.91,Missed,,,,,,,,,Wiseman,1630164.0,,,,,,,,
21,PT10M10.00S,2024-04-13T00:43:41.7Z,1,REGULAR,block,,[],1630164,,,1610612742,4,5,2024-04-13T00:43:44Z,210000,False,,,0,,J. Wiseman BLOCK (1 BLK),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2024-04-13T00:43:41.7Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612765,4,5,2024-04-13T00:43:46Z,220000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M03.00S,2024-04-13T00:43:48.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628972,92.85479632063075,56.61764705882353,1610612765,4,5,2024-04-13T00:45:57Z,230000,False,33.0,15.0,1,right,MISS T. Brown Jr. running finger roll Layup,[1628972],1610612765.0,DET,running finger roll,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,3.62,Missed,,,,,,,,,,,,,,,,,,
24,PT10M00.00S,2024-04-13T00:43:51.6Z,1,REGULAR,rebound,offensive,[],1630164,,,1610612765,4,5,2024-04-13T00:43:54Z,240000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT10M00.00S,2024-04-13T00:43:51.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1630164,94.40999984741211,50.0,1610612765,4,7,2024-04-13T00:43:58Z,250000,False,0.0,0.0,1,right,J. Wiseman tip Layup (2 PTS),[1630164],1610612765.0,DET,tip,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
26,PT09M48.00S,2024-04-13T00:44:03.4Z,1,REGULAR,turnover,bad pass,[],1629655,,,1610612742,4,7,2024-04-13T00:44:07Z,260000,False,,,0,,D. Gafford bad pass TURNOVER (1 TO),"[1629655, 1631093]",1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Ivey,1631093.0,,,,,
27,PT09M48.00S,2024-04-13T00:44:03.4Z,1,REGULAR,steal,,[],1631093,,,1610612765,4,7,2024-04-13T00:44:05Z,270000,False,,,0,,J. Ivey STEAL (1 STL),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2024-04-13T00:44:06.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631093,94.69448094612353,47.549019607843135,1610612765,4,9,2024-04-13T00:49:07Z,280000,False,-12.0,-3.0,1,right,J. Ivey running DUNK (2 PTS),[1631093],1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M31.00S,2024-04-13T00:44:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,7.440867279894875,46.07843137254902,1610612742,4,9,2024-04-13T00:50:33Z,290000,False,20.0,17.0,1,left,MISS D. Gafford cutting finger roll Layup,[1629655],1610612742.0,DAL,cutting finger roll,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
31,PT09M31.00S,2024-04-13T00:44:20.3Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612765,4,9,2024-04-13T00:44:32Z,310000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:2),[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
