actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-28T02:11:41.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-28T02:11:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-28T02:11:43.5Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2024-01-28T02:11:43Z,40000,False,,,0,,Jump Ball D. Lively II vs. D. Sabonis: Tip to L. Doncic,"[1629029, 1641726, 1627734]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Lively II,1641726.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-01-28T02:11:55.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,73.80091984231275,14.950980392156863,1610612742,0,0,2024-01-28T02:12:02Z,70000,False,-175.0,194.0,1,right,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-01-28T02:11:56.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,0,0,2024-01-28T02:12:02Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-01-28T02:12:18.2Z,1,REGULAR,3pt,Jump Shot,[],203084,30.042706964520367,74.26470588235294,1610612758,0,0,2024-01-28T02:12:48Z,100000,False,-121.0,230.0,1,left,MISS H. Barnes 25' pullup 3PT,[203084],1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,25.99,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2024-01-28T02:12:20.2Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612742,0,0,2024-01-28T02:12:23Z,110000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M23.00S,2024-01-28T02:12:25.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629684,93.9060446780552,97.54901960784314,1610612742,3,0,2024-01-28T02:13:08Z,120000,False,238.0,5.0,1,right,G. Williams 3PT running (3 PTS) (J. Hardy 1 AST),"[1629684, 1630702]",1610612742.0,DAL,running,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,23.77,Made,,,,,3.0,J. Hardy,1630702.0,1.0,,,,,,,,,,
14,PT11M13.00S,2024-01-28T02:12:35.1Z,1,REGULAR,3pt,Jump Shot,[],1628368,27.677398160315374,80.88235294117648,1610612758,3,0,2024-01-28T02:13:33Z,140000,False,-154.0,208.0,1,left,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,25.88,Missed,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2024-01-28T02:12:38.1Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,3,0,2024-01-28T02:12:39Z,150000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M00.00S,2024-01-28T02:12:47.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,93.77463863337714,50.245098039215684,1610612742,5,0,2024-01-28T02:13:50Z,160000,False,1.0,6.0,1,right,D. Lively II alley-oop DUNK (2 PTS) (J. Hardy 2 AST),"[1641726, 1630702]",1610612742.0,DAL,alley-oop,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,2.0,J. Hardy,1630702.0,2.0,,,,,,,,,,
