actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-15T19:41:57.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-15T19:41:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-15T19:41:59.7Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612742,0,0,2024-01-15T19:41:59Z,40000,False,,,0,,Jump Ball D. Lively II vs. J. Valanciunas: Tip to K. Irving,"[202681, 1641726, 202685]",1610612742.0,DAL,startperiod,K. Irving,202681.0,Irving,K. Irving,Lively II,1641726.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-01-15T19:42:18.2Z,1,REGULAR,3pt,Jump Shot,[],1630182,23.99802890932983,85.5392156862745,1610612742,0,0,2024-01-15T19:42:21Z,70000,False,-178.0,173.0,1,left,MISS J. Green 24' 3PT,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,24.81,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-01-15T19:42:21.2Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2024-01-15T19:42:21Z,80000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-01-15T19:42:32.3Z,1,REGULAR,2pt,Jump Shot,[],1630529,72.35545335085413,32.1078431372549,1610612740,0,0,2024-01-15T19:42:36Z,90000,False,-89.0,207.0,1,right,MISS H. Jones 22' Jump Shot,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left Center,22.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2024-01-15T19:42:34.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2024-01-15T19:42:36Z,100000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M12.00S,2024-01-15T19:42:47.8Z,1,REGULAR,foul,offensive,[],202685,,,1610612740,0,0,2024-01-15T19:42:52Z,110000,False,,,0,,J. Valanciunas offensive FOUL (1 PF),"[202685, 1641726]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,204058.0,1.0,0.0,Lively II,1641726.0,,,,,,,,,
13,PT11M12.00S,2024-01-15T19:42:47.8Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612740,0,0,2024-01-15T19:42:47Z,130000,False,,,0,,J. Valanciunas offensive foul TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,204058.0,,,,,1.0,,,,,,,,
14,PT10M59.00S,2024-01-15T19:43:10.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202681,18.347568988173457,40.19607843137255,1610612742,0,0,2024-01-15T19:43:16Z,140000,False,49.0,120.0,1,left,MISS K. Irving 12' pullup Shot,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Center,12.96,Missed,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2024-01-15T19:43:14.0Z,1,REGULAR,rebound,offensive,[],1630182,,,1610612742,0,0,2024-01-15T19:43:14Z,150000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
