actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-08T00:40:39.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-08T00:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-08T00:40:41.3Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2024-01-08T00:40:41Z,40000,False,,,0,,Jump Ball D. Powell vs. R. Gobert: Tip to L. Doncic,"[1629029, 203939, 203497]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Powell,203939.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-01-08T00:40:56.0Z,1,REGULAR,2pt,Jump Shot,[],202681,78.53153745072274,60.78431372549019,1610612742,2,0,2024-01-08T00:41:13Z,70000,False,54.0,149.0,1,right,K. Irving 15' pullup Jump Shot (2 PTS),[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Mid-Range,8-16 Center,15.87,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2024-01-08T00:41:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,10.85742444152431,65.19607843137256,1610612750,2,0,2024-01-08T00:41:52Z,80000,False,-76.0,50.0,1,left,MISS J. McDaniels 9' driving floating Shot,[1630183],1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Left,9.08,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-01-08T00:41:19.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,0,2024-01-08T00:41:39Z,90000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M10.00S,2024-01-08T00:41:29.7Z,1,REGULAR,violation,kicked ball,[],1626157,,,1610612742,2,0,2024-01-08T00:41:39Z,100000,False,,,0,,K. Towns kicked ball VIOLATION,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,202053.0,,,,,,,,,,,,
11,PT11M02.00S,2024-01-08T00:41:51.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,68.9388961892247,31.127450980392158,1610612742,2,0,2024-01-08T00:42:10Z,110000,False,-94.0,239.0,1,right,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,25.74,Missed,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2024-01-08T00:41:53.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2024-01-08T00:41:57Z,120000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M51.00S,2024-01-08T00:42:04.7Z,1,REGULAR,foul,personal,[],202681,,,1610612750,2,0,2024-01-08T00:42:35Z,130000,False,,,0,,K. Irving personal FOUL (1 PF),"[202681, 203497]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,1.0,0.0,Gobert,203497.0,,,,,,,,
15,PT10M40.00S,2024-01-08T00:42:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,8.360709592641262,54.90196078431373,1610612750,2,0,2024-01-08T00:42:47Z,150000,False,-25.0,26.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,,,,,,,,,
