actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-14T00:40:32.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-14T00:40:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-14T00:40:34.9Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2024-03-14T00:40:35Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. D. Gafford: Tip to K. Thompson,"[202691, 1631218, 1629655]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Jackson-Davis,1631218.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-14T00:40:50.7Z,1,REGULAR,2pt,Jump Shot,[],203952,82.21090670170827,30.14705882352941,1610612744,0,0,2024-03-14T00:40:57Z,70000,False,-99.0,115.0,1,right,MISS A. Wiggins 15' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,15.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-03-14T00:40:52.7Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,0,0,2024-03-14T00:40:57Z,80000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M17.00S,2024-03-14T00:41:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,11.514454664914586,38.970588235294116,1610612742,2,0,2024-03-14T00:41:34Z,100000,False,55.0,56.0,1,left,L. Doncic 7' driving finger roll Layup (2 PTS),[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,7.83,Made,,,,,2.0,,,,,,,,,,,,,
11,PT11M05.00S,2024-03-14T00:41:41.3Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612744,2,0,2024-03-14T00:42:02Z,110000,False,,,0,,P. Washington shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1629023, 1630228]",1610612742.0,DAL,shooting,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1151.0,1.0,0.0,Kuminga,1630228.0,,,,,,,,
13,PT11M05.00S,2024-03-14T00:42:06.3Z,1,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,2,1,2024-03-14T00:42:19Z,130000,False,,,0,,J. Kuminga Free Throw 1 of 2 (1 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
14,PT11M05.00S,2024-03-14T00:42:06.3Z,1,REGULAR,freethrow,2 of 2,[],1630228,,,1610612744,2,1,2024-03-14T00:42:19Z,140000,False,,,0,,MISS J. Kuminga Free Throw 2 of 2,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2024-03-14T00:42:08.3Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,2,1,2024-03-14T00:42:19Z,150000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M44.00S,2024-03-14T00:42:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,10.200394218134035,49.754901960784316,1610612742,4,1,2024-03-14T00:42:41Z,160000,False,1.0,43.0,1,left,K. Irving driving Layup (2 PTS) (L. Doncic 1 AST),"[202681, 1629029]",1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,4.34,Made,,,,,2.0,,,,,,L. Doncic,1629029.0,1.0,,,,,
18,PT10M28.00S,2024-03-14T00:42:53.8Z,1,REGULAR,turnover,out-of-bounds,[],1630228,,,1610612744,4,1,2024-03-14T00:43:01Z,180000,False,,,0,,J. Kuminga bad pass out-of-bounds TURNOVER (1 TO),[1630228],1610612744.0,GSW,bad pass,,,Kuminga,J. Kuminga,,,,,Mid-Range,16-24 Right,,,,,,,,1151.0,,,,,,,,1.0,,,,
