actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-28T01:40:34.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-28T01:40:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-28T01:40:36.5Z,1,REGULAR,jumpball,recovered,[],1641854,,,1610612739,0,0,2023-12-28T01:40:36Z,40000,False,,,0,,Jump Ball J. Allen vs. D. Lively II: Tip to C. Porter Jr.,"[1641854, 1628386, 1641726]",1610612739.0,CLE,startperiod,C. Porter Jr.,1641854.0,Porter Jr.,C. Porter Jr.,Allen,1628386.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-12-28T01:40:45.4Z,1,REGULAR,foul,personal,['2freethrow'],1641726,,,1610612739,0,0,2023-12-28T01:40:53Z,70000,False,,,0,,D. Lively II shooting personal FOUL (1 PF) (Allen 2 FT),"[1641726, 1628386]",1610612742.0,DAL,shooting,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,1201.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
9,PT11M50.00S,2023-12-28T01:41:05.2Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,0,1,2023-12-28T01:41:05Z,90000,False,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M50.00S,2023-12-28T01:41:18.3Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,0,2,2023-12-28T01:41:18Z,100000,False,,,0,,J. Allen Free Throw 2 of 2 (2 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M35.00S,2023-12-28T01:41:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.51182654402102,49.754901960784316,1610612742,2,2,2023-12-28T01:41:39Z,110000,False,-1.0,8.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.86,,,,,,,,,,,,
12,PT11M22.00S,2023-12-28T01:41:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641854,7.046649145860711,49.26470588235294,1610612739,2,4,2023-12-28T01:42:39Z,120000,False,4.0,14.0,1,left,C. Porter Jr. reverse Layup (2 PTS) (J. Allen 1 AST),"[1641854, 1628386]",1610612739.0,CLE,reverse,,,Porter Jr.,C. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.42,J. Allen,1628386.0,1.0,,,,,,,,,
14,PT11M02.00S,2023-12-28T01:42:08.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,90.01314060446781,59.58180147058824,1610612742,2,4,2023-12-28T01:53:23Z,140000,False,48.0,41.0,1,right,MISS L. Doncic 6' driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.33,,,,,,,,,,,,
15,PT11M00.00S,2023-12-28T01:42:10.0Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,2,4,2023-12-28T01:52:21Z,150000,False,,,0,,D. Lively II REBOUND (Off:1 Def:0),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
16,PT10M47.00S,2023-12-28T01:42:53.7Z,1,REGULAR,jumpball,recovered,[],203501,,,1610612742,2,4,2023-12-28T01:42:53Z,160000,False,,,0,,Jump Ball D. Lively II vs. I. Okoro: Tip to T. Hardaway Jr.,"[203501, 1641726, 1630171]",1610612742.0,DAL,heldball,T. Hardaway Jr.,203501.0,Hardaway Jr.,T. Hardaway Jr.,Lively II,1641726.0,Okoro,1630171.0,,,,,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2023-12-28T01:42:55.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203501,67.62483574244416,43.13725490196079,1610612742,2,4,2023-12-28T01:43:05Z,190000,False,-34.0,252.0,1,right,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.41,,,,,,,,,,,,
20,PT10M42.00S,2023-12-28T01:42:57.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,2,4,2023-12-28T01:43:05Z,200000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,19.0,,,,,,,,
22,PT10M27.00S,2023-12-28T01:43:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,18.873193166885677,50.0,1610612739,2,4,2023-12-28T01:43:22Z,220000,False,0.0,125.0,1,left,MISS J. Allen 12' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,12.49,,,,,,,,,,,,
23,PT10M26.00S,2023-12-28T01:43:20.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,4,2023-12-28T01:43:22Z,230000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,
24,PT10M17.00S,2023-12-28T01:43:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,92.9862023653088,60.049019607843135,1610612742,4,4,2023-12-28T01:43:32Z,240000,False,50.0,13.0,1,right,L. Doncic driving floating bank Jump Shot (4 PTS),[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,4.0,5.2,,,,,,,,,,,,
25,PT10M00.00S,2023-12-28T01:43:46.6Z,1,REGULAR,3pt,Jump Shot,[],1630171,8.623521681997373,3.9215686274509802,1610612739,4,7,2023-12-28T01:43:50Z,250000,False,230.0,29.0,1,left,I. Okoro 3PT  (3 PTS) (C. Porter Jr. 1 AST),"[1630171, 1641854]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.22,C. Porter Jr.,1641854.0,1.0,,,,,,,,,
27,PT09M50.00S,2023-12-28T01:43:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203957,89.70105124835742,45.09803921568628,1610612742,4,7,2023-12-28T01:44:27Z,270000,False,-25.0,44.0,1,right,MISS D. Exum driving Layup - blocked,"[203957, 1641854]",1610612742.0,DAL,driving,,,Exum,D. Exum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.06,,,,,,,,Porter Jr.,1641854.0,,,
28,PT09M50.00S,2023-12-28T01:43:59.2Z,1,REGULAR,block,,[],1641854,,,1610612742,4,7,2023-12-28T01:44:01Z,280000,False,,,0,,C. Porter Jr. BLOCK (1 BLK),[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M50.00S,2023-12-28T01:43:59.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,4,7,2023-12-28T01:44:27Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,27.0,,,,,,,,
31,PT09M44.00S,2023-12-28T01:44:18.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629029,71.30420499342969,75.98039215686273,1610612742,4,7,2023-12-28T01:46:51Z,310000,False,130.0,217.0,1,right,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.31,,,,,,,,,,,,
32,PT09M38.00S,2023-12-28T01:44:24.2Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,4,7,2023-12-28T01:44:29Z,320000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT09M34.00S,2023-12-28T01:44:27.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1641854,6.783837056504599,43.627450980392155,1610612739,4,7,2023-12-28T01:44:46Z,330000,False,32.0,11.0,1,left,MISS C. Porter Jr. driving floating Shot,[1641854],1610612739.0,CLE,driving floating,,,Porter Jr.,C. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.38,,,,,,,,,,,,
35,PT09M34.00S,2023-12-28T01:44:27.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,4,7,2023-12-28T01:44:46Z,350000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,
