actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-21T01:40:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-21T01:40:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-21T01:40:22.1Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2023-12-21T01:40:22Z,40000,False,,,0,,Jump Ball I. Zubac vs. D. Powell: Tip to J. Harden,"[201935, 1627826, 203939]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-12-21T01:40:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,80.6340341655716,37.745098039215684,1610612746,0,0,2023-12-21T01:40:46Z,70000,False,-61.0,130.0,1,right,MISS T. Mann 14' step back Shot,[1629611],1610612746.0,LAC,step back,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,14.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-12-21T01:40:42.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,0,0,2023-12-21T01:40:46Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2023-12-21T01:41:01.9Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,0,2023-12-21T01:41:05Z,100000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1627826]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,,,,1.0,Zubac,1627826.0,,,,,,,,,,,,,,
11,PT11M25.00S,2023-12-21T01:41:01.9Z,1,REGULAR,steal,,[],1627826,,,1610612746,0,0,2023-12-21T01:42:12Z,110000,False,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2023-12-21T01:41:23.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,67.09921156373193,49.754901960784316,1610612746,0,0,2023-12-21T01:41:26Z,120000,False,-1.0,257.0,1,right,MISS J. Harden 25' step back 3PT,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,25.68,Missed,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2023-12-21T01:41:25.0Z,1,REGULAR,rebound,defensive,[],203957,,,1610612742,0,0,2023-12-21T01:41:26Z,130000,False,,,0,,D. Exum REBOUND (Off:0 Def:1),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,Above the Break 3,24+ Center,,,12.0,,,,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M53.00S,2023-12-21T01:41:34.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,7.30946123521682,49.50980392156863,1610612742,2,0,2023-12-21T01:41:38Z,140000,False,2.0,16.0,1,left,D. Powell cutting DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,1.64,Made,,,,,,,,2.0,L. Doncic,1629029.0,1.0,,,,,,,
16,PT10M37.00S,2023-12-21T01:41:49.3Z,1,REGULAR,3pt,Jump Shot,[],1629599,78.66294349540078,88.48039215686273,1610612746,2,3,2023-12-21T01:41:53Z,160000,False,192.0,148.0,1,right,A. Coffey 24' 3PT  (3 PTS) (J. Harden 1 AST),"[1629599, 201935]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Right Center,24.28,Made,,,,,,,,3.0,J. Harden,201935.0,1.0,,,,,,,
18,PT10M22.00S,2023-12-21T01:42:04.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627884,11.645860709592641,51.71568627450981,1610612742,2,3,2023-12-21T01:42:12Z,180000,False,-9.0,57.0,1,left,MISS D. Jones Jr. driving Layup,[1627884],1610612742.0,DAL,driving,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,,,,,,,,,,,,,,
