actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-07T01:40:27.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-07T01:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-07T01:40:29.6Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612762,0,0,2023-12-07T01:40:29Z,40000,False,,,0,,Jump Ball O. Yurtseven vs. D. Lively II: Tip to J. Collins,"[1628381, 1630209, 1641726]",1610612762.0,UTA,startperiod,J. Collins,1628381.0,Collins,J. Collins,Yurtseven,1630209.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-07T01:40:46.5Z,1,REGULAR,turnover,bad pass,[],1631323,,,1610612762,0,0,2023-12-07T01:40:52Z,70000,False,,,0,,S. Fontecchio bad pass TURNOVER (1 TO),"[1631323, 1641726]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,1.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-12-07T01:40:46.5Z,1,REGULAR,steal,,[],1641726,,,1610612742,0,0,2023-12-07T01:40:49Z,80000,False,,,0,,D. Lively II STEAL (1 STL),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2023-12-07T01:40:54.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,27.414586070959263,83.33333333333334,1610612742,3,0,2023-12-07T01:41:01Z,90000,False,-167.0,205.0,1,left,L. Doncic 26' 3PT step back (3 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,26.44,Made,3.0,,,,,,,,,,,,,,
10,PT11M12.00S,2023-12-07T01:41:13.6Z,1,REGULAR,3pt,Jump Shot,[],1628381,69.46452036793693,31.862745098039213,1610612762,3,0,2023-12-07T01:41:18Z,100000,False,-91.0,235.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,25.14,Missed,,,,,,,,,,,,,,,
11,PT11M09.00S,2023-12-07T01:41:16.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,3,0,2023-12-07T01:41:18Z,110000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M03.00S,2023-12-07T01:41:22.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,34.773324572930356,44.85294117647059,1610612742,6,0,2023-12-07T01:41:35Z,120000,False,26.0,274.0,1,left,L. Doncic 27' 3PT  (6 PTS) (D. Exum 1 AST),"[1629029, 203957]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,,27.56,Made,6.0,,,,,D. Exum,203957.0,1.0,,,,,,,
15,PT10M43.00S,2023-12-07T01:41:58.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631323,90.48948751642575,53.67647058823529,1610612762,6,2,2023-12-07T01:42:03Z,150000,False,18.0,37.0,1,right,S. Fontecchio driving floating bank Jump Shot (2 PTS),[1631323],1610612762.0,UTA,driving floating bank,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,,,,4.12,Made,2.0,,,,,,,,,,,,,,
16,PT10M30.00S,2023-12-07T01:42:11.4Z,1,REGULAR,2pt,Jump Shot,[],202681,24.392247043363994,54.166666666666664,1610612742,8,2,2023-12-07T01:42:17Z,160000,False,-21.0,177.0,1,left,K. Irving 17' Jump Shot (2 PTS) (L. Doncic 1 AST),"[202681, 1629029]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Mid-Range,16-24 Center,,,,17.8,Made,2.0,,,,,L. Doncic,1629029.0,1.0,,,,,,,
