actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-12T01:40:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-12T01:40:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-12T01:40:33.3Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612742,0,0,2024-01-12T01:40:33Z,40000,False,,,0,,Jump Ball D. Powell vs. I. Hartenstein: Tip to K. Irving,"[202681, 203939, 1628392]",1610612742.0,DAL,startperiod,K. Irving,202681.0,Irving,K. Irving,Powell,203939.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-01-12T01:40:50.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630182,88.64980289093299,61.76470588235294,1610612742,0,0,2024-01-12T01:40:55Z,70000,False,59.0,54.0,1,right,MISS J. Green 8' turnaround Shot,[1630182],1610612742.0,DAL,turnaround,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Right,8.0,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-01-12T01:40:52.8Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,0,0,2024-01-12T01:40:55Z,80000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-01-12T01:41:04.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,6.521024967148489,69.6078431372549,1610612752,0,0,2024-01-12T01:41:10Z,90000,False,-98.0,9.0,1,left,MISS J. Brunson 9' driving bank Shot,[1628973],1610612752.0,NYK,driving bank,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,9.84,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-01-12T01:41:07.4Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,0,0,2024-01-12T01:41:10Z,100000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M23.00S,2024-01-12T01:41:07.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628392,5.590000152587891,50.0,1610612752,0,0,2024-01-12T01:41:24Z,110000,False,0.0,0.0,1,left,MISS I. Hartenstein tip Layup,[1628392],1610612752.0,NYK,tip,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2024-01-12T01:41:07.3Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,0,0,2024-01-12T01:41:24Z,120000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M19.00S,2024-01-12T01:41:11.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202681,68.9388961892247,28.186274509803923,1610612742,3,0,2024-01-12T01:41:21Z,130000,False,-109.0,239.0,1,right,K. Irving 26' 3PT running pullup (3 PTS),[202681],1610612742.0,DAL,running pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,26.32,Made,,,,,3.0,,,,,,,,,,,,,
14,PT10M56.00S,2024-01-12T01:41:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628978,14.536793692509855,41.911764705882355,1610612752,3,2,2024-01-12T01:41:39Z,140000,False,40.0,84.0,1,left,D. DiVincenzo 9' driving floating Jump Shot (2 PTS),[1628978],1610612752.0,NYK,driving floating,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,9.33,Made,,,,,2.0,,,,,,,,,,,,,
