actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-02-15T01:40:35.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T01:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2024-02-15T01:40:37.1Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2024-02-15T01:40:37Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. D. Gafford: Tip to T. Jones,"[1630200, 1641705, 1629655]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Wembanyama,1641705.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-02-15T01:40:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,90.22667542706965,41.17647058823529,1610612759,0,0,2024-02-15T01:40:55Z,70000,False,-44.0,39.0,1,right,MISS V. Wembanyama driving finger roll Layup,[1641705],1610612759.0,SAS,driving finger roll,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,5.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-02-15T01:40:51.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2024-02-15T01:40:55Z,80000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-02-15T01:41:07.8Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,0,0,2024-02-15T01:41:13Z,90000,False,,,0,,L. Doncic lost ball TURNOVER (1 TO),"[1629029, 1631110]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,Sochan,1631110.0,,,,,,,,,,,
10,PT11M28.00S,2024-02-15T01:41:07.8Z,1,REGULAR,steal,,[],1631110,,,1610612759,0,0,2024-02-15T01:41:09Z,100000,False,,,0,,J. Sochan STEAL (1 STL),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2024-02-15T01:41:17.4Z,1,REGULAR,foul,personal,['2freethrow'],1630182,,,1610612759,0,0,2024-02-15T01:41:23Z,120000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Sochan 2 FT),"[1630182, 1631110]",1610612742.0,DAL,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,1201.0,1.0,0.0,Sochan,1631110.0,,,,,,
14,PT11M24.00S,2024-02-15T01:41:42.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631110,,,1610612759,0,0,2024-02-15T01:41:42Z,140000,False,,,0,,MISS J. Sochan Free Throw 1 of 2,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M24.00S,2024-02-15T01:41:42.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,0,0,2024-02-15T01:41:42Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
16,PT11M24.00S,2024-02-15T01:41:56.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631110,,,1610612759,0,1,2024-02-15T01:41:56Z,160000,False,,,0,,J. Sochan Free Throw 2 of 2 (1 PTS),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
17,PT11M13.00S,2024-02-15T01:42:09.3Z,1,REGULAR,3pt,Jump Shot,[],202681,28.203022339027594,77.94117647058823,1610612742,0,1,2024-02-15T01:42:50Z,170000,False,-140.0,213.0,1,left,MISS K. Irving 25' 3PT,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,25.44,Missed,,,,,,,,,,,,,,,,,,
18,PT11M09.00S,2024-02-15T01:42:13.3Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,1,2024-02-15T01:42:50Z,180000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M57.00S,2024-02-15T01:42:24.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631110,89.96386333771353,47.05882352941176,1610612759,0,1,2024-02-15T01:42:32Z,190000,False,-15.0,42.0,1,right,MISS J. Sochan turnaround Hook,[1631110],1610612759.0,SAS,turnaround,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
20,PT10M55.00S,2024-02-15T01:42:27.1Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,0,1,2024-02-15T01:42:27Z,200000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M52.00S,2024-02-15T01:42:30.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629023,7.703679369250986,49.01960784313725,1610612742,0,1,2024-02-15T01:56:56Z,210000,False,5.0,20.0,1,left,MISS P. Washington running alley-oop DUNK - blocked,"[1629023, 1641705]",1610612742.0,DAL,running alley-oop,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.05,Missed,,,,,,,,,,,,,,Wembanyama,1641705.0,,,
22,PT10M52.00S,2024-02-15T01:42:30.0Z,1,REGULAR,block,,[],1641705,,,1610612742,0,1,2024-02-15T01:42:32Z,220000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M52.00S,2024-02-15T01:42:30.0Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,1,2024-02-15T01:42:38Z,230000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
