actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-09T01:10:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-09T01:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-09T01:10:14.2Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2026-03-09T01:10:14Z,40000,False,,,0,,Jump Ball M. Raynaud vs. M. Buzelis: Tip to P. Achiuwa,"[1630173, 1642875, 1641824]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Buzelis,1641824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-03-09T01:10:33.7Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612758,0,0,2026-03-09T01:10:47Z,70000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1630171, 201566]",1610612741.0,CHI,shooting,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Center,202026.0,1.0,0.0,Westbrook,201566.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-03-09T01:10:59.6Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612758,1,0,2026-03-09T01:10:59Z,90000,False,,,0,,R. Westbrook Free Throw 1 of 2 (1 PTS),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M38.00S,2026-03-09T01:11:12.6Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612758,2,0,2026-03-09T01:11:12Z,100000,False,,,0,,R. Westbrook Free Throw 2 of 2 (2 PTS),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M18.00S,2026-03-09T01:11:33.9Z,1,REGULAR,3pt,Jump Shot,[],1630581,11.12023653088042,3.431372549019608,1610612741,2,0,2026-03-09T01:11:38Z,110000,False,233.0,52.0,1,left,MISS J. Giddey 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.85,,,,,,,,,,,,
12,PT11M15.00S,2026-03-09T01:11:36.9Z,1,REGULAR,rebound,defensive,[],1642363,,,1610612758,2,0,2026-03-09T01:11:38Z,120000,False,,,0,,N. Clifford REBOUND (Off:0 Def:1),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,Right Corner 3,24+ Right,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M07.00S,2026-03-09T01:11:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,85.62746386333771,51.71568627450981,1610612758,2,0,2026-03-09T01:11:50Z,130000,False,9.0,83.0,1,right,MISS M. Raynaud 8' floating Shot,[1642875],1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,8.3,,,,,,,,,,,,
14,PT11M04.00S,2026-03-09T01:11:48.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,2,0,2026-03-09T01:11:50Z,140000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M48.00S,2026-03-09T01:12:04.0Z,1,REGULAR,3pt,Jump Shot,[],1627824,29.6484888304862,76.47058823529412,1610612741,2,0,2026-03-09T01:12:10Z,150000,False,-132.0,226.0,1,left,MISS G. Yabusele 26' 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.21,,,,,,,,,,,,
16,PT10M42.00S,2026-03-09T01:12:10.0Z,1,REGULAR,rebound,defensive,[],1631342,,,1610612758,2,0,2026-03-09T01:12:10Z,160000,False,,,0,,D. Plowden REBOUND (Off:0 Def:1),[1631342],1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,Above the Break 3,24+ Left Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M33.00S,2026-03-09T01:12:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,89.56964520367937,49.26470588235294,1610612758,4,0,2026-03-09T01:12:59Z,170000,False,-4.0,46.0,1,right,P. Achiuwa driving Layup (2 PTS),[1630173],1610612758.0,SAC,driving,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,4.57,,,,,,,,,,,,
18,PT10M19.00S,2026-03-09T01:12:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,10.33180026281209,54.90196078431373,1610612741,4,0,2026-03-09T01:12:40Z,180000,False,-25.0,45.0,1,left,MISS G. Yabusele Layup - blocked,"[1627824, 1642875]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.09,,,,,Raynaud,1642875.0,,,,,,
19,PT10M19.00S,2026-03-09T01:12:32.4Z,1,REGULAR,block,,[],1642875,,,1610612741,4,0,2026-03-09T01:12:35Z,190000,False,,,0,,M. Raynaud BLOCK (1 BLK),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M16.00S,2026-03-09T01:12:35.4Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,4,0,2026-03-09T01:19:41Z,200000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
21,PT10M13.00S,2026-03-09T01:12:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,88.51839684625493,54.41176470588235,1610612758,4,0,2026-03-09T01:14:05Z,210000,False,22.0,55.0,1,right,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1641824]",1610612758.0,SAC,driving,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.96,,,,,Buzelis,1641824.0,,,,,,
22,PT10M13.00S,2026-03-09T01:12:38.9Z,1,REGULAR,block,,[],1641824,,,1610612758,4,0,2026-03-09T01:12:41Z,220000,False,,,0,,M. Buzelis BLOCK (1 BLK),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2026-03-09T01:12:38.9Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,4,0,2026-03-09T01:12:46Z,230000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,
24,PT09M59.00S,2026-03-09T01:12:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,14.273981603153747,48.77450980392157,1610612741,4,2,2026-03-09T01:14:57Z,240000,False,6.0,82.0,1,left,T. Jones 8' driving floating Jump Shot (2 PTS) (G. Yabusele 1 AST),"[1630200, 1627824]",1610612741.0,CHI,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,8.19,,,,,,,G. Yabusele,1627824.0,1.0,,,
26,PT09M37.00S,2026-03-09T01:13:14.2Z,1,REGULAR,3pt,Jump Shot,[],1642363,64.47109067017082,31.862745098039213,1610612758,4,2,2026-03-09T01:13:18Z,260000,False,-91.0,281.0,1,right,MISS N. Clifford 29' 3PT,[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,Above the Break 3,24+ Center,,,,,,Missed,,29.58,,,,,,,,,,,,
27,PT09M35.00S,2026-03-09T01:13:16.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,4,2,2026-03-09T01:13:18Z,270000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,
