actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-21T03:10:06.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-21T03:10:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-21T03:10:10.7Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612758,0,0,2025-12-21T03:10:10Z,40000,False,,,0,,Jump Ball M. Raynaud vs. D. Clingan: Tip to R. Westbrook,"[201566, 1642875, 1642270]",1610612758.0,SAC,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Raynaud,1642875.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2025-12-21T03:10:34.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612758,0,0,2025-12-21T03:11:05Z,70000,False,,,0,,SAC shot clock Team TURNOVER,[],1610612758.0,SAC,,,,,,,,,,Mid-Range,16-24 Right,200832.0,,,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2025-12-21T03:11:04.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641739,74.85216819973719,90.44117647058823,1610612757,0,0,2025-12-21T03:11:12Z,80000,False,202.0,184.0,1,right,MISS T. Camara 27' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,27.33,Missed,,,,,,,,,,,,,,,,,
9,PT11M09.00S,2025-12-21T03:11:09.9Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,0,0,2025-12-21T03:11:22Z,90000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M00.00S,2025-12-21T03:11:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,16.90210249671485,58.57843137254902,1610612758,0,0,2025-12-21T03:11:55Z,100000,False,-43.0,106.0,1,left,MISS P. Achiuwa 11' driving floating Shot,[1630173],1610612758.0,SAC,driving floating,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,11.47,Missed,,,,,,,,,,,,,,,,,
11,PT10M58.00S,2025-12-21T03:11:21.1Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,0,2025-12-21T03:11:55Z,110000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M50.00S,2025-12-21T03:11:28.5Z,1,REGULAR,2pt,Jump Shot,[],1642270,72.1419185282523,29.924938725490197,1610612757,0,2,2025-12-21T03:13:54Z,120000,False,-100.0,209.0,1,right,D. Clingan 23' Jump Shot (2 PTS) (D. Avdija 1 AST),"[1642270, 1630166]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,16-24 Left Center,,23.22,Made,,,,,2.0,D. Avdija,1630166.0,1.0,,,,,,,,,
14,PT10M27.00S,2025-12-21T03:11:51.7Z,1,REGULAR,2pt,Jump Shot,[],201942,20.71287779237845,41.66666666666667,1610612758,0,2,2025-12-21T03:12:38Z,140000,False,42.0,142.0,1,left,MISS D. DeRozan 14' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,,14.82,Missed,,,,,,,,,,,,,,,,,
15,PT10M25.00S,2025-12-21T03:11:53.7Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,2,2025-12-21T03:11:58Z,150000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
