actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-03-16T02:10:02.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-16T02:10:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-16T02:10:05.4Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2026-03-16T02:10:05Z,40000,False,,,0,,Jump Ball M. Raynaud vs. A. Garcia: Tip to P. Achiuwa,"[1630173, 1642875, 1643158]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Garcia,1643158.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-16T02:10:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,82.60512483574244,49.50980392156863,1610612758,2,0,2026-03-16T02:10:21Z,70000,False,-2.0,111.0,1,right,D. DeRozan 11' turnaround Jump Shot (2 PTS),[201942],1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,11.1,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2026-03-16T02:10:38.7Z,1,REGULAR,2pt,Jump Shot,[],1642268,23.603810775295663,63.23529411764706,1610612762,2,0,2026-03-16T02:10:48Z,80000,False,-66.0,169.0,1,left,MISS I. Collier 18' pullup bank Shot,[1642268],1610612762.0,UTA,pullup bank,,,Collier,I. Collier,,,,,Mid-Range,16-24 Left Center,18.19,Missed,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2026-03-16T02:10:42.7Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,2,0,2026-03-16T02:10:43Z,90000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Mid-Range,16-24 Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M09.00S,2026-03-16T02:10:52.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642875,89.17542706964521,51.71568627450981,1610612758,2,0,2026-03-16T02:11:16Z,100000,False,9.0,49.0,1,right,MISS M. Raynaud turnaround Hook - blocked,"[1642875, 1643158]",1610612758.0,SAC,turnaround,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,5.0,Missed,,,,,,Garcia,1643158.0,,,,,,,,,,,
11,PT11M09.00S,2026-03-16T02:10:52.3Z,1,REGULAR,block,,[],1643158,,,1610612758,2,0,2026-03-16T02:10:54Z,110000,False,,,0,,A. Garcia BLOCK (1 BLK),[1643158],1610612762.0,UTA,,,,Garcia,A. Garcia,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2026-03-16T02:10:53.3Z,1,REGULAR,rebound,defensive,[],1643158,,,1610612762,2,0,2026-03-16T02:11:32Z,120000,False,,,0,,A. Garcia REBOUND (Off:0 Def:1),[1643158],1610612762.0,UTA,,,,Garcia,A. Garcia,,,,,In The Paint (Non-RA),0-8 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M03.00S,2026-03-16T02:10:58.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641729,25.969119579500656,17.401960784313726,1610612762,2,0,2026-03-16T02:11:48Z,130000,False,163.0,192.0,1,left,MISS B. Sensabaugh 25' running 3PT,[1641729],1610612762.0,UTA,running,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Right Center,25.16,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2026-03-16T02:11:01.3Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,2,0,2026-03-16T02:20:08Z,140000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M48.00S,2026-03-16T02:11:14.8Z,1,REGULAR,foul,personal,['2freethrow'],1641989,,,1610612758,2,0,2026-03-16T02:11:26Z,150000,False,,,0,,E. Harkless shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1641989, 201942]",1610612762.0,UTA,shooting,,,Harkless,E. Harkless,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,201245.0,1.0,0.0,DeRozan,201942.0,,,,,,
17,PT10M48.00S,2026-03-16T02:11:39.8Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612758,2,0,2026-03-16T02:18:55Z,170000,False,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
18,PT10M48.00S,2026-03-16T02:11:39.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,2,0,2026-03-16T02:18:55Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,
19,PT10M48.00S,2026-03-16T02:11:39.8Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612758,3,0,2026-03-16T02:18:55Z,190000,False,,,0,,D. DeRozan Free Throw 2 of 2 (3 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
