actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-07T03:12:29.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-07T03:12:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-02-07T03:12:34.3Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612758,0,0,2026-02-07T03:12:34Z,40000,False,,,0,,Jump Ball M. Raynaud vs. B. Lopez: Tip to R. Westbrook,"[201566, 1642875, 201572]",1610612758.0,SAC,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Raynaud,1642875.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-02-07T03:12:46.8Z,1,REGULAR,2pt,Jump Shot,[],1629631,77.08607095926413,56.372549019607845,1610612758,2,0,2026-02-07T03:12:58Z,70000,False,32.0,163.0,1,right,D. Hunter 16' pullup Jump Shot (2 PTS),[1629631],1610612758.0,SAC,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,16.6,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2026-02-07T03:13:06.3Z,1,REGULAR,3pt,Jump Shot,[],1627739,31.750985545335087,65.19607843137256,1610612746,2,0,2026-02-07T03:13:13Z,80000,False,-76.0,246.0,1,left,MISS K. Dunn 25' 3PT,[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Center,25.75,Missed,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2026-02-07T03:13:09.3Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,2,0,2026-02-07T03:13:13Z,90000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M05.00S,2026-02-07T03:13:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,82.21090670170827,58.57843137254902,1610612758,2,0,2026-02-07T03:13:54Z,100000,False,43.0,115.0,1,right,MISS D. DeRozan 12' driving floating Shot,[201942],1610612758.0,SAC,driving floating,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,12.25,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2026-02-07T03:13:26.8Z,1,REGULAR,rebound,offensive,[],201942,,,1610612758,2,0,2026-02-07T03:13:54Z,110000,False,,,0,,D. DeRozan REBOUND (Off:1 Def:0),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M02.00S,2026-02-07T03:13:28.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203897,73.14388961892247,18.38235294117647,1610612758,2,0,2026-02-07T03:14:24Z,120000,False,-158.0,200.0,1,right,MISS Z. LaVine 25' 3PT,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2026-02-07T03:13:29.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612746,2,0,2026-02-07T03:14:24Z,130000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M47.00S,2026-02-07T03:13:42.0Z,1,REGULAR,3pt,Jump Shot,[],201572,28.07161629434954,22.30392156862745,1610612746,2,0,2026-02-07T03:13:47Z,140000,False,138.0,211.0,1,left,MISS B. Lopez 25' 3PT,[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2026-02-07T03:13:46.0Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,2,0,2026-02-07T03:13:47Z,150000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M32.00S,2026-02-07T03:13:56.1Z,1,REGULAR,3pt,Jump Shot,[],201566,69.99014454664915,73.0392156862745,1610612758,2,0,2026-02-07T03:14:01Z,160000,False,115.0,230.0,1,right,MISS R. Westbrook 25' 3PT,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2026-02-07T03:13:59.1Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612746,2,0,2026-02-07T03:14:01Z,170000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Right Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
