actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-17T03:10:15.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-17T03:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-17T03:10:17.3Z,1,REGULAR,jumpball,recovered,[],203897,,,1610612758,0,0,2026-01-17T03:10:17Z,40000,False,,,0,,Jump Ball M. Raynaud vs. A. Sarr: Tip to Z. LaVine,"[203897, 1642875, 1642259]",1610612758.0,SAC,startperiod,Z. LaVine,203897.0,LaVine,Z. LaVine,Raynaud,1642875.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-01-17T03:10:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,19.530223390275953,51.9607843137255,1610612758,2,0,2026-01-17T03:10:43Z,70000,False,-10.0,131.0,1,left,D. DeRozan 13' fadeaway Jump Shot (2 PTS) (M. Raynaud 1 AST),"[201942, 1642875]",1610612758.0,SAC,fadeaway,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,13.15,Made,2.0,M. Raynaud,1642875.0,1.0,,,,,,,,,,,,,,
8,PT11M19.00S,2026-01-17T03:10:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642273,90.22667542706965,54.65686274509803,1610612764,2,0,2026-01-17T03:11:05Z,80000,False,23.0,39.0,1,right,MISS K. George driving Layup,[1642273],1610612764.0,WAS,driving,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,4.58,Missed,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2026-01-17T03:10:55.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,2,0,2026-01-17T03:11:05Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,8.0,,,,,,,,,,,,,
10,PT11M19.00S,2026-01-17T03:11:02.4Z,1,REGULAR,foul,personal,[],1630551,,,1610612758,2,0,2026-01-17T03:11:25Z,100000,False,,,0,,J. Champagnie loose ball personal FOUL (1 PF),"[1630551, 1642875]",1610612764.0,WAS,loose ball,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,1627964.0,1.0,0.0,Raynaud,1642875.0,,,,,,,,
12,PT10M57.00S,2026-01-17T03:11:30.6Z,1,REGULAR,3pt,Jump Shot,[],203897,27.94021024967148,23.774509803921568,1610612758,2,0,2026-01-17T03:11:41Z,120000,False,131.0,210.0,1,left,MISS Z. LaVine 24' step back 3PT,[203897],1610612758.0,SAC,step back,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,24.76,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2026-01-17T03:11:33.6Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,2,0,2026-01-17T03:11:41Z,130000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,,,,,,1.0,1.0,0.0,,,,,
14,PT10M46.00S,2026-01-17T03:11:42.0Z,1,REGULAR,turnover,lost ball,[],1642267,,,1610612764,2,0,2026-01-17T03:11:47Z,140000,False,,,0,,B. Carrington lost ball TURNOVER (1 TO),"[1642267, 1642875]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Raynaud,1642875.0,,
15,PT10M46.00S,2026-01-17T03:11:42.0Z,1,REGULAR,steal,,[],1642875,,,1610612758,2,0,2026-01-17T03:11:43Z,150000,False,,,0,,M. Raynaud STEAL (1 STL),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2026-01-17T03:11:45.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630173,5.338370565045992,49.754901960784316,1610612758,4,0,2026-01-17T03:11:54Z,160000,False,1.0,-2.0,1,left,P. Achiuwa running DUNK (2 PTS) (M. Raynaud 2 AST),"[1630173, 1642875]",1610612758.0,SAC,running,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,0.26,Made,2.0,M. Raynaud,1642875.0,2.0,,,,,,,,,,,,,,
