actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-19T02:12:24.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-19T02:12:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-19T02:12:27.9Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2026-01-19T02:12:27Z,40000,False,,,0,,Jump Ball M. Raynaud vs. D. Clingan: Tip to P. Achiuwa,"[1630173, 1642875, 1642270]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-19T02:12:39.9Z,1,REGULAR,2pt,Jump Shot,[],201942,22.683968462549277,63.970588235294116,1610612758,2,0,2026-01-19T02:12:47Z,70000,False,-70.0,161.0,1,left,D. DeRozan 17' pullup Jump Shot (2 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,17.52,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2026-01-19T02:13:05.7Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612757,2,0,2026-01-19T02:13:23Z,90000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Camara 2 FT),"[201942, 1641739]",1610612758.0,SAC,shooting,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,200833.0,1.0,0.0,Camara,1641739.0,,,,,,,,,,,,
11,PT11M20.00S,2026-01-19T02:13:32.2Z,1,REGULAR,freethrow,1 of 2,[],1641739,,,1610612757,2,1,2026-01-19T02:13:32Z,110000,False,,,0,,T. Camara Free Throw 1 of 2 (1 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2026-01-19T02:13:44.6Z,1,REGULAR,freethrow,2 of 2,[],1641739,,,1610612757,2,2,2026-01-19T02:13:44Z,120000,False,,,0,,T. Camara Free Throw 2 of 2 (2 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2026-01-19T02:14:14.3Z,1,REGULAR,2pt,Jump Shot,[],203897,20.05584756898817,30.637254901960787,1610612758,2,2,2026-01-19T02:14:21Z,140000,False,97.0,136.0,1,left,MISS Z. LaVine 16' fadeaway Shot,[203897],1610612758.0,SAC,fadeaway,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right Center,16.69,Missed,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2026-01-19T02:14:15.3Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,2,2,2026-01-19T02:15:11Z,150000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,16-24 Right Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M37.00S,2026-01-19T02:14:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,79.97700394218134,44.85294117647059,1610612757,2,4,2026-01-19T02:14:41Z,160000,False,-26.0,136.0,1,right,D. Avdija 13' fadeaway Jump Shot (2 PTS),[1630166],1610612757.0,POR,fadeaway,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,13.81,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2026-01-19T02:14:49.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,18.74178712220762,52.94117647058824,1610612758,2,4,2026-01-19T02:16:22Z,170000,False,-15.0,124.0,1,left,MISS M. Raynaud 12' floating Shot,[1642875],1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),8-16 Center,12.46,Missed,,,,,,,,,,,,,,,,,,
