actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-04-06T01:10:14.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-06T01:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-04-06T01:10:18.6Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2026-04-06T01:10:18Z,40000,False,,,0,,Jump Ball M. Raynaud vs. B. Lopez: Tip to P. Achiuwa,"[1630173, 1642875, 201572]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-04-06T01:10:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,84.57621550591328,50.98039215686274,1610612758,0,0,2026-04-06T01:11:10Z,70000,False,5.0,92.0,1,right,MISS P. Achiuwa 9' driving floating Shot,[1630173],1610612758.0,SAC,driving floating,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,9.26,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-04-06T01:10:37.2Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612746,0,0,2026-04-06T01:10:39Z,80000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612746.0,LAC,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2026-04-06T01:10:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627884,8.09789750328515,45.83333333333333,1610612746,0,0,2026-04-06T01:10:47Z,90000,False,21.0,24.0,1,left,MISS D. Jones Jr. alley-oop Layup,[1627884],1610612746.0,LAC,alley-oop,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,3.15,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2026-04-06T01:10:46.8Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,0,0,2026-04-06T01:10:47Z,100000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M09.00S,2026-04-06T01:11:05.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,84.57621550591328,51.71568627450981,1610612758,2,0,2026-04-06T01:11:42Z,110000,False,9.0,92.0,1,right,P. Achiuwa 9' driving floating Jump Shot (2 PTS),[1630173],1610612758.0,SAC,driving floating,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,9.29,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M50.00S,2026-04-06T01:11:23.6Z,1,REGULAR,2pt,Jump Shot,[],202695,5.601182654402102,30.637254901960787,1610612746,2,2,2026-04-06T01:11:29Z,120000,False,97.0,0.0,1,left,K. Leonard 9' fadeaway Jump Shot (2 PTS),[202695],1610612746.0,LAC,fadeaway,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,9.68,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M37.00S,2026-04-06T01:11:37.0Z,1,REGULAR,2pt,Jump Shot,[],201942,72.48685939553219,42.40196078431372,1610612758,4,2,2026-04-06T01:12:10Z,130000,False,-38.0,206.0,1,right,D. DeRozan 20' pullup Jump Shot (2 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,20.96,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M24.00S,2026-04-06T01:11:52.4Z,1,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612746,4,2,2026-04-06T01:12:04Z,140000,False,,,0,,P. Achiuwa shooting personal FOUL (1 PF) (Lopez 2 FT),"[1630173, 201572]",1610612758.0,SAC,shooting,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1179.0,1.0,0.0,Lopez,201572.0,,,,,,,,
