actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-27T22:10:10.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-27T22:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-27T22:10:12.8Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2025-12-27T22:10:12Z,40000,False,,,0,,Jump Ball M. Raynaud vs. D. Gafford: Tip to P. Achiuwa,"[1630173, 1642875, 1629655]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-27T22:10:27.2Z,1,REGULAR,foul,personal,[],1642948,,,1610612758,0,0,2025-12-27T22:10:35Z,70000,False,,,0,,R. Nembhard personal FOUL (1 PF),"[1642948, 1642875]",1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,1146.0,1.0,0.0,Raynaud,1642875.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-12-27T22:10:49.2Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612758,0,0,2025-12-27T22:10:55Z,90000,False,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1631108]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Right,,,,,,1.0,Christie,1631108.0,,,,,,,,,,,,
10,PT11M35.00S,2025-12-27T22:10:49.2Z,1,REGULAR,steal,,[],1631108,,,1610612742,0,0,2025-12-27T22:17:04Z,100000,False,,,0,,M. Christie STEAL (1 STL),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2025-12-27T22:10:53.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629655,91.67214191852825,52.69607843137255,1610612742,0,2,2025-12-27T22:11:01Z,110000,False,13.0,26.0,1,right,D. Gafford running DUNK (2 PTS) (R. Nembhard 1 AST),"[1629655, 1642948]",1610612742.0,DAL,running,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,2.91,Made,2.0,R. Nembhard,1642948.0,1.0,,,,,,
13,PT11M16.00S,2025-12-27T22:11:07.6Z,1,REGULAR,3pt,Jump Shot,[],201566,27.020367936925098,80.14705882352942,1610612758,0,2,2025-12-27T22:11:17Z,130000,False,-151.0,201.0,1,left,MISS R. Westbrook 25' 3PT,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.16,Missed,,,,,,,,,,
14,PT11M09.00S,2025-12-27T22:11:14.6Z,1,REGULAR,rebound,offensive,[],1642875,,,1610612758,0,2,2025-12-27T22:11:17Z,140000,False,,,0,,M. Raynaud REBOUND (Off:1 Def:0),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,
15,PT11M09.00S,2025-12-27T22:11:15.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642875,5.590000152587891,50.0,1610612758,0,2,2025-12-27T22:11:15Z,150000,False,0.0,0.0,1,left,MISS M. Raynaud tip Layup,[1642875],1610612758.0,SAC,tip,,,Raynaud,M. Raynaud,,,,,Mid-Range,8-16 Left,,,,,,,,,0.0,Missed,,,,,,,,,,
16,PT11M07.00S,2025-12-27T22:11:16.8Z,1,REGULAR,rebound,defensive,[],1642948,,,1610612742,0,2,2025-12-27T22:11:16Z,160000,False,,,0,,R. Nembhard REBOUND (Off:0 Def:1),[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,
