actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-01T02:10:30.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-01T02:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-01T02:10:33.8Z,1,REGULAR,jumpball,recovered,[],1631246,,,1610612763,0,0,2025-12-01T02:10:33Z,40000,False,,,0,,Jump Ball Z. Edey vs. D. Eubanks: Tip to V. Williams Jr.,"[1631246, 1641744, 1629234]",1610612763.0,MEM,startperiod,V. Williams Jr.,1631246.0,Williams Jr.,V. Williams Jr.,Edey,1641744.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-12-01T02:10:43.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,82.86793692509855,57.84313725490197,1610612763,0,0,2025-12-01T02:10:53Z,70000,False,39.0,109.0,1,right,MISS C. Coward 11' pullup Shot,[1642907],1610612763.0,MEM,pullup,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Center,11.54,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-12-01T02:10:44.2Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,0,0,2025-12-01T02:11:17Z,80000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2025-12-01T02:10:55.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,13.354139290407357,54.41176470588235,1610612758,0,0,2025-12-01T02:11:52Z,90000,False,-22.0,73.0,1,left,MISS D. DeRozan 7' driving floating Shot,[201942],1610612758.0,SAC,driving floating,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,7.63,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2025-12-01T02:10:58.6Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612758,0,0,2025-12-01T02:12:09Z,100000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:0),[1629234],1610612758.0,SAC,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M33.00S,2025-12-01T02:11:05.6Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629234,5.590000152587891,50.0,1610612758,2,0,2025-12-01T02:13:04Z,110000,False,0.0,0.0,1,left,D. Eubanks tip DUNK (2 PTS),[1629234],1610612758.0,SAC,tip,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M21.00S,2025-12-01T02:11:09.0Z,1,REGULAR,2pt,Jump Shot,[],1631246,79.84559789750328,25.0,1610612763,2,0,2025-12-01T02:13:42Z,120000,False,-125.0,137.0,1,right,MISS V. Williams Jr. 18' pullup Shot,[1631246],1610612763.0,MEM,pullup,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,16-24 Left Center,18.55,Missed,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2025-12-01T02:11:09.0Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,2,0,2025-12-01T02:11:46Z,130000,False,,,0,,Z. Edey REBOUND (Off:1 Def:0),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Mid-Range,16-24 Left Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M10.00S,2025-12-01T02:11:18.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642377,72.88107752956637,86.02941176470588,1610612763,2,3,2025-12-01T02:14:28Z,140000,False,180.0,202.0,1,right,J. Wells 27' 3PT pullup (3 PTS) (V. Williams Jr. 1 AST),"[1642377, 1631246]",1610612763.0,MEM,pullup,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,27.09,Made,,,,,3.0,V. Williams Jr.,1631246.0,1.0,,,,,,,,,,
17,PT10M52.00S,2025-12-01T02:11:36.7Z,1,REGULAR,3pt,Jump Shot,[],203897,30.831143232588698,28.431372549019606,1610612758,5,3,2025-12-01T02:15:03Z,160000,False,108.0,237.0,1,left,Z. LaVine 26' 3PT step back (3 PTS) (K. Murray 1 AST),"[203897, 1631099]",1610612758.0,SAC,step back,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,26.06,Made,,,,,3.0,K. Murray,1631099.0,1.0,,,,,,,,,,
19,PT10M31.00S,2025-12-01T02:11:58.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641744,91.93495400788436,44.36274509803921,1610612763,5,5,2025-12-01T02:15:45Z,180000,False,-28.0,23.0,1,right,Z. Edey driving reverse Layup (2 PTS),[1641744],1610612763.0,MEM,driving reverse,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,3.66,Made,,,,,2.0,,,,,,,,,,,,,
21,PT10M15.00S,2025-12-01T02:12:15.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,18.2161629434954,36.029411764705884,1610612758,7,5,2025-12-01T02:12:24Z,200000,False,70.0,119.0,1,left,K. Murray 13' Jump Shot (2 PTS) (R. Westbrook 1 AST),"[1631099, 201566]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,13.78,Made,,,,,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,
23,PT10M04.00S,2025-12-01T02:12:25.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,80.50262812089356,44.85294117647059,1610612763,7,7,2025-12-01T02:17:29Z,220000,False,-26.0,131.0,1,right,J. Jackson Jr. 13' driving floating Jump Shot (2 PTS),[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.33,Made,,,,,2.0,,,,,,,,,,,,,
24,PT09M47.00S,2025-12-01T02:12:43.0Z,1,REGULAR,3pt,Jump Shot,[],1631099,27.808804204993432,19.852941176470587,1610612758,7,7,2025-12-01T02:12:49Z,230000,False,151.0,209.0,1,left,MISS K. Murray 25' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,25.76,Missed,,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2025-12-01T02:12:46.0Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,7,7,2025-12-01T02:12:49Z,240000,False,,,0,,Z. Edey REBOUND (Off:1 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Right Center,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,,,
26,PT09M36.00S,2025-12-01T02:12:54.8Z,1,REGULAR,2pt,Layup,[],1628991,89.96386333771353,68.38235294117648,1610612763,7,7,2025-12-01T02:18:26Z,250000,False,92.0,42.0,1,right,MISS J. Jackson Jr. 10' driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,10.1,Missed,,,,,,,,,,,,,,,,,,
27,PT09M34.00S,2025-12-01T02:12:56.8Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,7,7,2025-12-01T02:18:26Z,260000,False,,,0,,Z. Edey REBOUND (Off:2 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Mid-Range,8-16 Right,,,26.0,3.0,1.0,2.0,,,,,,,,,,,,,,
28,PT09M34.00S,2025-12-01T02:13:00.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641744,94.40999984741211,50.0,1610612763,7,9,2025-12-01T02:18:33Z,270000,False,0.0,0.0,1,right,Z. Edey tip Layup (4 PTS),[1641744],1610612763.0,MEM,tip,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,4.0,,,,,,,,,,,,,
29,PT09M15.00S,2025-12-01T02:13:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.046649145860711,40.68627450980392,1610612758,7,9,2025-12-01T02:13:21Z,280000,False,47.0,14.0,1,left,MISS R. Westbrook driving Layup - blocked,"[201566, 1641744]",1610612758.0,SAC,driving,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,4.86,Missed,,,,,,,,,Edey,1641744.0,,,,,,,,
30,PT09M15.00S,2025-12-01T02:13:14.1Z,1,REGULAR,block,,[],1641744,,,1610612758,7,9,2025-12-01T02:13:17Z,290000,False,,,0,,Z. Edey BLOCK (1 BLK),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M12.00S,2025-12-01T02:13:17.1Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,7,9,2025-12-01T02:13:21Z,300000,False,,,0,,Z. Edey REBOUND (Off:2 Def:2),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,29.0,4.0,2.0,2.0,,,,,,,,,,,,,,
32,PT09M09.00S,2025-12-01T02:13:20.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642377,88.12417871222075,3.9215686274509802,1610612763,7,12,2025-12-01T02:13:32Z,310000,False,-230.0,59.0,1,right,J. Wells 3PT running (6 PTS) (C. Coward 1 AST),"[1642377, 1642907]",1610612763.0,MEM,running,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,23.79,Made,,,,,6.0,C. Coward,1642907.0,1.0,,,,,,,,,,
34,PT08M53.00S,2025-12-01T02:13:35.8Z,1,REGULAR,2pt,Jump Shot,[],201942,20.05584756898817,72.54901960784314,1610612758,9,12,2025-12-01T02:20:00Z,330000,False,-113.0,136.0,1,left,D. DeRozan 17' pullup Jump Shot (2 PTS) (R. Westbrook 2 AST),"[201942, 201566]",1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,17.66,Made,,,,,2.0,R. Westbrook,201566.0,2.0,,,,,,,,,,
36,PT08M39.00S,2025-12-01T02:13:50.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,84.97043363994744,57.84313725490197,1610612763,9,12,2025-12-01T02:13:54Z,350000,False,39.0,89.0,1,right,MISS Z. Edey 9' Hook,[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),8-16 Center,9.71,Missed,,,,,,,,,,,,,,,,,,
37,PT08M37.00S,2025-12-01T02:13:52.1Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,9,12,2025-12-01T02:13:54Z,360000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M33.00S,2025-12-01T02:13:59.2Z,1,REGULAR,turnover,out-of-bounds,[],1629234,,,1610612758,9,12,2025-12-01T02:14:09Z,370000,False,,,0,,D. Eubanks bad pass out-of-bounds TURNOVER (1 TO),[1629234],1610612758.0,SAC,bad pass,,,Eubanks,D. Eubanks,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1162.0,1.0,,,,,,
39,PT08M18.00S,2025-12-01T02:14:24.3Z,1,REGULAR,foul,personal,[],1629234,,,1610612763,9,12,2025-12-01T02:15:00Z,380000,False,,,0,,D. Eubanks personal FOUL (1 PF),"[1629234, 1642377]",1610612758.0,SAC,,,,Eubanks,D. Eubanks,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202037.0,,1.0,0.0,Wells,1642377.0,,
41,PT08M12.00S,2025-12-01T02:15:09.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642377,80.6340341655716,30.637254901960787,1610612763,9,12,2025-12-01T02:15:21Z,400000,False,-97.0,130.0,1,right,MISS J. Wells 16' pullup Shot,[1642377],1610612763.0,MEM,pullup,,,Wells,J. Wells,,,,,Mid-Range,16-24 Left Center,16.17,Missed,,,,,,,,,,,,,,,,,,
