actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-05T03:11:43.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-05T03:11:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M50.00S,2026-02-05T03:11:52.4Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612758,0,0,2026-02-05T03:11:52Z,40000,False,,,0,,Jump Ball D. Sabonis vs. S. Aldama: Tip to D. DeRozan,"[201942, 1627734, 1630583]",1610612758.0,SAC,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Sabonis,1627734.0,Aldama,1630583.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-05T03:12:06.3Z,1,REGULAR,foul,personal,[],1641713,,,1610612758,0,0,2026-02-05T03:12:23Z,70000,False,,,0,,G. Jackson personal FOUL (1 PF),"[1641713, 1629631]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,200834.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-02-05T03:12:24.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,8.229303547963205,97.05882352941177,1610612758,3,0,2026-02-05T03:13:27Z,90000,False,-235.0,25.0,1,left,D. Hunter 3PT  (3 PTS) (D. DeRozan 1 AST),"[1629631, 201942]",1610612758.0,SAC,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,,,,,,23.66,Made,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,
11,PT11M25.00S,2026-02-05T03:12:36.6Z,1,REGULAR,2pt,Jump Shot,[],1642907,87.20433639947439,75.98039215686273,1610612763,3,0,2026-02-05T03:13:59Z,110000,False,130.0,68.0,1,right,MISS C. Coward 14' driving floating Shot,[1642907],1610612763.0,MEM,driving floating,,,Coward,C. Coward,,,,,Mid-Range,8-16 Right,,,,,,14.65,Missed,,,,,,,,,,,,,
12,PT11M23.00S,2026-02-05T03:12:38.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,3,0,2026-02-05T03:13:59Z,120000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M08.00S,2026-02-05T03:12:53.9Z,1,REGULAR,3pt,Jump Shot,[],201566,6.652431011826544,3.6764705882352944,1610612758,3,0,2026-02-05T03:14:35Z,130000,False,232.0,10.0,1,left,MISS R. Westbrook 3PT,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Right Corner 3,24+ Right,,,,,,23.18,Missed,,,,,,,,,,,,,
14,PT11M07.00S,2026-02-05T03:12:54.9Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,3,0,2026-02-05T03:14:35Z,140000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,13.0,2.0,1.0,1.0,,,,,
15,PT11M07.00S,2026-02-05T03:12:57.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,6.652431011826544,45.83333333333333,1610612758,5,0,2026-02-05T03:14:40Z,150000,False,21.0,10.0,1,left,D. Sabonis putback Layup (2 PTS),[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,2.31,Made,2.0,,,,,,,,,,,,
16,PT10M51.00S,2026-02-05T03:13:09.2Z,1,REGULAR,3pt,Jump Shot,[],1630583,71.04139290407359,78.18627450980392,1610612763,5,0,2026-02-05T03:13:13Z,160000,False,141.0,220.0,1,right,MISS S. Aldama 26' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,,,,26.1,Missed,,,,,,,,,,,,,
17,PT10M48.00S,2026-02-05T03:13:12.2Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612758,5,0,2026-02-05T03:13:13Z,170000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612758.0,SAC,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
