actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-05T02:10:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-05T02:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2026-01-05T02:10:26.3Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612758,0,0,2026-01-05T02:10:26Z,40000,False,,,0,,Jump Ball M. Raynaud vs. M. Turner: Tip to R. Westbrook,"[201566, 1642875, 1626167]",1610612758.0,SAC,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Raynaud,1642875.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-05T02:10:38.4Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612758,0,0,2026-01-05T02:10:50Z,70000,False,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1631260]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,1.0,Green,1631260.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-01-05T02:10:38.4Z,1,REGULAR,steal,,[],1631260,,,1610612749,0,0,2026-01-05T02:12:12Z,80000,False,,,0,,A. Green STEAL (1 STL),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2026-01-05T02:10:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629645,89.04402102496715,37.745098039215684,1610612749,0,2,2026-01-05T02:10:55Z,90000,False,-61.0,50.0,1,right,K. Porter Jr. 7' driving finger roll Layup (2 PTS),[1629645],1610612749.0,MIL,driving finger roll,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,7.94,Made,2.0,,,,,,,,,,,,,,
10,PT11M18.00S,2026-01-05T02:11:00.5Z,1,REGULAR,2pt,Jump Shot,[],201942,7.30946123521682,20.34313725490196,1610612758,2,2,2026-01-05T02:11:40Z,100000,False,148.0,16.0,1,left,D. DeRozan 14' pullup Jump Shot (2 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,,,,14.92,Made,2.0,,,,,,,,,,,,,,
11,PT11M01.00S,2026-01-05T02:11:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,89.83245729303549,48.03921568627451,1610612749,2,4,2026-01-05T02:12:19Z,110000,False,-10.0,43.0,1,right,G. Antetokounmpo driving finger roll Layup (2 PTS) (R. Rollins 1 AST),"[203507, 1631157]",1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,4.42,Made,2.0,R. Rollins,1631157.0,1.0,,,,,,,,,,,
12,PT10M56.00S,2026-01-05T02:11:21.7Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612758,2,4,2026-01-05T02:12:54Z,120000,False,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1629645]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,1.0,Porter Jr.,1629645.0,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2026-01-05T02:11:21.7Z,1,REGULAR,steal,,[],1629645,,,1610612749,2,4,2026-01-05T02:11:24Z,130000,False,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2026-01-05T02:11:35.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631260,82.07950065703022,95.58823529411765,1610612749,2,4,2026-01-05T02:11:44Z,140000,False,228.0,116.0,1,right,MISS A. Green 25' 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,,,,25.57,Missed,,,,,,,,,,,,,,,
