actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-13T03:10:26.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-13T03:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-13T03:10:28.7Z,1,REGULAR,jumpball,recovered,[],1631222,,,1610612747,0,0,2026-01-13T03:10:28Z,40000,False,,,0,,Jump Ball D. Ayton vs. M. Raynaud: Tip to J. LaRavia,"[1631222, 1629028, 1642875]",1610612747.0,LAL,startperiod,J. LaRavia,1631222.0,LaRavia,J. LaRavia,Ayton,1629028.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-01-13T03:10:39.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2544,92.19776609724047,50.245098039215684,1610612747,0,2,2026-01-13T03:10:43Z,70000,False,1.0,21.0,1,right,L. James alley-oop DUNK (2 PTS) (D. Ayton 1 AST),"[2544, 1629028]",1610612747.0,LAL,alley-oop,,,James,L. James,,,,,Restricted Area,0-8 Center,2.08,Made,2.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2026-01-13T03:10:54.9Z,1,REGULAR,turnover,bad pass,[],1642875,,,1610612758,0,2,2026-01-13T03:11:01Z,90000,False,,,0,,M. Raynaud bad pass TURNOVER (1 TO),"[1642875, 203935]",1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Smart,203935.0,,,,,,,,,,,
10,PT11M30.00S,2026-01-13T03:10:54.9Z,1,REGULAR,steal,,[],203935,,,1610612747,0,2,2026-01-13T03:10:58Z,100000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2026-01-13T03:11:02.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631222,91.40932982917214,4.166666666666666,1610612747,0,2,2026-01-13T03:11:12Z,110000,False,-229.0,28.0,1,right,MISS J. LaRavia running 3PT,[1631222],1610612747.0,LAL,running,,,LaRavia,J. LaRavia,,,,,Left Corner 3,24+ Left,23.09,Missed,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2026-01-13T03:11:04.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,0,2,2026-01-13T03:12:13Z,120000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Left Corner 3,24+ Left,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT11M12.00S,2026-01-13T03:11:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,6.258212877792378,41.66666666666667,1610612758,0,2,2026-01-13T03:12:51Z,130000,False,42.0,6.0,1,left,MISS P. Achiuwa driving Layup,[1630173],1610612758.0,SAC,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,4.22,Missed,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2026-01-13T03:11:16.9Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612758,0,2,2026-01-13T03:12:51Z,140000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,
15,PT11M10.00S,2026-01-13T03:11:19.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630173,5.590000152587891,50.0,1610612758,2,2,2026-01-13T03:12:58Z,150000,False,0.0,0.0,1,left,P. Achiuwa tip Layup (2 PTS),[1630173],1610612758.0,SAC,tip,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2026-01-13T03:11:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,86.41590013140605,61.51960784313726,1610612747,2,2,2026-01-13T03:14:59Z,160000,False,58.0,75.0,1,right,MISS D. Ayton 9' driving Layup,[1629028],1610612747.0,LAL,driving,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Right,9.47,Missed,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2026-01-13T03:11:34.8Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612747,2,2,2026-01-13T03:14:59Z,170000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,
18,PT10M49.00S,2026-01-13T03:11:39.6Z,1,REGULAR,turnover,out-of-bounds,[],1629028,,,1610612747,2,2,2026-01-13T03:11:46Z,180000,False,,,0,,D. Ayton lost ball out-of-bounds TURNOVER (1 TO),[1629028],1610612747.0,LAL,lost ball,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left,,,,,,,1.0,,,,,,,1627534.0,,,,,,
19,PT10M37.00S,2026-01-13T03:12:03.5Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612758,2,2,2026-01-13T03:12:08Z,190000,False,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1629029]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Dončić,1629029.0,,,,,,,,,,,
20,PT10M37.00S,2026-01-13T03:12:03.5Z,1,REGULAR,steal,,[],1629029,,,1610612747,2,2,2026-01-13T03:12:06Z,200000,False,,,0,,L. Dončić STEAL (1 STL),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2026-01-13T03:12:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",2544,91.01511169513797,57.107843137254896,1610612747,2,4,2026-01-13T03:12:16Z,210000,False,36.0,32.0,1,right,L. James running Layup (4 PTS) (L. Dončić 1 AST),"[2544, 1629029]",1610612747.0,LAL,running,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,4.0,L. Dončić,1629029.0,1.0,,,,,,,,,,,,,,
23,PT10M12.00S,2026-01-13T03:12:28.4Z,1,REGULAR,2pt,Jump Shot,[],203897,19.66162943495401,21.323529411764707,1610612758,2,4,2026-01-13T03:12:36Z,230000,False,143.0,132.0,1,left,MISS Z. LaVine 19' fadeaway Shot,[203897],1610612758.0,SAC,fadeaway,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right Center,19.51,Missed,,,,,,,,,,,,,,,,,,
24,PT10M09.00S,2026-01-13T03:12:31.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,2,4,2026-01-13T03:12:36Z,240000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,
25,PT10M07.00S,2026-01-13T03:12:34.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,91.67214191852825,56.86274509803921,1610612747,2,6,2026-01-13T03:12:42Z,250000,False,34.0,26.0,1,right,L. James running Layup (6 PTS) (M. Smart 1 AST),"[2544, 203935]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,4.29,Made,6.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
