actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-04T04:12:23.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-04T04:12:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-04T04:12:30.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612756,0,0,2026-03-04T04:12:30Z,40000,False,,,0,,Jump Ball M. Williams vs. M. Raynaud: Tip to Team (PHX),"[1631109, 1642875]",1610612756.0,PHX,startperiod,Team (PHX),Williams,1631109.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-03-04T04:12:55.6Z,1,REGULAR,3pt,Jump Shot,[],1631221,66.70499342969777,56.61764705882353,1610612756,0,3,2026-03-04T04:13:05Z,80000,False,33.0,260.0,1,right,C. Gillespie 26' 3PT pullup (3 PTS) (D. Booker 1 AST),"[1631221, 1626164]",1610612756.0,PHX,pullup,,,,,,Above the Break 3,24+ Center,26.26,Made,3.0,Gillespie,C. Gillespie,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,
10,PT11M19.00S,2026-03-04T04:13:17.4Z,1,REGULAR,2pt,Jump Shot,[],201942,21.23850197109067,39.705882352941174,1610612758,2,3,2026-03-04T04:13:23Z,100000,False,51.0,147.0,1,left,D. DeRozan 15' pullup Jump Shot (2 PTS),[201942],1610612758.0,SAC,pullup,,,,,,Mid-Range,8-16 Center,15.59,Made,2.0,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,
11,PT11M04.00S,2026-03-04T04:13:32.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,69.07030223390277,24.754901960784316,1610612756,2,3,2026-03-04T04:13:57Z,110000,False,-126.0,238.0,1,right,MISS J. Green 26' pullup 3PT,[1630224],1610612756.0,PHX,pullup,,,,,,Above the Break 3,24+ Left Center,26.96,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2026-03-04T04:13:35.5Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,2,3,2026-03-04T04:13:41Z,120000,False,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,,,,Above the Break 3,24+ Left Center,,,,Booker,D. Booker,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT10M59.00S,2026-03-04T04:13:37.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631221,76.95466491458606,90.44117647058823,1610612756,2,6,2026-03-04T04:13:50Z,130000,False,202.0,164.0,1,right,C. Gillespie 26' 3PT  (6 PTS) (R. O'Neale 1 AST),"[1631221, 1626220]",1610612756.0,PHX,,,,,,,Above the Break 3,24+ Right Center,26.04,Made,6.0,Gillespie,C. Gillespie,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,,,
15,PT10M43.00S,2026-03-04T04:13:54.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,13.87976346911958,44.36274509803921,1610612758,4,6,2026-03-04T04:14:57Z,150000,False,28.0,78.0,1,left,P. Achiuwa 8' driving floating Jump Shot (2 PTS) (R. Westbrook 1 AST),"[1630173, 201566]",1610612758.0,SAC,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,8.29,Made,2.0,Achiuwa,P. Achiuwa,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
17,PT10M31.00S,2026-03-04T04:14:07.1Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,4,6,2026-03-04T04:14:11Z,170000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1630173]",1610612756.0,PHX,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Booker,D. Booker,,,,,,,,1.0,Achiuwa,1630173.0,,,,,,,
18,PT10M31.00S,2026-03-04T04:14:07.1Z,1,REGULAR,steal,,[],1630173,,,1610612758,4,6,2026-03-04T04:14:09Z,180000,False,,,0,,P. Achiuwa STEAL (1 STL),[1630173],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,
19,PT10M26.00S,2026-03-04T04:14:11.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201566,21.23850197109067,11.519607843137255,1610612758,4,6,2026-03-04T04:14:24Z,190000,False,192.0,147.0,1,left,MISS R. Westbrook 24' running 3PT,[201566],1610612758.0,SAC,running,,,,,,Above the Break 3,24+ Right Center,24.22,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
20,PT10M21.00S,2026-03-04T04:14:16.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,4,6,2026-03-04T04:14:19Z,200000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,,,,Above the Break 3,24+ Right Center,,,,O'Neale,R. O'Neale,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M09.00S,2026-03-04T04:14:28.0Z,1,REGULAR,3pt,Jump Shot,[],1631221,64.60249671484888,75.0,1610612756,4,6,2026-03-04T04:16:16Z,210000,False,125.0,280.0,1,right,MISS C. Gillespie 30' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,,,,Above the Break 3,24+ Right Center,30.68,Missed,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2026-03-04T04:14:29.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,4,6,2026-03-04T04:14:34Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,21.0,,,,,,,,,,,,,
