actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-22T03:10:06.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-22T03:10:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-22T03:10:10.0Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2025-12-22T03:10:10Z,40000,False,,,0,,Jump Ball M. Raynaud vs. A. Sengun: Tip to P. Achiuwa,"[1630173, 1642875, 1630578]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-12-22T03:10:22.6Z,1,REGULAR,2pt,Jump Shot,[],201566,78.40013140604468,68.13725490196079,1610612758,2,0,2025-12-22T03:10:36Z,70000,False,91.0,151.0,1,right,R. Westbrook 17' pullup Jump Shot (2 PTS) (D. DeRozan 1 AST),"[201566, 201942]",1610612758.0,SAC,pullup,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Right Center,17.57,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
8,PT11M22.00S,2025-12-22T03:10:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,5.732588699080158,49.50980392156863,1610612745,2,2,2025-12-22T03:10:49Z,80000,False,2.0,1.0,1,left,A. Sengun driving Layup (2 PTS) (K. Durant 1 AST),"[1630578, 201142]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.29,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,
10,PT11M08.00S,2025-12-22T03:10:57.6Z,1,REGULAR,turnover,bad pass,[],1630173,,,1610612758,2,2,2025-12-22T03:11:05Z,100000,False,,,0,,P. Achiuwa bad pass TURNOVER (1 TO),"[1630173, 1641708]",1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Thompson,1641708.0,,,,,,,,,,,
11,PT11M08.00S,2025-12-22T03:10:57.6Z,1,REGULAR,steal,,[],1641708,,,1610612745,2,2,2025-12-22T03:11:02Z,110000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2025-12-22T03:11:04.5Z,1,REGULAR,turnover,bad pass,[],1641708,,,1610612745,2,2,2025-12-22T03:11:08Z,120000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641708, 201942]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,DeRozan,201942.0,,,,,,,,,,,
13,PT11M01.00S,2025-12-22T03:11:04.5Z,1,REGULAR,steal,,[],201942,,,1610612758,2,2,2025-12-22T03:11:06Z,130000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2025-12-22T03:11:21.8Z,1,REGULAR,violation,kicked ball,[],1630578,,,1610612758,2,2,2025-12-22T03:11:28Z,140000,False,,,0,,A. Sengun kicked ball VIOLATION,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,201639.0,,,,,,,,,,
15,PT10M39.00S,2025-12-22T03:11:37.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201566,65.91655716162943,41.66666666666667,1610612758,5,2,2025-12-22T03:11:41Z,150000,False,-42.0,268.0,1,right,R. Westbrook 27' 3PT  (5 PTS) (D. DeRozan 2 AST),"[201566, 201942]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,27.11,Made,5.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,,
17,PT10M13.00S,2025-12-22T03:12:02.9Z,1,REGULAR,3pt,Jump Shot,[],1631095,28.991458607095925,18.872549019607842,1610612745,5,2,2025-12-22T03:12:07Z,170000,False,156.0,220.0,1,left,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.95,Missed,,,,,,,,,,,,,,,,,,
18,PT10M09.00S,2025-12-22T03:12:06.9Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,5,2,2025-12-22T03:12:07Z,180000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT09M55.00S,2025-12-22T03:12:20.0Z,1,REGULAR,3pt,Jump Shot,[],201566,68.54467805519053,18.627450980392158,1610612758,5,2,2025-12-22T03:12:26Z,190000,False,-157.0,243.0,1,right,MISS R. Westbrook 28' 3PT,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,28.94,Missed,,,,,,,,,,,,,,,,,,
20,PT09M53.00S,2025-12-22T03:12:22.0Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,5,2,2025-12-22T03:12:26Z,200000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,19.0,1.0,0.0,1.0,,,,,,
21,PT09M52.00S,2025-12-22T03:12:25.7Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612758,5,2,2025-12-22T03:12:38Z,210000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Murray 2 FT),"[1631095, 1631099]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,203054.0,,,,,1.0,0.0,Murray,1631099.0,,
23,PT09M52.00S,2025-12-22T03:12:49.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631099,,,1610612758,6,2,2025-12-22T03:12:49Z,230000,False,,,0,,K. Murray Free Throw 1 of 2 (1 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2025-12-22T03:13:02.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631099,,,1610612758,7,2,2025-12-22T03:13:02Z,240000,False,,,0,,K. Murray Free Throw 2 of 2 (2 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M36.00S,2025-12-22T03:13:22.5Z,1,REGULAR,3pt,Jump Shot,[],1631095,32.933639947437584,58.82352941176471,1610612745,7,2,2025-12-22T03:13:27Z,250000,False,-44.0,257.0,1,left,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,26.09,Missed,,,,,,,,,,,,,,,,,,
26,PT09M32.00S,2025-12-22T03:13:26.5Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,7,2,2025-12-22T03:13:27Z,260000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,,,25.0,2.0,1.0,1.0,,,,,,
27,PT09M23.00S,2025-12-22T03:13:35.2Z,1,REGULAR,2pt,Jump Shot,[],201942,76.69185282522996,53.67647058823529,1610612758,9,2,2025-12-22T03:13:40Z,270000,False,18.0,167.0,1,right,D. DeRozan 16' pullup Jump Shot (2 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,16.76,Made,2.0,,,,,,,,,,,,,,,,,
28,PT09M00.00S,2025-12-22T03:13:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,9.543363994743759,47.794117647058826,1610612745,9,4,2025-12-22T03:14:04Z,280000,False,11.0,37.0,1,left,A. Sengun driving Layup (4 PTS) (J. Smith Jr. 1 AST),"[1630578, 1631095]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.88,Made,4.0,J. Smith Jr.,1631095.0,1.0,,,,,,,,,,,,,,
30,PT08M50.00S,2025-12-22T03:14:09.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642875,88.38699080157687,39.705882352941174,1610612758,11,4,2025-12-22T03:14:15Z,300000,False,-51.0,57.0,1,right,M. Raynaud 7' bank Hook (2 PTS) (R. Westbrook 1 AST),"[1642875, 201566]",1610612758.0,SAC,bank,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,7.66,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
32,PT08M37.00S,2025-12-22T03:14:21.6Z,1,REGULAR,2pt,Jump Shot,[],201142,20.97568988173456,41.42156862745098,1610612745,11,4,2025-12-22T03:14:56Z,320000,False,43.0,145.0,1,left,MISS K. Durant 15' step back Shot,[201142],1610612745.0,HOU,step back,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,15.09,Missed,,,,,,,,,,,,,,,,,,
33,PT08M37.00S,2025-12-22T03:14:21.6Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,11,4,2025-12-22T03:14:56Z,330000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,
34,PT08M17.00S,2025-12-22T03:14:40.6Z,1,REGULAR,2pt,Jump Shot,[],201566,78.26872536136662,27.450980392156865,1610612758,11,4,2025-12-22T03:14:46Z,340000,False,-113.0,152.0,1,right,MISS R. Westbrook 18' fadeaway Shot,[201566],1610612758.0,SAC,fadeaway,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Left Center,18.91,Missed,,,,,,,,,,,,,,,,,,
35,PT08M15.00S,2025-12-22T03:14:42.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,11,4,2025-12-22T03:14:46Z,350000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,
36,PT08M08.00S,2025-12-22T03:14:50.2Z,1,REGULAR,3pt,Jump Shot,[],1629006,6.258212877792378,98.2843137254902,1610612745,11,4,2025-12-22T03:14:54Z,360000,False,-241.0,6.0,1,left,MISS J. Okogie 24' 3PT,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Left Corner 3,24+ Left,24.15,Missed,,,,,,,,,,,,,,,,,,
