actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-22T22:10:13.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-22T22:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-22T22:10:16.8Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2026-03-22T22:10:16Z,40000,False,,,0,,Jump Ball M. Raynaud vs. D. Wolf: Tip to P. Achiuwa,"[1630173, 1642875, 1642874]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Wolf,1642874.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-22T22:10:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,8.754927726675426,44.11764705882353,1610612758,2,0,2026-03-22T22:10:39Z,70000,False,29.0,30.0,1,left,M. Raynaud cutting Layup (2 PTS) (N. Clifford 1 AST),"[1642875, 1642363]",1610612758.0,SAC,cutting,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,4.19,Made,2.0,N. Clifford,1642363.0,1.0,,,,,,,,,,,,,,
10,PT11M20.00S,2026-03-22T22:11:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642849,88.38699080157687,55.14705882352941,1610612751,2,0,2026-03-22T22:11:14Z,100000,False,26.0,57.0,1,right,MISS N. Traore 6' driving Layup,[1642849],1610612751.0,BKN,driving,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,6.23,Missed,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2026-03-22T22:11:12.2Z,1,REGULAR,rebound,defensive,[],1642363,,,1610612758,2,0,2026-03-22T22:11:14Z,110000,False,,,0,,N. Clifford REBOUND (Off:0 Def:1),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M01.00S,2026-03-22T22:11:27.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642875,11.514454664914586,41.66666666666667,1610612758,4,0,2026-03-22T22:11:31Z,120000,False,42.0,56.0,1,left,M. Raynaud 6' turnaround Hook (4 PTS) (D. DeRozan 1 AST),"[1642875, 201942]",1610612758.0,SAC,turnaround,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,6.96,Made,4.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
14,PT10M40.00S,2026-03-22T22:11:48.6Z,1,REGULAR,3pt,Jump Shot,[],1642874,66.3107752956636,28.921568627450984,1610612751,4,0,2026-03-22T22:12:09Z,140000,False,-105.0,264.0,1,right,MISS D. Wolf 28' step back 3PT,[1642874],1610612751.0,BKN,step back,,,Wolf,D. Wolf,,,,,Above the Break 3,24+ Left Center,28.44,Missed,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2026-03-22T22:11:51.0Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612758,4,0,2026-03-22T22:11:51Z,150000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612758.0,SAC,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Left Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M25.00S,2026-03-22T22:12:06.0Z,1,REGULAR,turnover,out-of-bounds,[],1630173,,,1610612758,4,0,2026-03-22T22:12:15Z,160000,False,,,0,,P. Achiuwa lost ball out-of-bounds TURNOVER (1 TO),[1630173],1610612758.0,SAC,lost ball,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628484.0,1.0,,,,,,,,
17,PT10M13.00S,2026-03-22T22:12:25.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630533,91.80354796320631,42.40196078431372,1610612751,4,2,2026-03-22T22:12:29Z,170000,False,-38.0,25.0,1,right,Z. Williams driving Layup (2 PTS) (N. Traore 1 AST),"[1630533, 1642849]",1610612751.0,BKN,driving,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,4.52,Made,2.0,N. Traore,1642849.0,1.0,,,,,,,,,,,,,,
18,PT09M59.00S,2026-03-22T22:12:38.7Z,1,REGULAR,turnover,bad pass,[],1642875,,,1610612758,4,2,2026-03-22T22:12:42Z,180000,False,,,0,,M. Raynaud bad pass TURNOVER (1 TO),"[1642875, 1642849]",1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,1.0,Traore,1642849.0,,,,,,
19,PT09M59.00S,2026-03-22T22:12:38.7Z,1,REGULAR,steal,,[],1642849,,,1610612751,4,2,2026-03-22T22:12:40Z,190000,False,,,0,,N. Traore STEAL (1 STL),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT09M53.00S,2026-03-22T22:12:45.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642874,91.67214191852825,46.32352941176471,1610612751,4,4,2026-03-22T22:14:59Z,200000,False,-18.0,26.0,1,right,D. Wolf running reverse Layup (2 PTS) (Z. Williams 1 AST),"[1642874, 1630533]",1610612751.0,BKN,running reverse,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,3.17,Made,2.0,Z. Williams,1630533.0,1.0,,,,,,,,,,,,,,
22,PT09M30.00S,2026-03-22T22:13:08.0Z,1,REGULAR,3pt,Jump Shot,[],201942,30.305519053876477,24.754901960784316,1610612758,4,4,2026-03-22T22:13:11Z,220000,False,126.0,232.0,1,left,MISS D. DeRozan 26' 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
23,PT09M27.00S,2026-03-22T22:13:11.0Z,1,REGULAR,rebound,defensive,[],1642962,,,1610612751,4,4,2026-03-22T22:13:11Z,230000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Right Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M19.00S,2026-03-22T22:13:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642962,89.96386333771353,43.13725490196079,1610612751,4,6,2026-03-22T22:13:23Z,240000,False,-34.0,42.0,1,right,D. Powell driving Layup (2 PTS),[1642962],1610612751.0,BKN,driving,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,5.41,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M01.00S,2026-03-22T22:13:36.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630173,8.492115637319317,46.81372549019608,1610612758,6,6,2026-03-22T22:13:42Z,250000,False,16.0,27.0,1,left,P. Achiuwa driving DUNK (2 PTS) (M. Raynaud 1 AST),"[1630173, 1642875]",1610612758.0,SAC,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,3.16,Made,2.0,M. Raynaud,1642875.0,1.0,,,,,,,,,,,,,,
28,PT08M32.00S,2026-03-22T22:14:06.0Z,1,REGULAR,3pt,Jump Shot,[],1629611,70.25295663600527,82.59803921568627,1610612751,6,6,2026-03-22T22:14:10Z,270000,False,163.0,227.0,1,right,MISS T. Mann 27' step back 3PT,[1629611],1610612751.0,BKN,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,27.95,Missed,,,,,,,,,,,,,,,,,,
29,PT08M29.00S,2026-03-22T22:14:09.0Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,6,6,2026-03-22T22:14:10Z,280000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT08M18.00S,2026-03-22T22:14:19.6Z,1,REGULAR,2pt,Jump Shot,[],1630165,25.312089356110377,40.68627450980392,1610612758,6,6,2026-03-22T22:14:27Z,290000,False,47.0,185.0,1,left,MISS K. Hayes 19' pullup Shot,[1630165],1610612758.0,SAC,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Center,19.12,Missed,,,,,,,,,,,,,,,,,,
31,PT08M16.00S,2026-03-22T22:14:21.6Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612758,6,6,2026-03-22T22:14:21Z,300000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Center,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,
