actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-12T04:12:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-12T04:12:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-11-12T04:12:51.1Z,1,REGULAR,jumpball,recovered,[],0,,,1610612758,0,0,2025-11-12T04:12:51Z,40000,False,,,0,,Jump Ball D. Sabonis vs. N. Jokić: Tip to Team (SAC),"[1627734, 203999]",1610612758.0,SAC,startperiod,Team (SAC),Sabonis,1627734.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2025-11-12T04:12:56.9Z,1,REGULAR,violation,jumpball,[],203999,,,1610612758,0,0,2025-11-12T04:14:42Z,70000,False,,,0,,N. Jokić jumpball VIOLATION,[203999],1610612743.0,DEN,,,,,,,202026.0,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-11-12T04:13:32.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,20.18725361366623,51.470588235294116,1610612758,2,0,2025-11-12T04:13:40Z,80000,False,-7.0,137.0,1,left,D. Sabonis 13' Jump Shot (2 PTS) (D. Schröder 1 AST),"[1627734, 203471]",1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,In The Paint (Non-RA),8-16 Center,13.75,Made,2.0,D. Schröder,203471.0,1.0,,,,,,,,,,,,,
10,PT11M22.00S,2025-11-12T04:13:50.8Z,1,REGULAR,2pt,Jump Shot,[],203999,79.31997371879106,50.245098039215684,1610612743,2,2,2025-11-12T04:14:08Z,100000,False,1.0,142.0,1,right,N. Jokić 14' Jump Shot (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,Mid-Range,8-16 Center,14.19,Made,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,
12,PT11M00.00S,2025-11-12T04:14:14.0Z,1,REGULAR,3pt,Jump Shot,[],201942,7.5722733245729295,4.6568627450980395,1610612758,2,2,2025-11-12T04:14:44Z,120000,False,227.0,19.0,1,left,MISS D. DeRozan 3PT,[201942],1610612758.0,SAC,,,,,,,,DeRozan,D. DeRozan,Right Corner 3,24+ Right,22.75,Missed,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2025-11-12T04:14:16.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,2,2025-11-12T04:14:16Z,130000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,Right Corner 3,24+ Right,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M53.00S,2025-11-12T04:14:25.7Z,1,REGULAR,foul,personal,[],1627734,,,1610612743,2,2,2025-11-12T04:14:32Z,140000,False,,,0,,D. Sabonis personal FOUL (1 PF),"[1627734, 203999]",1610612758.0,SAC,,,,,,,1627526.0,Sabonis,D. Sabonis,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,0.0,Jokić,203999.0,,,,,
16,PT10M49.00S,2025-11-12T04:14:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,89.56964520367937,38.970588235294116,1610612743,2,2,2025-11-12T04:14:50Z,160000,False,-55.0,46.0,1,right,MISS C. Johnson 7' driving Layup,[1629661],1610612743.0,DEN,driving,,,,,,,Johnson,C. Johnson,In The Paint (Non-RA),0-8 Center,7.15,Missed,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2025-11-12T04:14:42.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,2,2025-11-12T04:14:50Z,170000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,In The Paint (Non-RA),0-8 Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M42.00S,2025-11-12T04:14:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,6.389618922470433,39.950980392156865,1610612758,4,2,2025-11-12T04:15:32Z,180000,False,50.0,8.0,1,left,D. Sabonis running Layup (4 PTS),[1627734],1610612758.0,SAC,running,,,,,,,Sabonis,D. Sabonis,In The Paint (Non-RA),0-8 Center,5.08,Made,4.0,,,,,,,,,,,,,,,,
19,PT10M18.00S,2025-11-12T04:15:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,92.32917214191852,40.68627450980392,1610612743,4,4,2025-11-12T04:16:06Z,190000,False,-47.0,20.0,1,right,C. Johnson driving reverse Layup (2 PTS) (N. Jokić 1 AST),"[1629661, 203999]",1610612743.0,DEN,driving reverse,,,,,,,Johnson,C. Johnson,In The Paint (Non-RA),0-8 Center,5.06,Made,2.0,N. Jokić,203999.0,1.0,,,,,,,,,,,,,
21,PT10M03.00S,2025-11-12T04:15:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,8.623521681997373,54.166666666666664,1610612758,6,4,2025-11-12T04:16:20Z,210000,False,-21.0,29.0,1,left,D. Sabonis floating Jump Shot (6 PTS) (D. DeRozan 1 AST),"[1627734, 201942]",1610612758.0,SAC,floating,,,,,,,Sabonis,D. Sabonis,Restricted Area,0-8 Center,3.54,Made,6.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,
23,PT09M45.00S,2025-11-12T04:15:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,91.40932982917214,53.92156862745098,1610612743,6,6,2025-11-12T04:15:57Z,230000,False,20.0,28.0,1,right,C. Braun cutting Layup (2 PTS) (N. Jokić 2 AST),"[1631128, 203999]",1610612743.0,DEN,cutting,,,,,,,Braun,C. Braun,Restricted Area,0-8 Center,3.44,Made,2.0,N. Jokić,203999.0,2.0,,,,,,,,,,,,,
25,PT09M38.00S,2025-11-12T04:15:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203897,6.652431011826544,42.64705882352941,1610612758,8,6,2025-11-12T04:16:03Z,250000,False,37.0,10.0,1,left,Z. LaVine driving bank Jump Shot (2 PTS) (D. Schröder 2 AST),"[203897, 203471]",1610612758.0,SAC,driving bank,,,,,,,LaVine,Z. LaVine,Restricted Area,0-8 Center,3.81,Made,2.0,D. Schröder,203471.0,2.0,,,,,,,,,,,,,
27,PT09M21.00S,2025-11-12T04:16:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,94.30026281208936,38.23529411764706,1610612743,8,8,2025-11-12T04:16:15Z,270000,False,-59.0,1.0,1,right,C. Braun driving Layup (4 PTS) (N. Jokić 3 AST),"[1631128, 203999]",1610612743.0,DEN,driving,,,,,,,Braun,C. Braun,In The Paint (Non-RA),0-8 Center,5.88,Made,4.0,N. Jokić,203999.0,3.0,,,,,,,,,,,,,
29,PT09M09.00S,2025-11-12T04:16:21.6Z,1,REGULAR,3pt,Jump Shot,[],1627734,32.013797634691194,55.14705882352941,1610612758,8,8,2025-11-12T04:16:27Z,290000,False,-26.0,248.0,1,left,MISS D. Sabonis 24' 3PT,[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,Above the Break 3,24+ Center,24.97,Missed,,,,,,,,,,,,,,,,,
30,PT09M05.00S,2025-11-12T04:16:25.6Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,8,8,2025-11-12T04:16:27Z,300000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,,,,,Murray,J. Murray,Above the Break 3,24+ Center,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M01.00S,2025-11-12T04:16:29.9Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",203999,87.72996057818659,49.01960784313725,1610612743,8,10,2025-11-12T04:17:56Z,310000,False,-5.0,63.0,1,right,N. Jokić 6' turnaround Hook (4 PTS) (J. Murray 2 AST),"[203999, 1627750]",1610612743.0,DEN,turnaround,,,,,,,Jokić,N. Jokić,In The Paint (Non-RA),0-8 Center,6.3,Made,4.0,J. Murray,1627750.0,2.0,,,,,,,,,,,,,
33,PT08M48.00S,2025-11-12T04:16:43.0Z,1,REGULAR,3pt,Jump Shot,[],1627734,31.61957950065703,54.90196078431373,1610612758,8,10,2025-11-12T04:16:51Z,330000,False,-25.0,245.0,1,left,MISS D. Sabonis 24' 3PT,[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,Above the Break 3,24+ Center,24.59,Missed,,,,,,,,,,,,,,,,,
34,PT08M48.00S,2025-11-12T04:16:43.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,8,10,2025-11-12T04:16:51Z,340000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,Above the Break 3,24+ Center,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,
35,PT08M38.00S,2025-11-12T04:16:52.7Z,1,REGULAR,3pt,Jump Shot,[],1627750,65.65374507227332,51.71568627450981,1610612743,8,13,2025-11-12T04:17:00Z,350000,False,9.0,270.0,1,right,J. Murray 27' 3PT step back (3 PTS),[1627750],1610612743.0,DEN,step back,,,,,,,Murray,J. Murray,Above the Break 3,24+ Center,27.05,Made,3.0,,,,,,,,,,,,,,,,
36,PT08M15.00S,2025-11-12T04:17:15.3Z,1,REGULAR,3pt,Jump Shot,[],203471,17.296320630749015,4.6568627450980395,1610612758,8,13,2025-11-12T04:17:20Z,360000,False,227.0,110.0,1,left,MISS D. Schröder 25' 3PT,[203471],1610612758.0,SAC,,,,,,,,Schröder,D. Schröder,Above the Break 3,24+ Right Center,25.2,Missed,,,,,,,,,,,,,,,,,
37,PT08M13.00S,2025-11-12T04:17:17.3Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,8,13,2025-11-12T04:17:20Z,370000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,,,,,Braun,C. Braun,Above the Break 3,24+ Right Center,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,
38,PT07M59.00S,2025-11-12T04:17:33.0Z,1,REGULAR,2pt,Jump Shot,[],203932,88.78120893561103,32.84313725490196,1610612743,8,15,2025-11-12T04:19:38Z,380000,False,-86.0,53.0,1,right,A. Gordon 10' turnaround fadeaway bank Jump Shot (2 PTS),[203932],1610612743.0,DEN,turnaround fadeaway bank,,,,,,,Gordon,A. Gordon,Mid-Range,8-16 Left,10.08,Made,2.0,,,,,,,,,,,,,,,,
39,PT07M58.00S,2025-11-12T04:17:40.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,8,15,2025-11-12T04:17:40Z,390000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M42.00S,2025-11-12T04:21:29.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,5.075558475689881,48.28431372549019,1610612758,10,15,2025-11-12T04:21:54Z,400000,False,9.0,-5.0,1,left,D. Sabonis cutting DUNK (8 PTS) (Z. LaVine 1 AST),"[1627734, 203897]",1610612758.0,SAC,cutting,,,,,,,Sabonis,D. Sabonis,Restricted Area,0-8 Center,0.98,Made,8.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,
