actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-20T02:10:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-20T02:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-20T02:10:14.5Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2026-03-20T02:10:14Z,40000,False,,,0,,Jump Ball M. Raynaud vs. A. Bona: Tip to P. Achiuwa,"[1630173, 1642875, 1641737]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-20T02:10:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631342,13.091327201051248,49.754901960784316,1610612758,2,0,2026-03-20T02:10:45Z,70000,False,1.0,71.0,1,left,D. Plowden 7' driving floating Jump Shot (2 PTS) (M. Raynaud 1 AST),"[1631342, 1642875]",1610612758.0,SAC,driving floating,,,Plowden,D. Plowden,,,,,In The Paint (Non-RA),0-8 Center,7.06,Made,2.0,M. Raynaud,1642875.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2026-03-20T02:10:50.5Z,1,REGULAR,3pt,Jump Shot,[],1642348,67.49342969776609,77.20588235294117,1610612755,2,3,2026-03-20T02:10:57Z,90000,False,136.0,253.0,1,right,J. Edwards 28' 3PT  (3 PTS) (Q. Grimes 1 AST),"[1642348, 1629656]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Right Center,28.73,Made,3.0,Q. Grimes,1629656.0,1.0,,,,,,,,,,,,,,
11,PT10M58.00S,2026-03-20T02:11:11.8Z,1,REGULAR,2pt,Jump Shot,[],201942,5.338370565045992,76.7156862745098,1610612758,2,3,2026-03-20T02:11:43Z,110000,False,-134.0,-2.0,1,left,MISS D. DeRozan 13' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,13.36,Missed,,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2026-03-20T02:11:16.8Z,1,REGULAR,rebound,defensive,[],1641737,,,1610612755,2,3,2026-03-20T02:11:18Z,120000,False,,,0,,A. Bona REBOUND (Off:0 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,8-16 Left,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M44.00S,2026-03-20T02:11:25.8Z,1,REGULAR,3pt,Jump Shot,[],1642348,74.06373193166885,87.25490196078431,1610612755,2,6,2026-03-20T02:11:31Z,130000,False,186.0,191.0,1,right,J. Edwards 26' 3PT  (6 PTS) (V. Edgecombe 1 AST),"[1642348, 1642845]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Right Center,26.7,Made,6.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,,,,
15,PT10M26.00S,2026-03-20T02:11:43.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642875,8.360709592641262,52.450980392156865,1610612758,4,6,2026-03-20T02:11:49Z,150000,False,-12.0,26.0,1,left,M. Raynaud turnaround Hook (2 PTS) (R. Westbrook 1 AST),"[1642875, 201566]",1610612758.0,SAC,turnaround,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,2.89,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
17,PT10M11.00S,2026-03-20T02:11:58.7Z,1,REGULAR,3pt,Jump Shot,[],1642348,68.01905387647832,25.49019607843137,1610612755,4,6,2026-03-20T02:12:11Z,170000,False,-123.0,248.0,1,right,MISS J. Edwards 27' pullup 3PT,[1642348],1610612755.0,PHI,pullup,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Left Center,27.67,Missed,,,,,,,,,,,,,,,,,,
18,PT10M10.00S,2026-03-20T02:11:59.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,4,6,2026-03-20T02:12:04Z,180000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,17.0,,,,,,,,,,,,,
