actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-07T04:12:47.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-07T04:12:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-07T04:12:51.5Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612758,0,0,2026-01-07T04:12:51Z,40000,False,,,0,,Jump Ball M. Raynaud vs. D. Gafford: Tip to P. Achiuwa,"[1630173, 1642875, 1629655]",1610612758.0,SAC,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Raynaud,1642875.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-07T04:13:07.1Z,1,REGULAR,3pt,Jump Shot,[],201942,29.77989487516426,71.32352941176471,1610612758,3,0,2026-01-07T04:13:15Z,70000,False,-107.0,227.0,1,left,D. DeRozan 25' 3PT  (3 PTS) (Z. LaVine 1 AST),"[201942, 203897]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,25.11,Made,3.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2026-01-07T04:13:25.5Z,1,REGULAR,turnover,lost ball,[],1629655,,,1610612742,3,0,2026-01-07T04:13:33Z,90000,False,,,0,,D. Gafford lost ball TURNOVER (1 TO),"[1629655, 203897]",1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,LaVine,203897.0,,,,,,,,,,,
10,PT11M21.00S,2026-01-07T04:13:25.5Z,1,REGULAR,steal,,[],203897,,,1610612758,3,0,2026-01-07T04:13:27Z,100000,False,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2026-01-07T04:13:30.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201942,28.728646517739815,76.9607843137255,1610612758,3,0,2026-01-07T04:13:59Z,110000,False,-135.0,218.0,1,left,MISS D. DeRozan 25' running 3PT,[201942],1610612758.0,SAC,running,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2026-01-07T04:13:33.3Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612742,3,0,2026-01-07T04:13:40Z,120000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT11M01.00S,2026-01-07T04:13:48.0Z,1,REGULAR,foul,personal,[],201942,,,1610612742,3,0,2026-01-07T04:14:07Z,130000,False,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 203076]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1179.0,1.0,0.0,Davis,203076.0,,
15,PT10M55.00S,2026-01-07T04:14:16.0Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612742,3,0,2026-01-07T04:14:32Z,150000,False,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Christie 2 FT),"[203897, 1631108]",1610612758.0,SAC,shooting,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1179.0,1.0,0.0,Christie,1631108.0,,
17,PT10M55.00S,2026-01-07T04:14:43.6Z,1,REGULAR,freethrow,1 of 2,[],1631108,,,1610612742,3,1,2026-01-07T04:14:43Z,170000,False,,,0,,M. Christie Free Throw 1 of 2 (1 PTS),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
18,PT10M55.00S,2026-01-07T04:14:59.2Z,1,REGULAR,freethrow,2 of 2,[],1631108,,,1610612742,3,2,2026-01-07T04:14:59Z,180000,False,,,0,,M. Christie Free Throw 2 of 2 (2 PTS),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M47.00S,2026-01-07T04:15:08.5Z,1,REGULAR,2pt,Jump Shot,[],201566,16.376478318002626,24.019607843137255,1610612758,3,2,2026-01-07T04:15:51Z,190000,False,130.0,101.0,1,left,MISS R. Westbrook 16' pullup Shot,[201566],1610612758.0,SAC,pullup,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Right Center,16.48,Missed,,,,,,,,,,,,,,,,,,
