actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-02T03:10:22.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-02T03:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-01-02T03:10:26.6Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2026-01-02T03:10:26Z,40000,False,,,0,,Jump Ball N. Queta vs. M. Raynaud: Tip to D. White,"[1628401, 1629674, 1642875]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Queta,1629674.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2026-01-02T03:10:31.4Z,1,REGULAR,turnover,out-of-bounds,[],1629674,,,1610612738,0,0,2026-01-02T03:10:39Z,70000,False,,,0,,N. Queta bad pass out-of-bounds TURNOVER (1 TO),[1629674],1610612738.0,BOS,bad pass,,,Queta,N. Queta,,,,,Above the Break 3,24+ Left Center,201246.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2026-01-02T03:10:56.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630173,5.075558475689881,96.56862745098039,1610612758,3,0,2026-01-02T03:11:00Z,80000,False,-233.0,-5.0,1,left,P. Achiuwa 3PT  (3 PTS) (K. Murray 1 AST),"[1630173, 1631099]",1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Left Corner 3,24+ Left,,,23.28,Made,3.0,K. Murray,1631099.0,1.0,,,,,,,,,,,,
10,PT11M09.00S,2026-01-02T03:11:16.7Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,3,0,2026-01-02T03:11:22Z,100000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1630173]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,Achiuwa,1630173.0,,,,,,,,,,
11,PT11M09.00S,2026-01-02T03:11:16.7Z,1,REGULAR,steal,,[],1630173,,,1610612758,3,0,2026-01-02T03:11:19Z,110000,False,,,0,,P. Achiuwa STEAL (1 STL),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2026-01-02T03:11:20.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630173,8.09789750328515,51.470588235294116,1610612758,5,0,2026-01-02T03:11:26Z,120000,False,-7.0,24.0,1,left,P. Achiuwa running DUNK (5 PTS),[1630173],1610612758.0,SAC,running,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,2.47,Made,5.0,,,,,,,,,,,,,,,
13,PT10M46.00S,2026-01-02T03:11:40.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,79.05716162943496,70.09803921568627,1610612738,5,0,2026-01-02T03:11:48Z,130000,False,100.0,144.0,1,right,MISS J. Brown 17' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,17.59,Missed,,,,,,,,,,,,,,,,
14,PT10M44.00S,2026-01-02T03:11:42.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,0,2026-01-02T03:11:48Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,13.0,,,,,,,,,
16,PT10M36.00S,2026-01-02T03:12:05.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,73.66951379763469,90.68627450980392,1610612738,5,0,2026-01-02T03:12:11Z,160000,False,203.0,195.0,1,right,MISS J. Brown 28' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,28.18,Missed,,,,,,,,,,,,,,,,
