actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-02T23:10:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-02T23:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-04-02T23:10:48.4Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612766,0,0,2025-04-02T23:10:48Z,40000,False,,,0,,Jump Ball M. Williams vs. M. Turner: Tip to J. Green,"[1630182, 1631109, 1626167]",1610612766.0,CHA,startperiod,J. Green,1630182.0,Green,J. Green,Williams,1631109.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-04-02T23:11:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642354,91.40932982917214,51.470588235294116,1610612766,0,2,2025-04-02T23:11:08Z,70000,False,7.0,28.0,1,right,K. Simpson driving finger roll Layup (2 PTS),[1642354],1610612766.0,CHA,driving finger roll,,,Simpson,K. Simpson,,,,,Restricted Area,0-8 Center,2.93,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2025-04-02T23:11:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,7.178055190538765,52.94117647058824,1610612754,2,2,2025-04-02T23:11:25Z,80000,False,-15.0,15.0,1,left,A. Nesmith Layup (2 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,2.1,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M07.00S,2025-04-02T23:11:38.2Z,1,REGULAR,turnover,bad pass,[],1631109,,,1610612766,2,2,2025-04-02T23:11:44Z,100000,False,,,0,,M. Williams bad pass TURNOVER (1 TO),"[1631109, 1629614]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,1.0,Nembhard,1629614.0,,,,,,,,,,,,,,
11,PT11M07.00S,2025-04-02T23:11:38.2Z,1,REGULAR,steal,,[],1629614,,,1610612754,2,2,2025-04-02T23:11:39Z,110000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2025-04-02T23:11:42.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626167,28.203022339027594,80.14705882352942,1610612754,5,2,2025-04-02T23:12:56Z,120000,False,-151.0,213.0,1,left,M. Turner 26' 3PT running (3 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,running,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,26.06,Made,3.0,,,,T. Haliburton,1630169.0,1.0,,,,,,,,,,,
14,PT10M44.00S,2025-04-02T23:12:01.2Z,1,REGULAR,3pt,Jump Shot,[],1642354,67.88764783180025,62.5,1610612766,5,2,2025-04-02T23:12:06Z,140000,False,62.0,249.0,1,right,MISS K. Simpson 25' step back 3PT,[1642354],1610612766.0,CHA,step back,,,Simpson,K. Simpson,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2025-04-02T23:12:03.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,5,2,2025-04-02T23:12:06Z,150000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M36.00S,2025-04-02T23:12:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,15.325229960578188,36.51960784313725,1610612754,5,2,2025-04-02T23:12:14Z,160000,False,67.0,92.0,1,left,MISS P. Siakam 11' floating Shot,[1627783],1610612754.0,IND,floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,11.37,Missed,,,,,,,,,,,,,,,,,,
