actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-08T23:10:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-08T23:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-04-08T23:10:50.8Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-04-08T23:10:50Z,40000,False,,,0,,Jump Ball A. Sarr vs. M. Turner: Tip to B. Carrington,"[1642267, 1642259, 1626167]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-04-08T23:11:10.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642259,10.85742444152431,54.90196078431373,1610612764,0,2,2025-04-08T23:12:50Z,70000,False,-25.0,50.0,1,left,A. Sarr turnaround Hook (2 PTS) (B. Carrington 1 AST),"[1642259, 1642267]",1610612764.0,WAS,turnaround,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,5.53,Made,2.0,B. Carrington,1642267.0,1.0,,,,,,,,,,,,,,
8,PT11M14.00S,2025-04-08T23:11:34.5Z,1,REGULAR,2pt,Jump Shot,[],1627783,90.22667542706965,70.09803921568627,1610612754,2,2,2025-04-08T23:12:18Z,80000,False,100.0,39.0,1,right,P. Siakam 10' turnaround fadeaway Jump Shot (2 PTS),[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,10.79,Made,2.0,,,,,,,,,,,,,,,,,
9,PT10M58.00S,2025-04-08T23:11:50.3Z,1,REGULAR,2pt,Jump Shot,[],1629673,20.97568988173456,47.05882352941176,1610612764,2,2,2025-04-08T23:11:59Z,90000,False,15.0,145.0,1,left,MISS J. Poole 14' driving floating Shot,[1629673],1610612764.0,WAS,driving floating,,,Poole,J. Poole,,,,,Mid-Range,8-16 Center,14.54,Missed,,,,,,,,,,,,,,,,,,
10,PT10M56.00S,2025-04-08T23:11:52.3Z,1,REGULAR,rebound,offensive,[],1629673,,,1610612764,2,2,2025-04-08T23:11:59Z,100000,False,,,0,,J. Poole REBOUND (Off:1 Def:0),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT10M55.00S,2025-04-08T23:11:53.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629673,14.273981603153747,48.28431372549019,1610612764,2,4,2025-04-08T23:12:01Z,110000,False,9.0,82.0,1,left,J. Poole 8' Jump Shot (2 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,8.22,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M44.00S,2025-04-08T23:12:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.19776609724047,47.30392156862745,1610612754,4,4,2025-04-08T23:12:11Z,120000,False,-13.0,21.0,1,right,P. Siakam driving Layup (4 PTS),[1627783],1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.48,Made,4.0,,,,,,,,,,,,,,,,,
14,PT10M29.00S,2025-04-08T23:12:19.1Z,1,REGULAR,turnover,lost ball,[],1642267,,,1610612764,4,4,2025-04-08T23:12:27Z,130000,False,,,0,,B. Carrington lost ball TURNOVER (1 TO),"[1642267, 1630174]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Nesmith,1630174.0,,,,,,,
15,PT10M29.00S,2025-04-08T23:12:19.1Z,1,REGULAR,steal,,[],1630174,,,1610612754,4,4,2025-04-08T23:12:21Z,140000,False,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
16,PT10M20.00S,2025-04-08T23:12:28.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,73.53810775295663,80.88235294117648,1610612754,4,4,2025-04-08T23:12:33Z,150000,False,154.0,196.0,1,right,MISS A. Nesmith 24' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,24.97,Missed,,,,,,,,,,,,,,,,,,
