actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-05T00:10:30.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-05T00:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-05T00:10:32.9Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2025-01-05T00:10:32Z,40000,False,,,0,,Jump Ball M. Plumlee vs. M. Turner: Tip to B. Beal,"[203078, 203486, 1626167]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Plumlee,203486.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-01-05T00:10:41.0Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612756,0,0,2025-01-05T00:10:47Z,70000,False,,,0,,K. Durant lost ball out-of-bounds TURNOVER (1 TO),[201142],1610612756.0,PHX,lost ball,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,1628951.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-01-05T00:11:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,29.38567674113009,70.83333333333334,1610612754,0,0,2025-01-05T00:11:06Z,80000,False,-104.0,224.0,1,left,MISS M. Turner 24' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,24.68,Missed,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-01-05T00:11:06.7Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,0,0,2025-01-05T00:11:06Z,90000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M11.00S,2025-01-05T00:11:27.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,87.07293035479631,9.068627450980392,1610612756,0,0,2025-01-05T00:11:31Z,100000,False,-205.0,69.0,1,right,MISS D. Booker 21' Jump Shot,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left,,,21.6,Missed,,,,,,,,,,,,,,,,
11,PT11M08.00S,2025-01-05T00:11:30.4Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,0,0,2025-01-05T00:11:31Z,110000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Left,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M04.00S,2025-01-05T00:11:35.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631097,9.017739816031538,42.40196078431372,1610612754,2,0,2025-01-05T00:11:39Z,120000,False,38.0,32.0,1,left,B. Mathurin running finger roll Layup (2 PTS) (T. Haliburton 1 AST),"[1631097, 1630169]",1610612754.0,IND,running finger roll,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,4.99,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,
13,PT10M48.00S,2025-01-05T00:11:50.7Z,1,REGULAR,2pt,Jump Shot,[],201142,76.16622864651774,46.568627450980394,1610612756,2,0,2025-01-05T00:11:54Z,130000,False,-17.0,172.0,1,right,MISS K. Durant 17' Jump Shot,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,,,17.24,Missed,,,,,,,,,,,,,,,,
14,PT10M46.00S,2025-01-05T00:11:52.7Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,2,0,2025-01-05T00:11:54Z,140000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Center,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,
