actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-11T23:35:43.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-11T23:35:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-11T23:35:45.3Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2025-03-11T23:35:45Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Turner: Tip to G. Antetokounmpo,"[203507, 201572, 1626167]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-11T23:36:02.1Z,1,REGULAR,3pt,Jump Shot,[],201572,31.225361366622867,7.8431372549019605,1610612749,0,0,2025-03-11T23:36:06Z,70000,False,211.0,241.0,1,left,MISS B. Lopez 32' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,32.02,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-03-11T23:36:06.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,0,2025-03-11T23:36:06Z,80000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-03-11T23:36:17.9Z,1,REGULAR,3pt,Jump Shot,[],1626167,69.33311432325887,21.323529411764707,1610612754,0,0,2025-03-11T23:36:22Z,90000,False,-143.0,236.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,27.6,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-03-11T23:36:21.9Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,0,0,2025-03-11T23:36:22Z,100000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2025-03-11T23:36:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,5.338370565045992,51.225490196078425,1610612749,0,2,2025-03-11T23:36:31Z,110000,False,-6.0,-2.0,1,left,B. Lopez cutting Layup (2 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,0.65,Made,,,,,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
13,PT10M59.00S,2025-03-11T23:36:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,96.66557161629436,51.71568627450981,1610612754,0,2,2025-03-11T23:38:01Z,130000,False,9.0,-21.0,1,right,MISS A. Nesmith driving Layup,[1630174],1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,2.29,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2025-03-11T23:36:45.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,2,2025-03-11T23:36:46Z,140000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M43.00S,2025-03-11T23:36:57.7Z,1,REGULAR,3pt,Jump Shot,[],1627752,24.917871222076215,7.352941176470589,1610612749,0,2,2025-03-11T23:37:07Z,150000,False,213.0,182.0,1,left,MISS T. Prince 28' pullup 3PT,[1627752],1610612749.0,MIL,pullup,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,28.01,Missed,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2025-03-11T23:37:00.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,2,2025-03-11T23:37:07Z,160000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M28.00S,2025-03-11T23:37:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,94.43166885676742,51.225490196078425,1610612754,2,2,2025-03-11T23:37:17Z,170000,False,6.0,0.0,1,right,A. Nesmith driving finger roll Layup (2 PTS) (T. Haliburton 1 AST),"[1630174, 1630169]",1610612754.0,IND,driving finger roll,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
