actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
21,PT10M06.00S,2024-10-27T19:47:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,89.70105124835742,54.166666666666664,1610612754,6,0,2024-10-27T19:49:40Z,200000,False,21.0,44.0,1,right,T. Haliburton driving Layup (4 PTS) (P. Siakam 1 AST),"[1630169, 1627783]",1610612754.0,IND,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.89,Made,4.0,Haliburton,T. Haliburton,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,,
23,PT09M58.00S,2024-10-27T19:47:26.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,7.835085413929041,41.17647058823529,1610612755,6,2,2024-10-27T19:47:30Z,220000,False,44.0,21.0,1,left,C. Martin driving Layup (2 PTS),[1628997],1610612755.0,PHI,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.89,Made,2.0,Martin,C. Martin,,,,,,,,,,,,,,,,,,
24,PT09M43.00S,2024-10-27T19:47:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,88.78120893561103,39.950980392156865,1610612754,6,2,2024-10-27T19:47:45Z,230000,False,-50.0,53.0,1,right,MISS T. Haliburton 7' finger roll Layup - blocked,"[1630169, 203083]",1610612754.0,IND,finger roll,,,,,,In The Paint (Non-RA),0-8 Center,7.3,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,Drummond,203083.0,
25,PT09M43.00S,2024-10-27T19:47:40.6Z,1,REGULAR,block,,[],203083,,,1610612754,6,2,2024-10-27T19:47:42Z,240000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
26,PT09M43.00S,2024-10-27T19:47:40.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,6,2,2024-10-27T19:47:45Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,24.0,,,,,,
28,PT09M43.00S,2024-10-27T19:47:47.4Z,1,REGULAR,foul,technical,['1freethrow'],1630169,,,1610612754,6,2,2024-10-27T19:47:54Z,270000,False,,,0,,T. Haliburton technical FOUL (1 Tech),[1630169],1610612754.0,IND,,,,,,,,,,,,Haliburton,T. Haliburton,,,,,,,1627964.0,0.0,1.0,,,,,,,,,
29,PT09M43.00S,2024-10-27T19:48:15.1Z,1,REGULAR,freethrow,1 of 1,[],1630178,,,1610612754,6,3,2024-10-27T19:48:15Z,280000,False,,,0,,T. Maxey technical Free Throw 1 of 1 (1 PTS),[1630178],1610612755.0,PHI,technical,,,,,,,,,Made,1.0,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
30,PT09M42.00S,2024-10-27T19:48:41.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630169,77.08607095926413,10.53921568627451,1610612754,6,3,2024-10-27T19:48:49Z,290000,False,-197.0,163.0,1,right,MISS T. Haliburton 25' 3PT,[1630169],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,
31,PT09M39.00S,2024-10-27T19:48:46.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,6,3,2024-10-27T19:48:46Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,30.0,,,,,,
33,PT09M26.00S,2024-10-27T19:49:02.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,30.17411300919842,80.88235294117648,1610612755,6,3,2024-10-27T19:49:09Z,320000,False,-154.0,231.0,1,left,MISS T. Maxey 27' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Left Center,27.79,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
