actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-25T00:10:18.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-25T00:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-25T00:10:19.9Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2025-02-25T00:10:19Z,40000,False,,,0,,Jump Ball N. Jokić vs. M. Turner: Tip to A. Gordon,"[203932, 203999, 1626167]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokić,203999.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-25T00:10:32.7Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,0,0,2025-02-25T00:10:36Z,70000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1629614]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,1.0,Nembhard,1629614.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-02-25T00:10:32.7Z,1,REGULAR,steal,,[],1629614,,,1610612754,0,0,2025-02-25T00:10:33Z,80000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-02-25T00:10:37.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,92.32917214191852,52.69607843137255,1610612754,2,0,2025-02-25T00:10:42Z,90000,False,13.0,20.0,1,right,P. Siakam running finger roll Layup (2 PTS) (A. Nembhard 1 AST),"[1627783, 1629614]",1610612754.0,IND,running finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,2.38,Made,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,
10,PT11M21.00S,2025-02-25T00:10:56.0Z,1,REGULAR,3pt,Jump Shot,[],1629008,31.882391590013142,67.64705882352942,1610612743,2,3,2025-02-25T00:11:08Z,100000,False,-88.0,247.0,1,left,M. Porter Jr. 26' 3PT step back (3 PTS) (N. Jokić 1 AST),"[1629008, 203999]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,26.25,Made,3.0,N. Jokić,203999.0,1.0,,,,,,,,,,,
13,PT11M01.00S,2025-02-25T00:11:16.8Z,1,REGULAR,2pt,Jump Shot,[],1629614,72.61826544021025,32.84313725490196,1610612754,4,3,2025-02-25T00:11:21Z,120000,False,-86.0,205.0,1,right,A. Nembhard 22' step back Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,step back,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Left Center,,,,22.21,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,
15,PT10M47.00S,2025-02-25T00:11:35.0Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612743,4,3,2025-02-25T00:11:45Z,140000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Braun 2 FT),"[1626167, 1631128]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,1179.0,1.0,0.0,Braun,1631128.0,,,,,,
17,PT10M47.00S,2025-02-25T00:11:59.8Z,1,REGULAR,freethrow,1 of 2,[],1631128,,,1610612743,4,4,2025-02-25T00:11:59Z,160000,False,,,0,,C. Braun Free Throw 1 of 2 (1 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
18,PT10M47.00S,2025-02-25T00:12:16.2Z,1,REGULAR,freethrow,2 of 2,[],1631128,,,1610612743,4,5,2025-02-25T00:12:16Z,170000,False,,,0,,C. Braun Free Throw 2 of 2 (2 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
