actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-10T22:10:49.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-10T22:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-10T22:10:52.1Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2024-11-10T22:10:52Z,40000,False,,,0,,Jump Ball K. Towns vs. M. Turner: Tip to J. Hart,"[1628404, 1626157, 1626167]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-11-10T22:11:01.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,6.652431011826544,96.32352941176471,1610612752,0,0,2024-11-10T22:11:07Z,70000,False,-232.0,10.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,23.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2024-11-10T22:11:03.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,0,0,2024-11-10T22:11:07Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Left Corner 3,24+ Left,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2024-11-10T22:11:31.2Z,1,REGULAR,3pt,Jump Shot,[],1626167,91.01511169513797,2.941176470588235,1610612754,0,0,2024-11-10T22:11:35Z,100000,False,-235.0,32.0,1,right,MISS M. Turner 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Left Corner 3,24+ Left,23.75,Missed,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2024-11-10T22:11:34.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,0,0,2024-11-10T22:11:35Z,110000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M15.00S,2024-11-10T22:11:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,6.783837056504599,53.18627450980392,1610612752,0,2,2024-11-10T22:11:52Z,120000,False,-16.0,11.0,1,left,J. Hart driving reverse Layup (2 PTS) (J. Brunson 1 AST),"[1628404, 1628973]",1610612752.0,NYK,driving reverse,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,1.95,Made,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,
14,PT11M12.00S,2024-11-10T22:11:52.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,0,2,2024-11-10T22:11:59Z,140000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,1155.0,,,,,,,,,
15,PT10M56.00S,2024-11-10T22:12:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,83.04862023653088,41.92708333333333,1610612754,2,2,2024-11-10T22:12:34Z,150000,False,-40.0,107.0,1,right,M. Turner 11' Jump Shot (2 PTS) (B. Sheppard 1 AST),"[1626167, 1641767]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,11.42,Made,,,,,2.0,B. Sheppard,1641767.0,1.0,,,,,,,,,,
17,PT10M35.00S,2024-11-10T22:12:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,8.360709592641262,46.568627450980394,1610612752,2,2,2024-11-10T22:12:44Z,170000,False,17.0,26.0,1,left,MISS O. Anunoby driving Layup - blocked,"[1628384, 1626167]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,Turner,1626167.0,,,,,,,
18,PT10M35.00S,2024-11-10T22:12:39.5Z,1,REGULAR,block,,[],1626167,,,1610612752,2,2,2024-11-10T22:12:42Z,180000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M35.00S,2024-11-10T22:12:39.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,2,2,2024-11-10T22:12:44Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2024-11-10T22:12:48.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,89.30683311432325,95.58823529411765,1610612754,5,2,2024-11-10T22:12:51Z,210000,False,228.0,48.0,1,right,P. Siakam 3PT  (3 PTS) (T. Haliburton 1 AST),"[1627783, 1630169]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,23.29,Made,,,,,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
23,PT10M04.00S,2024-11-10T22:13:13.7Z,1,REGULAR,3pt,Jump Shot,[],1628384,27.808804204993432,77.94117647058823,1610612752,5,5,2024-11-10T22:13:17Z,230000,False,-140.0,209.0,1,left,O. Anunoby 25' 3PT  (3 PTS) (J. Hart 1 AST),"[1628384, 1628404]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,25.13,Made,,,,,3.0,J. Hart,1628404.0,1.0,,,,,,,,,,
25,PT09M53.00S,2024-11-10T22:13:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,89.17542706964521,46.81372549019608,1610612754,7,5,2024-11-10T22:13:29Z,250000,False,-16.0,49.0,1,right,M. Turner driving finger roll Layup (4 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,driving finger roll,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,5.18,Made,,,,,4.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,
27,PT09M42.00S,2024-11-10T22:13:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,7.046649145860711,46.568627450980394,1610612752,7,7,2024-11-10T22:13:38Z,270000,False,17.0,14.0,1,left,K. Towns driving finger roll Layup (2 PTS) (O. Anunoby 1 AST),"[1626157, 1628384]",1610612752.0,NYK,driving finger roll,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,
28,PT09M37.00S,2024-11-10T22:13:42.1Z,1,REGULAR,3pt,Jump Shot,[],1631097,75.90341655716163,7.8431372549019605,1610612754,7,7,2024-11-10T22:13:49Z,280000,False,-211.0,174.0,1,right,MISS B. Mathurin 27' 3PT,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,27.33,Missed,,,,,,,,,,,,,,,,,,
29,PT09M33.00S,2024-11-10T22:13:46.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,7,7,2024-11-10T22:13:47Z,290000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M30.00S,2024-11-10T22:13:49.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628969,9.280551905387648,68.62745098039215,1610612752,7,9,2024-11-10T22:13:57Z,300000,False,-93.0,35.0,1,left,M. Bridges 9' running pullup Jump Shot (2 PTS),[1628969],1610612752.0,NYK,running pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,9.94,Made,,,,,2.0,,,,,,,,,,,,,
31,PT09M08.00S,2024-11-10T22:14:10.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,79.97700394218134,5.392156862745098,1610612754,7,9,2024-11-10T22:14:14Z,310000,False,-223.0,136.0,1,right,MISS P. Siakam 26' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
