actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-01-09T00:10:23.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-09T00:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-09T00:10:30.1Z,1,REGULAR,jumpball,recovered,[],0,,,1610612741,0,0,2025-01-09T00:10:30Z,40000,False,,,0,,Jump Ball N. Vučević vs. T. Bryant: Tip to Team (CHI),"[202696, 1628418]",1610612741.0,CHI,startperiod,Team (CHI),Vučević,202696.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-09T00:10:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,94.1688567674113,45.34313725490196,1610612741,0,0,2025-01-09T00:11:48Z,70000,False,-23.0,2.0,1,right,MISS Z. LaVine cutting Layup,[203897],1610612741.0,CHI,cutting,,,,,,Restricted Area,0-8 Center,2.34,Missed,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-01-09T00:10:57.5Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,0,0,2025-01-09T00:11:15Z,80000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,Nembhard,A. Nembhard,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2025-01-09T00:11:04.2Z,1,REGULAR,3pt,Jump Shot,[],1631097,8.492115637319317,1.9607843137254901,1610612754,0,0,2025-01-09T00:11:14Z,90000,False,240.0,27.0,1,left,MISS B. Mathurin 24' 3PT,[1631097],1610612754.0,IND,,,,,,,Right Corner 3,24+ Right,24.17,Missed,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2025-01-09T00:11:06.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,0,0,2025-01-09T00:12:20Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,,,,,9.0,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2025-01-09T00:11:27.4Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,0,0,2025-01-09T00:11:33Z,120000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1628418]",1610612741.0,CHI,,,,,,,Mid-Range,16-24 Right Center,,,White,C. White,,,,,1.0,Bryant,1628418.0,,,,,,,,,,,,
13,PT11M23.00S,2025-01-09T00:11:27.4Z,1,REGULAR,steal,,[],1628418,,,1610612754,0,0,2025-01-09T01:20:07Z,130000,False,,,0,,T. Bryant STEAL (1 STL),[1628418],1610612754.0,IND,,,,,,,Mid-Range,16-24 Right Center,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2025-01-09T00:11:33.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629614,30.042706964520367,10.049019607843137,1610612754,0,0,2025-01-09T00:11:39Z,140000,False,200.0,230.0,1,left,MISS A. Nembhard 30' running 3PT,[1629614],1610612754.0,IND,running,,,,,,Above the Break 3,24+ Right Center,30.46,Missed,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2025-01-09T00:11:38.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2025-01-09T00:11:39Z,150000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,Vučević,N. Vučević,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT11M05.00S,2025-01-09T00:11:44.8Z,1,REGULAR,2pt,Jump Shot,[],202696,89.70105124835742,71.81372549019608,1610612741,0,2,2025-01-09T00:13:55Z,160000,False,109.0,44.0,1,right,N. Vučević 11' floating Jump Shot (2 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,floating,,,,,,Mid-Range,8-16 Right,11.78,Made,Vučević,N. Vučević,,,,,,,,2.0,C. White,1629632.0,1.0,,,,,,,,
19,PT10M52.00S,2025-01-09T00:12:00.4Z,1,REGULAR,foul,personal,[],1629632,,,1610612754,0,2,2025-01-09T00:12:04Z,180000,False,,,0,,C. White personal FOUL (1 PF),"[1629632, 1629614]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,White,C. White,,,,,,,,,,,,1193.0,1.0,0.0,Nembhard,1629614.0,,,
21,PT10M43.00S,2025-01-09T00:12:23.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,15.982260183968464,48.03921568627451,1610612754,2,2,2025-01-09T00:12:27Z,200000,False,10.0,98.0,1,left,P. Siakam 9' fadeaway Jump Shot (2 PTS),[1627783],1610612754.0,IND,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,9.82,Made,Siakam,P. Siakam,,,,,,,,2.0,,,,,,,,,,,
22,PT10M23.00S,2025-01-09T00:12:41.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,92.72339027595268,46.32352941176471,1610612741,2,4,2025-01-09T00:15:07Z,210000,False,-18.0,16.0,1,right,J. Giddey driving Layup (2 PTS),[1630581],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,2.43,Made,Giddey,J. Giddey,,,,,,,,2.0,,,,,,,,,,,
23,PT10M14.00S,2025-01-09T00:12:50.9Z,1,REGULAR,3pt,Jump Shot,[],1627783,5.075558475689881,3.9215686274509802,1610612754,5,4,2025-01-09T00:12:56Z,220000,False,230.0,-5.0,1,left,P. Siakam 3PT  (5 PTS) (B. Mathurin 1 AST),"[1627783, 1631097]",1610612754.0,IND,,,,,,,Right Corner 3,24+ Right,23.04,Made,Siakam,P. Siakam,,,,,,,,5.0,B. Mathurin,1631097.0,1.0,,,,,,,,
