actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-05T00:10:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-05T00:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-05T00:10:33.0Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2025-03-05T00:10:33Z,40000,False,,,0,,Jump Ball A. Sengun vs. M. Turner: Tip to J. Smith Jr.,"[1631095, 1630578, 1626167]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-05T00:10:50.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,86.94152431011827,44.85294117647059,1610612745,0,2,2025-03-05T00:10:54Z,70000,False,-26.0,70.0,1,right,A. Sengun 7' turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,7.48,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2025-03-05T00:11:04.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,32.802233902759525,45.588235294117645,1610612754,0,2,2025-03-05T00:11:09Z,80000,False,22.0,256.0,1,left,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,25.68,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2025-03-05T00:11:08.6Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,0,2,2025-03-05T00:11:13Z,90000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M10.00S,2025-03-05T00:11:25.8Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612745,0,2,2025-03-05T00:11:40Z,110000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Green 2 FT),"[1626167, 1630224]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,202058.0,1.0,0.0,Green,1630224.0,,,,,,,,
13,PT11M10.00S,2025-03-05T00:11:50.2Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,0,2,2025-03-05T00:11:50Z,130000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2025-03-05T00:11:50.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,0,2,2025-03-05T00:11:50Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,
15,PT11M10.00S,2025-03-05T00:12:06.3Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,0,3,2025-03-05T00:12:06Z,150000,False,,,0,,J. Green Free Throw 2 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2025-03-05T00:12:22.0Z,1,REGULAR,foul,offensive,[],1627783,,,1610612754,0,3,2025-03-05T00:12:26Z,160000,False,,,0,,P. Siakam offensive FOUL (1 PF),"[1627783, 1631095]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,202058.0,1.0,0.0,Smith Jr.,1631095.0,,,,,,,,
18,PT10M58.00S,2025-03-05T00:12:22.0Z,1,REGULAR,turnover,offensive foul,[],1627783,,,1610612754,0,3,2025-03-05T00:12:22Z,180000,False,,,0,,P. Siakam offensive foul TURNOVER (1 TO),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,202058.0,,,,,1.0,,,,,,,
19,PT10M47.00S,2025-03-05T00:12:46.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631095,93.77463863337714,94.11764705882352,1610612745,0,6,2025-03-05T00:12:49Z,190000,False,221.0,6.0,1,right,J. Smith Jr. 3PT  (3 PTS) (J. Green 1 AST),"[1631095, 1630224]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,22.07,Made,3.0,,,,,,,,,,,J. Green,1630224.0,1.0,,,,
