actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-10T23:05:36.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-10T23:05:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-10T23:05:39.1Z,1,REGULAR,jumpball,recovered,[],1629614,,,1610612754,0,0,2025-04-10T23:05:39Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Allen: Tip to A. Nembhard,"[1629614, 1626167, 1628386]",1610612754.0,IND,startperiod,A. Nembhard,1629614.0,Nembhard,A. Nembhard,Turner,1626167.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-04-10T23:05:50.5Z,1,REGULAR,3pt,Jump Shot,[],1630169,30.042706964520367,12.990196078431374,1610612754,3,0,2025-04-10T23:05:53Z,70000,False,185.0,230.0,1,left,T. Haliburton 29' 3PT pullup (3 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,29.51,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-04-10T23:06:07.2Z,1,REGULAR,foul,personal,[],1630174,,,1610612739,3,0,2025-04-10T23:06:13Z,80000,False,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 1629631]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Center,,,,204058.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,
10,PT11M23.00S,2025-04-10T23:06:31.2Z,1,REGULAR,3pt,Jump Shot,[],1630241,66.96780551905388,51.9607843137255,1610612739,3,0,2025-04-10T23:06:35Z,100000,False,10.0,258.0,1,right,MISS S. Merrill 25' pullup 3PT - blocked,"[1630241, 1630169]",1610612739.0,CLE,pullup,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Center,25.82,Missed,,,,,,,Haliburton,1630169.0,,,,,,,,,,
11,PT11M23.00S,2025-04-10T23:06:31.2Z,1,REGULAR,block,,[],1630169,,,1610612739,3,0,2025-04-10T23:06:33Z,110000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2025-04-10T23:06:34.2Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,3,0,2025-04-10T23:06:35Z,120000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,
13,PT11M05.00S,2025-04-10T23:06:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,7.5722733245729295,45.09803921568628,1610612754,5,0,2025-04-10T23:06:54Z,130000,False,25.0,19.0,1,left,M. Turner driving Layup (2 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.08,Made,2.0,,,,,,,,,,,,A. Nembhard,1629614.0,1.0,,,
14,PT11M05.00S,2025-04-10T23:06:53.4Z,1,REGULAR,foul,personal,['1freethrow'],1629631,,,1610612754,5,0,2025-04-10T23:06:58Z,140000,False,,,0,,D. Hunter shooting personal FOUL (1 PF) (Turner 1 FT),"[1629631, 1626167]",1610612739.0,CLE,shooting,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,204058.0,1.0,0.0,Turner,1626167.0,,,,,,,,,,,,
16,PT11M05.00S,2025-04-10T23:07:14.4Z,1,REGULAR,freethrow,1 of 1,[],1626167,,,1610612754,6,0,2025-04-10T23:07:14Z,160000,False,,,0,,M. Turner Free Throw 1 of 1 (3 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
