actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-30T23:13:33.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-30T23:13:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-10-30T23:13:37.2Z,1,REGULAR,jumpball,recovered,[],1629614,,,1610612754,0,0,2024-10-30T23:13:37Z,40000,False,,,0,,Jump Ball I. Jackson vs. A. Horford: Tip to A. Nembhard,"[1629614, 1630543, 201143]",1610612754.0,IND,startperiod,A. Nembhard,1629614.0,Nembhard,A. Nembhard,Jackson,1630543.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2024-10-30T23:13:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,91.01511169513797,48.28431372549019,1610612754,2,0,2024-10-30T23:13:41Z,70000,False,-9.0,32.0,1,right,A. Nembhard Layup (2 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,3.31,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-10-30T23:13:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,9.280551905387648,61.76470588235294,1610612738,2,0,2024-10-31T00:16:48Z,80000,False,-59.0,35.0,1,left,MISS J. Holiday 6' Layup,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,6.83,Missed,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-10-30T23:13:54.1Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,2,0,2024-10-30T23:14:33Z,90000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M31.00S,2024-10-30T23:14:02.0Z,1,REGULAR,2pt,Jump Shot,[],1627783,86.28449408672799,30.637254901960787,1610612754,2,0,2024-10-30T23:14:07Z,100000,False,-97.0,76.0,1,right,MISS P. Siakam 12' floating Shot,[1627783],1610612754.0,IND,floating,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,12.33,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2024-10-30T23:14:04.8Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612754,2,0,2024-10-30T23:14:04Z,110000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M22.00S,2024-10-30T23:14:10.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,73.9323258869908,15.196078431372548,1610612754,2,0,2024-10-30T23:14:14Z,120000,False,-174.0,193.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,25.95,Missed,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2024-10-30T23:14:13.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2024-10-30T23:14:14Z,130000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M07.00S,2024-10-30T23:14:25.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,11.908672798948752,94.85294117647058,1610612738,2,0,2024-10-30T23:14:29Z,140000,False,-224.0,59.0,1,left,MISS J. Brown step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
