actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-24T22:10:34.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-24T22:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-24T22:10:35.9Z,1,REGULAR,jumpball,recovered,[],1642273,,,1610612764,0,0,2024-11-24T22:10:35Z,40000,False,,,0,,Jump Ball A. Sarr vs. M. Turner: Tip to K. George,"[1642273, 1642259, 1626167]",1610612764.0,WAS,startperiod,K. George,1642273.0,George,K. George,Sarr,1642259.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-11-24T22:10:47.6Z,1,REGULAR,foul,personal,[],1627783,,,1610612764,0,0,2024-11-24T22:10:57Z,70000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1628398]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left,1627534.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-11-24T22:11:18.9Z,1,REGULAR,2pt,Jump Shot,[],1642259,12.828515111695138,71.32352941176471,1610612764,0,0,2024-11-24T22:11:49Z,90000,False,-107.0,68.0,1,left,MISS A. Sarr 12' driving floating Shot,[1642259],1610612764.0,WAS,driving floating,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Left,,,,,,12.65,Missed,,,,,,,,,,,,,
10,PT11M30.00S,2024-11-24T22:11:21.9Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2024-11-24T22:11:49Z,100000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M15.00S,2024-11-24T22:11:35.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.04139290407359,79.90196078431373,1610612754,0,0,2024-11-24T22:11:41Z,110000,False,150.0,220.0,1,right,MISS T. Haliburton 26' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,26.57,Missed,,,,,,,,,,,,,
12,PT11M12.00S,2024-11-24T22:11:38.8Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,0,0,2024-11-24T22:11:41Z,120000,False,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,
13,PT11M10.00S,2024-11-24T22:11:41.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630169,90.88370565045992,49.01960784313725,1610612754,0,0,2024-11-24T22:12:34Z,130000,False,-5.0,33.0,1,right,MISS T. Haliburton driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,3.36,Missed,,,,,,,,,,,,,
14,PT11M07.00S,2024-11-24T22:11:44.0Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,0,2024-11-24T22:11:44Z,140000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M59.00S,2024-11-24T22:11:52.7Z,1,REGULAR,2pt,Jump Shot,[],1628398,5.863994743758213,69.6078431372549,1610612764,0,0,2024-11-24T22:11:58Z,150000,False,-98.0,3.0,1,left,MISS K. Kuzma 9' driving floating Shot,[1628398],1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Left,,,,,,9.8,Missed,,,,,,,,,,,,,
