actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-24T23:10:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-24T23:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-24T23:11:00.2Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612750,0,0,2025-03-24T23:11:00Z,40000,False,,,0,,Jump Ball R. Gobert vs. M. Turner: Tip to J. Randle,"[203944, 203497, 1626167]",1610612750.0,MIN,startperiod,J. Randle,203944.0,Randle,J. Randle,Gobert,203497.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-03-24T23:11:19.4Z,1,REGULAR,3pt,Jump Shot,[],1630162,69.59592641261499,69.6078431372549,1610612750,0,0,2025-03-24T23:11:36Z,70000,False,98.0,233.0,1,right,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,25.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-03-24T23:11:22.4Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,0,2025-03-24T23:11:23Z,80000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-03-24T23:11:34.9Z,1,REGULAR,2pt,Jump Shot,[],1626167,23.99802890932983,35.53921568627451,1610612754,0,0,2025-03-24T23:11:39Z,90000,False,72.0,173.0,1,left,MISS M. Turner 18' pullup Shot,[1626167],1610612754.0,IND,pullup,,,Turner,M. Turner,,,,,Mid-Range,16-24 Right Center,18.76,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2025-03-24T23:11:36.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2025-03-24T23:11:39Z,100000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M10.00S,2025-03-24T23:11:47.3Z,1,REGULAR,3pt,Jump Shot,[],203944,78.13731931668858,93.13725490196079,1610612750,0,0,2025-03-24T23:11:51Z,110000,False,216.0,153.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2025-03-24T23:11:50.3Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,0,2025-03-24T23:11:51Z,120000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT10M56.00S,2025-03-24T23:12:01.0Z,1,REGULAR,2pt,Jump Shot,[],1626167,7.095926412614981,10.317095588235293,1610612754,0,0,2025-03-24T23:13:18Z,130000,False,198.0,14.0,1,left,MISS M. Turner 19' Jump Shot,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Right,19.89,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2025-03-24T23:12:04.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2025-03-24T23:12:08Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Right Corner 3,24+ Right,,,13.0,,,,,,,,,,,,,,,,,
