actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,descriptor,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2025-03-02T22:10:15.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-02T22:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-02T22:10:30.0Z,1,REGULAR,violation,jumpball,[],1629614,,,0,0,0,2025-03-02T22:10:51Z,40000,False,,,0,,A. Nembhard jumpball VIOLATION,[1629614],1610612754.0,IND,203591.0,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M45.00S,2025-03-02T22:11:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628380,79.71419185282524,51.71568627450981,1610612741,0,2,2025-03-02T22:11:16Z,50000,False,9.0,138.0,1,right,Z. Collins 13' Jump Shot (2 PTS) (D. Terry 1 AST),"[1628380, 1631207]",1610612741.0,CHI,,Collins,Z. Collins,In The Paint (Non-RA),8-16 Center,13.85,Made,2.0,D. Terry,1631207.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PT11M26.00S,2025-03-02T22:11:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629614,34.90473061760841,19.607843137254903,1610612754,3,2,2025-03-02T22:11:36Z,70000,False,152.0,276.0,1,left,A. Nembhard 31' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,,Nembhard,A. Nembhard,Above the Break 3,24+ Right Center,31.47,Made,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2025-03-02T22:11:47.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641824,87.07293035479631,49.01960784313725,1610612741,3,4,2025-03-02T22:11:52Z,90000,False,-5.0,69.0,1,right,M. Buzelis 6' driving floating Jump Shot (2 PTS),[1641824],1610612741.0,CHI,,Buzelis,M. Buzelis,In The Paint (Non-RA),0-8 Center,6.92,Made,2.0,,,,driving floating,,,,,,,,,,,,,,,,,,,
10,PT10M55.00S,2025-03-02T22:12:03.7Z,1,REGULAR,3pt,Jump Shot,[],1630174,7.835085413929041,2.696078431372549,1610612754,6,4,2025-03-02T22:12:07Z,100000,False,237.0,21.0,1,left,A. Nesmith 3PT  (3 PTS) (A. Nembhard 1 AST),"[1630174, 1629614]",1610612754.0,IND,,Nesmith,A. Nesmith,Right Corner 3,24+ Right,23.74,Made,3.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,,,,,,,
12,PT10M42.00S,2025-03-02T22:12:16.0Z,1,REGULAR,turnover,bad pass,[],1628380,,,1610612741,6,4,2025-03-02T22:12:18Z,120000,False,,,0,,Z. Collins bad pass TURNOVER (1 TO),"[1628380, 1626167]",1610612741.0,CHI,,Collins,Z. Collins,Mid-Range,8-16 Center,,,,,,,,1.0,Turner,1626167.0,,,,,,,,,,,,,,,,
13,PT10M42.00S,2025-03-02T22:12:16.0Z,1,REGULAR,steal,,[],1626167,,,1610612754,6,4,2025-03-02T22:12:17Z,130000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,Turner,M. Turner,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M37.00S,2025-03-02T22:12:20.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629614,31.488173455978973,28.676470588235293,1610612754,6,4,2025-03-02T22:12:25Z,140000,False,107.0,243.0,1,left,MISS A. Nembhard 26' running 3PT,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,Above the Break 3,24+ Right Center,26.58,Missed,,,,,running,,,,,,,,,,,,,,,,,,,
15,PT10M35.00S,2025-03-02T22:12:22.5Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,6,4,2025-03-02T22:12:25Z,150000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,White,C. White,Above the Break 3,24+ Right Center,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
