actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-20T23:10:43.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-20T23:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-20T23:10:46.2Z,1,REGULAR,jumpball,recovered,[],1630533,,,1610612751,0,0,2025-03-20T23:10:46Z,40000,False,,,0,,Jump Ball N. Claxton vs. M. Turner: Tip to Z. Williams,"[1630533, 1629651, 1626167]",1610612751.0,BKN,startperiod,Z. Williams,1630533.0,Williams,Z. Williams,Claxton,1629651.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-03-20T23:11:06.0Z,1,REGULAR,3pt,Jump Shot,[],1630553,9.149145860709593,2.941176470588235,1610612751,0,3,2025-03-20T23:11:09Z,70000,False,235.0,34.0,1,left,K. Johnson 3PT  (3 PTS) (D. Russell 1 AST),"[1630553, 1626156]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,23.77,Made,3.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
10,PT11M11.00S,2025-03-20T23:11:46.8Z,1,REGULAR,3pt,Jump Shot,[],1630174,81.94809461235218,97.30392156862744,1610612754,0,3,2025-03-20T23:11:50Z,100000,False,237.0,117.0,1,right,MISS A. Nesmith 26' 3PT - blocked,"[1630174, 1629651]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,26.39,Missed,,,,,Claxton,1629651.0,,,,,,,,,,,,
11,PT11M11.00S,2025-03-20T23:11:46.8Z,1,REGULAR,block,,[],1629651,,,1610612754,0,3,2025-03-20T23:11:49Z,110000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2025-03-20T23:11:48.8Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612754,0,3,2025-03-20T23:11:50Z,120000,False,,,0,,A. Nesmith REBOUND (Off:1 Def:0),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,
13,PT11M07.00S,2025-03-20T23:11:50.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627783,79.97700394218134,66.66666666666666,1610612754,0,3,2025-03-20T23:11:54Z,130000,False,83.0,136.0,1,right,MISS P. Siakam 15' Jump Shot,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,15.92,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2025-03-20T23:11:53.2Z,1,REGULAR,rebound,defensive,[],1630592,,,1610612751,0,3,2025-03-20T23:11:53Z,140000,False,,,0,,J. Wilson REBOUND (Off:0 Def:1),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Mid-Range,8-16 Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M51.00S,2025-03-20T23:12:07.0Z,1,REGULAR,3pt,Jump Shot,[],1626156,31.225361366622867,60.78431372549019,1610612751,0,3,2025-03-20T23:12:11Z,150000,False,-54.0,241.0,1,left,MISS D. Russell 24' step back 3PT,[1626156],1610612751.0,BKN,step back,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,24.7,Missed,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2025-03-20T23:12:08.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,3,2025-03-20T23:12:11Z,160000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
