actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-15T22:10:10.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-15T22:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-15T22:10:12.4Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612740,0,0,2024-12-15T22:10:12Z,40000,False,,,0,,Jump Ball Y. Missi vs. M. Turner: Tip to D. Murray,"[1627749, 1642274, 1626167]",1610612740.0,NOP,startperiod,D. Murray,1627749.0,Murray,D. Murray,Missi,1642274.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-12-15T22:10:27.5Z,1,REGULAR,2pt,Jump Shot,[],1630530,76.2976346911958,75.0,1610612740,0,2,2024-12-15T22:10:33Z,70000,False,125.0,170.0,1,right,T. Murphy III 21' step back Jump Shot (2 PTS),[1630530],1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Right Center,21.13,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2024-12-15T22:10:44.1Z,1,REGULAR,3pt,Jump Shot,[],1627783,8.754927726675426,1.715686274509804,1610612754,0,2,2024-12-15T22:10:48Z,80000,False,241.0,30.0,1,left,MISS P. Siakam 24' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,24.32,Missed,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2024-12-15T22:10:49.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,0,2,2024-12-15T22:10:48Z,90000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M09.00S,2024-12-15T22:10:59.7Z,1,REGULAR,3pt,Jump Shot,[],1630530,64.99671484888306,51.71568627450981,1610612740,0,2,2024-12-15T22:11:04Z,100000,False,9.0,277.0,1,right,MISS T. Murphy III 27' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,27.66,Missed,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2024-12-15T22:11:02.7Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,0,2,2024-12-15T22:11:04Z,110000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M01.00S,2024-12-15T22:11:08.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,92.06636005256242,45.09803921568628,1610612740,0,4,2024-12-15T22:11:11Z,120000,False,-25.0,22.0,1,right,H. Jones Layup (2 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,3.3,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M34.00S,2024-12-15T22:11:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,5.732588699080158,55.14705882352941,1610612754,2,4,2024-12-15T22:11:39Z,130000,False,-26.0,1.0,1,left,B. Mathurin driving reverse Layup (2 PTS) (P. Siakam 1 AST),"[1631097, 1627783]",1610612754.0,IND,driving reverse,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,2.57,Made,2.0,,,,,P. Siakam,1627783.0,1.0,,,,,,,,,,
15,PT10M16.00S,2024-12-15T22:11:54.2Z,1,REGULAR,turnover,traveling,[],1627749,,,1610612740,2,4,2024-12-15T22:11:59Z,150000,False,,,0,,D. Murray traveling TURNOVER (1 TO),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,201245.0,1.0,,,,,,,,
