actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-01T22:12:37.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-01T22:12:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-01T22:12:39.4Z,1,REGULAR,jumpball,recovered,[],1631230,,,1610612737,0,0,2025-02-01T22:12:39Z,40000,False,,,0,,Jump Ball O. Okongwu vs. M. Turner: Tip to D. Barlow,"[1631230, 1630168, 1626167]",1610612737.0,ATL,startperiod,D. Barlow,1631230.0,Barlow,D. Barlow,Okongwu,1630168.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-02-01T22:13:04.5Z,1,REGULAR,3pt,Jump Shot,[],1631230,7.046649145860711,94.85294117647058,1610612737,0,0,2025-02-01T22:13:09Z,80000,False,-224.0,14.0,1,left,MISS D. Barlow 3PT,[1631230],1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,Left Corner 3,24+ Left,22.47,Missed,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-02-01T22:13:08.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,0,0,2025-02-01T22:13:08Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Left Corner 3,24+ Left,,,8.0,,,,,,,,,,,,,,,,,
11,PT11M42.00S,2025-02-01T22:13:25.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642258,5.863994743758213,1.4705882352941175,1610612737,0,0,2025-02-01T22:13:28Z,110000,False,243.0,3.0,1,left,MISS Z. Risacher 24' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,24.26,Missed,,,,,,,,,,,,,,,,,,
12,PT11M41.00S,2025-02-01T22:13:26.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2025-02-01T22:13:55Z,120000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M34.00S,2025-02-01T22:13:33.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629614,92.59198423127464,45.34313725490196,1610612754,0,0,2025-02-01T22:14:21Z,130000,False,-23.0,17.0,1,right,MISS A. Nembhard running finger roll Layup,[1629614],1610612754.0,IND,running finger roll,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,,,,,,,,,,
14,PT11M31.00S,2025-02-01T22:13:36.2Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612737,0,0,2025-02-01T22:13:37Z,140000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M18.00S,2025-02-01T22:13:48.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630700,6.521024967148489,50.0,1610612737,0,2,2025-02-01T22:14:58Z,150000,False,0.0,9.0,1,left,D. Daniels cutting DUNK (2 PTS) (O. Okongwu 1 AST),"[1630700, 1630168]",1610612737.0,ATL,cutting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,2.0,O. Okongwu,1630168.0,1.0,,,,,,,,,,
17,PT10M55.00S,2025-02-01T22:14:13.9Z,1,REGULAR,3pt,Jump Shot,[],1629614,92.32917214191852,4.166666666666666,1610612754,0,2,2025-02-01T22:15:31Z,170000,False,-229.0,20.0,1,right,MISS A. Nembhard 3PT - blocked,"[1629614, 1631230]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Left Corner 3,24+ Left,23.0,Missed,,,,,,,,,Barlow,1631230.0,,,,,,,,
