actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-08T22:10:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-08T22:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-08T22:10:37.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612766,0,0,2024-12-08T22:10:37Z,40000,False,,,0,,Jump Ball N. Richards vs. M. Turner: Tip to Team (CHA),"[1630208, 1626167]",1610612766.0,CHA,startperiod,Team (CHA),Richards,1630208.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-12-08T22:10:59.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,30.699737187910642,34.80392156862745,1610612766,0,0,2024-12-08T22:11:03Z,70000,False,76.0,236.0,1,left,MISS B. Miller 24' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,,,,Above the Break 3,24+ Center,24.8,Missed,Miller,B. Miller,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-12-08T22:11:02.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,0,2024-12-08T22:11:03Z,80000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,Siakam,P. Siakam,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-12-08T22:11:20.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,91.5407358738502,53.18627450980392,1610612754,0,0,2024-12-08T22:13:25Z,90000,False,16.0,27.0,1,right,MISS M. Turner cutting DUNK,[1626167],1610612754.0,IND,cutting,,,,,,Restricted Area,0-8 Center,3.13,Missed,Turner,M. Turner,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-12-08T22:11:22.6Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612766,0,0,2024-12-08T22:13:25Z,100000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2024-12-08T22:11:23.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630182,7.440867279894875,43.38235294117647,1610612766,0,0,2024-12-08T22:11:29Z,110000,False,33.0,17.0,1,left,MISS J. Green running finger roll Layup,[1630182],1610612766.0,CHA,running finger roll,,,,,,Restricted Area,0-8 Center,3.74,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2024-12-08T22:11:27.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,0,2024-12-08T22:11:29Z,120000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,Siakam,P. Siakam,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M13.00S,2024-12-08T22:11:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626167,88.38699080157687,56.61764705882353,1610612754,0,0,2024-12-08T22:15:15Z,130000,False,33.0,57.0,1,right,MISS M. Turner 6' running Layup,[1626167],1610612754.0,IND,running,,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,Turner,M. Turner,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2024-12-08T22:11:32.7Z,1,REGULAR,rebound,offensive,[],1629614,,,1610612754,0,0,2024-12-08T22:11:32Z,140000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:0),[1629614],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,Nembhard,A. Nembhard,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT11M04.00S,2024-12-08T22:11:38.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626167,94.30026281208936,94.85294117647058,1610612754,0,0,2024-12-08T22:11:42Z,150000,False,224.0,1.0,1,right,MISS M. Turner pullup 3PT,[1626167],1610612754.0,IND,pullup,,,,,,Right Corner 3,24+ Right,22.43,Missed,Turner,M. Turner,,,,,,,,,,,,,,,,,,
17,PT11M01.00S,2024-12-08T22:11:41.3Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,0,2024-12-08T22:11:42Z,160000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,,,,Right Corner 3,24+ Right,,,Richards,N. Richards,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M43.00S,2024-12-08T22:11:59.4Z,1,REGULAR,3pt,Jump Shot,[],1628998,8.09789750328515,96.56862745098039,1610612766,0,3,2024-12-08T22:12:03Z,170000,False,-233.0,24.0,1,left,C. Martin 3PT  (3 PTS) (V. Micić 1 AST),"[1628998, 203995]",1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,23.4,Made,Martin,C. Martin,,,,,3.0,V. Micić,203995.0,1.0,,,,,,,,,,
20,PT10M25.00S,2024-12-08T22:12:18.5Z,1,REGULAR,2pt,Jump Shot,[],1630169,73.66951379763469,53.431372549019606,1610612754,0,3,2024-12-08T22:12:23Z,190000,False,17.0,195.0,1,right,MISS T. Haliburton 19' pullup Shot,[1630169],1610612754.0,IND,pullup,,,,,,Mid-Range,16-24 Center,19.58,Missed,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2024-12-08T22:12:22.5Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,3,2024-12-08T22:12:23Z,200000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612766.0,CHA,,,,,,,Mid-Range,16-24 Center,,,Richards,N. Richards,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M01.00S,2024-12-08T22:13:02.3Z,1,REGULAR,foul,personal,['3freethrow'],1630169,,,1610612766,0,3,2024-12-08T22:13:13Z,220000,False,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Green 3 FT),"[1630169, 1630182]",1610612754.0,IND,shooting,,,,,,Left Corner 3,24+ Left,,,Haliburton,T. Haliburton,,,,,,,,,1628480.0,1.0,0.0,Green,1630182.0,,,,,
25,PT10M01.00S,2024-12-08T22:13:26.6Z,1,REGULAR,freethrow,1 of 3,[],1630182,,,1610612766,0,3,2024-12-08T22:13:26Z,240000,False,,,0,,MISS J. Green Free Throw 1 of 3,[1630182],1610612766.0,CHA,,,,,,,,,,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
26,PT10M01.00S,2024-12-08T22:13:26.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,0,3,2024-12-08T22:13:26Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2024-12-08T22:13:37.4Z,1,REGULAR,freethrow,2 of 3,[],1630182,,,1610612766,0,4,2024-12-08T22:13:37Z,260000,False,,,0,,J. Green Free Throw 2 of 3 (1 PTS),[1630182],1610612766.0,CHA,,,,,,,,,,Made,Green,J. Green,,,,,1.0,,,,,,,,,,,,,
28,PT10M01.00S,2024-12-08T22:13:49.8Z,1,REGULAR,freethrow,3 of 3,[],1630182,,,1610612766,0,5,2024-12-08T22:13:49Z,270000,False,,,0,,J. Green Free Throw 3 of 3 (2 PTS),[1630182],1610612766.0,CHA,,,,,,,,,,Made,Green,J. Green,,,,,2.0,,,,,,,,,,,,,
29,PT09M51.00S,2024-12-08T22:14:02.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,66.17936925098554,34.80392156862745,1610612754,0,5,2024-12-08T22:14:07Z,280000,False,-76.0,265.0,1,right,MISS T. Haliburton 27' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,,,,Above the Break 3,24+ Center,27.61,Missed,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,
