actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-26T00:10:25.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-26T00:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-26T00:10:27.1Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2024-11-26T00:10:27Z,40000,False,,,0,,Jump Ball M. Turner vs. D. Theis: Tip to P. Siakam,"[1627783, 1626167, 1628464]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Turner,1626167.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-11-26T00:10:50.9Z,1,REGULAR,3pt,Jump Shot,[],1626167,33.98488830486202,71.07843137254902,1610612754,0,0,2024-11-26T00:11:04Z,70000,False,-105.0,267.0,1,left,MISS M. Turner 28' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,28.71,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-11-26T00:10:50.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2024-11-26T00:11:04Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-11-26T00:10:55.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,0,0,2024-11-26T00:11:04Z,90000,False,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,,,,,,,,,,,,,,,,
10,PT11M19.00S,2024-11-26T00:11:16.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628464,92.85479632063075,50.49019607843137,1610612740,0,2,2024-11-26T00:11:23Z,100000,False,2.0,15.0,1,right,D. Theis alley-oop DUNK (2 PTS) (E. Payton 1 AST),"[1628464, 203901]",1610612740.0,NOP,alley-oop,,,Theis,D. Theis,,,,,Restricted Area,0-8 Center,1.49,Made,,,2.0,E. Payton,203901.0,1.0,,,,,,,,,,,,
12,PT11M07.00S,2024-11-26T00:11:28.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,34.90473061760841,54.41176470588235,1610612754,3,2,2024-11-26T00:11:32Z,120000,False,-22.0,276.0,1,left,T. Haliburton 27' 3PT pullup (3 PTS) (Q. Jackson 1 AST),"[1630169, 1631245]",1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,27.65,Made,,,3.0,Q. Jackson,1631245.0,1.0,,,,,,,,,,,,
14,PT10M50.00S,2024-11-26T00:11:45.7Z,1,REGULAR,turnover,bad pass,[],203901,,,1610612740,3,2,2024-11-26T00:11:49Z,140000,False,,,0,,E. Payton bad pass TURNOVER (1 TO),"[203901, 1631245]",1610612740.0,NOP,,,,Payton,E. Payton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Jackson,1631245.0,,,,,,,,,
15,PT10M50.00S,2024-11-26T00:11:45.7Z,1,REGULAR,steal,,[],1631245,,,1610612754,3,2,2024-11-26T00:11:46Z,150000,False,,,0,,Q. Jackson STEAL (1 STL),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2024-11-26T00:11:48.8Z,1,REGULAR,foul,personal,[],203901,,,1610612754,3,2,2024-11-26T00:12:54Z,160000,False,,,0,,E. Payton personal FOUL (1 PF),"[203901, 1631245]",1610612740.0,NOP,,,,Payton,E. Payton,,,,,Above the Break 3,24+ Center,,,,202007.0,,,,,,,,1.0,0.0,Jackson,1631245.0,,,,,
23,PT10M29.00S,2024-11-26T00:13:08.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,35.03613666228647,48.529411764705884,1610612754,6,2,2024-11-26T00:13:12Z,230000,False,7.0,277.0,1,left,M. Turner 27' 3PT  (3 PTS) (Q. Jackson 2 AST),"[1626167, 1631245]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,27.69,Made,,,3.0,Q. Jackson,1631245.0,2.0,,,,,,,,,,,,
25,PT10M09.00S,2024-11-26T00:13:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,91.14651773981603,46.07843137254902,1610612740,6,2,2024-11-26T00:13:30Z,250000,False,-20.0,31.0,1,right,MISS J. Green driving finger roll Layup,[1629750],1610612740.0,NOP,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.64,Missed,,,,,,,,,,,,,,,,,,
26,PT10M07.00S,2024-11-26T00:13:29.1Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,6,2,2024-11-26T00:13:30Z,260000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,25.0,,,,,,,,,,,,,1.0,1.0,0.0,,
27,PT09M53.00S,2024-11-26T00:13:43.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,31.750985545335087,17.647058823529413,1610612754,6,2,2024-11-26T00:13:48Z,270000,False,162.0,246.0,1,left,MISS T. Haliburton 29' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,29.44,Missed,,,,,,,,,,,,,,,,,,
28,PT09M49.00S,2024-11-26T00:13:47.9Z,1,REGULAR,rebound,defensive,[],203901,,,1610612740,6,2,2024-11-26T00:21:52Z,280000,False,,,0,,E. Payton REBOUND (Off:0 Def:1),[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,Above the Break 3,24+ Right Center,,,27.0,,,,,,,,,,,,,1.0,1.0,0.0,,
29,PT09M42.00S,2024-11-26T00:13:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,94.69448094612353,47.30392156862745,1610612740,6,4,2024-11-26T00:18:20Z,290000,False,-13.0,-3.0,1,right,C. McCollum cutting Layup (2 PTS) (E. Payton 2 AST),"[203468, 203901]",1610612740.0,NOP,cutting,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.37,Made,,,2.0,E. Payton,203901.0,2.0,,,,,,,,,,,,
31,PT09M21.00S,2024-11-26T00:14:15.9Z,1,REGULAR,2pt,Jump Shot,[],1630169,13.485545335085414,21.568627450980394,1610612754,6,4,2024-11-26T00:14:21Z,310000,False,142.0,74.0,1,left,MISS T. Haliburton 16' floating Shot,[1630169],1610612754.0,IND,floating,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,16.04,Missed,,,,,,,,,,,,,,,,,,
32,PT09M18.00S,2024-11-26T00:14:18.9Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,6,4,2024-11-26T00:14:21Z,320000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,,,31.0,,,,,,,,,,,,,1.0,1.0,0.0,,
33,PT09M12.00S,2024-11-26T00:14:24.6Z,1,REGULAR,3pt,Jump Shot,[],1630530,71.17279894875165,12.254901960784313,1610612740,6,4,2024-11-26T00:14:30Z,330000,False,-189.0,218.0,1,right,MISS T. Murphy III 28' pullup 3PT,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,28.87,Missed,,,,,,,,,,,,,,,,,,
34,PT09M10.00S,2024-11-26T00:14:26.6Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,6,4,2024-11-26T00:14:30Z,340000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,33.0,,,,,,,,,,,,,2.0,2.0,0.0,,
35,PT09M00.00S,2024-11-26T00:14:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,4.812746386333772,46.81372549019608,1610612754,8,4,2024-11-26T00:14:40Z,350000,False,16.0,-7.0,1,left,B. Mathurin driving finger roll Layup (2 PTS),[1631097],1610612754.0,IND,driving finger roll,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.75,Made,,,2.0,,,,,,,,,,,,,,,
36,PT08M51.00S,2024-11-26T00:14:45.1Z,1,REGULAR,3pt,Jump Shot,[],203468,74.19513797634691,87.99019607843137,1610612740,8,4,2024-11-26T00:22:43Z,360000,False,190.0,190.0,1,right,MISS C. McCollum 26' step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,26.88,Missed,,,,,,,,,,,,,,,,,,
37,PT08M49.00S,2024-11-26T00:14:47.1Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,8,4,2024-11-26T00:14:49Z,370000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:3),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,36.0,,,,,,,,,,,,,3.0,3.0,0.0,,
38,PT08M42.00S,2024-11-26T00:14:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,3.4986859395532193,49.50980392156863,1610612754,8,4,2024-11-26T00:14:58Z,380000,False,2.0,-20.0,1,left,MISS P. Siakam driving finger roll Layup,[1627783],1610612754.0,IND,driving finger roll,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,1.98,Missed,,,,,,,,,,,,,,,,,,
39,PT08M40.00S,2024-11-26T00:14:56.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612740,8,4,2024-11-26T00:14:58Z,390000,False,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,In The Paint (Non-RA),0-8 Center,,,38.0,,,,,,,,,,,,,1.0,1.0,0.0,,
40,PT08M35.00S,2024-11-26T00:15:02.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630530,93.24901445466492,49.50980392156863,1610612740,8,6,2024-11-26T00:15:09Z,400000,False,-2.0,11.0,1,right,T. Murphy III running DUNK (2 PTS) (E. Payton 3 AST),"[1630530, 203901]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.13,Made,,,2.0,E. Payton,203901.0,3.0,,,,,,,,,,,,
42,PT08M29.00S,2024-11-26T00:15:14.7Z,1,REGULAR,foul,offensive,[],1626167,,,1610612754,8,6,2024-11-26T00:15:27Z,420000,False,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 203901]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,202007.0,,,,,,,,1.0,0.0,Payton,203901.0,,,,,
44,PT08M29.00S,2024-11-26T00:15:14.7Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612754,8,6,2024-11-26T00:15:14Z,440000,False,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,202007.0,,,,,1.0,,,,,,,,,,,
45,PT08M13.00S,2024-11-26T00:15:43.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203901,93.24901445466492,49.01960784313725,1610612740,8,6,2024-11-26T00:15:46Z,450000,False,-5.0,11.0,1,right,MISS E. Payton driving finger roll Layup,[203901],1610612740.0,NOP,driving finger roll,,,Payton,E. Payton,,,,,Restricted Area,0-8 Center,1.2,Missed,,,,,,,,,,,,,,,,,,
46,PT08M11.00S,2024-11-26T00:15:45.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,8,6,2024-11-26T00:15:46Z,460000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,45.0,,,,,,,,,,,,,1.0,1.0,0.0,,
47,PT08M08.00S,2024-11-26T00:15:49.7Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612754,8,6,2024-11-26T00:15:57Z,470000,False,,,0,,D. Theis shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1628464, 1631097]",1610612740.0,NOP,shooting,,,Theis,D. Theis,,,,,Restricted Area,0-8 Center,,,,202007.0,,,,,,,,1.0,0.0,Mathurin,1631097.0,,,,,
49,PT08M08.00S,2024-11-26T00:16:16.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631097,,,1610612754,9,6,2024-11-26T00:16:16Z,490000,False,,,0,,B. Mathurin Free Throw 1 of 2 (3 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,3.0,,,,,,,,,,,,,,,
50,PT08M08.00S,2024-11-26T00:16:40.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631097,,,1610612754,10,6,2024-11-26T00:16:40Z,500000,False,,,0,,B. Mathurin Free Throw 2 of 2 (4 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,4.0,,,,,,,,,,,,,,,
51,PT07M52.00S,2024-11-26T00:16:58.8Z,1,REGULAR,2pt,Jump Shot,[],1630530,72.7496714848883,61.76470588235294,1610612740,10,8,2024-11-26T00:17:32Z,510000,False,59.0,204.0,1,right,T. Murphy III 21' step back Jump Shot (4 PTS) (E. Payton 4 AST),"[1630530, 203901]",1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Center,21.2,Made,,,4.0,E. Payton,203901.0,4.0,,,,,,,,,,,,
53,PT07M39.00S,2024-11-26T00:17:11.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,33.065045992115635,15.931372549019606,1610612754,13,8,2024-11-26T00:17:15Z,530000,False,170.0,258.0,1,left,T. Haliburton 30' 3PT step back (6 PTS),[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,30.94,Made,,,6.0,,,,,,,,,,,,,,,
54,PT07M30.00S,2024-11-26T00:17:21.7Z,1,REGULAR,3pt,Jump Shot,[],1629750,67.36202365308804,20.588235294117645,1610612740,13,8,2024-11-26T00:17:25Z,540000,False,-147.0,254.0,1,right,MISS J. Green 29' 3PT,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,29.38,Missed,,,,,,,,,,,,,,,,,,
55,PT07M28.00S,2024-11-26T00:17:23.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,13,8,2024-11-26T00:17:25Z,550000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,54.0,,,,,,,,,,,,,1.0,1.0,0.0,,
56,PT07M13.00S,2024-11-26T00:17:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,14.799605781865965,48.28431372549019,1610612754,15,8,2024-11-26T00:28:59Z,560000,False,9.0,87.0,1,left,P. Siakam 8' Layup (2 PTS) (M. Turner 1 AST),"[1627783, 1626167]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,8.7,Made,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,
58,PT07M13.00S,2024-11-26T00:17:48.1Z,1,REGULAR,foul,personal,['1freethrow'],1629750,,,1610612754,15,8,2024-11-26T00:17:54Z,580000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Siakam 1 FT),"[1629750, 1627783]",1610612740.0,NOP,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,202901.0,,,,,,,,1.0,0.0,Siakam,1627783.0,,,,,
60,PT07M13.00S,2024-11-26T00:17:58.2Z,1,REGULAR,substitution,out,[],203901,,,1610612754,15,8,2024-11-26T00:18:20Z,600000,False,,,0,,SUB out: E. Payton,[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M13.00S,2024-11-26T00:17:58.2Z,1,REGULAR,substitution,in,[],1630527,,,1610612754,15,8,2024-11-26T00:18:20Z,610000,False,,,0,,SUB in: B. Boston Jr.,[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M13.00S,2024-11-26T00:18:21.0Z,1,REGULAR,freethrow,1 of 1,[],1627783,,,1610612754,16,8,2024-11-26T00:18:21Z,620000,False,,,0,,P. Siakam Free Throw 1 of 1 (3 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,,,3.0,,,,,,,,,,,,,,,
63,PT06M57.00S,2024-11-26T00:18:40.0Z,1,REGULAR,2pt,Jump Shot,[],203468,85.75886990801577,31.862745098039213,1610612740,16,8,2024-11-26T00:18:45Z,630000,False,-91.0,81.0,1,right,MISS C. McCollum 12' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,12.19,Missed,,,,,,,,,,,,,,,,,,
64,PT06M52.00S,2024-11-26T00:18:45.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,16,8,2024-11-26T00:18:45Z,640000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,,,63.0,,,,,,,,,,,,,2.0,2.0,0.0,,
65,PT06M40.00S,2024-11-26T00:18:56.1Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612754,16,8,2024-11-26T00:18:59Z,650000,False,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1629750]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right,,,,,,,,,1.0,Green,1629750.0,,,,,,,,,
66,PT06M40.00S,2024-11-26T00:18:56.1Z,1,REGULAR,steal,,[],1629750,,,1610612740,16,8,2024-11-26T00:18:58Z,660000,False,,,0,,J. Green STEAL (1 STL),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
67,PT06M34.00S,2024-11-26T00:19:02.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203468,93.11760840998686,48.77450980392157,1610612740,16,8,2024-11-26T00:19:36Z,670000,False,-6.0,12.0,1,right,MISS C. McCollum running finger roll Layup,[203468],1610612740.0,NOP,running finger roll,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.36,Missed,,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2024-11-26T00:19:05.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,16,8,2024-11-26T00:19:06Z,680000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,67.0,,,,,,,,,,,,,2.0,2.0,0.0,,
69,PT06M16.00S,2024-11-26T00:19:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,10.726018396846255,45.09803921568628,1610612754,18,8,2024-11-26T00:29:38Z,690000,False,25.0,48.0,1,left,P. Siakam Layup (5 PTS) (T. Haliburton 1 AST),"[1627783, 1630169]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,,,5.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,
71,PT06M15.00S,2024-11-26T00:19:25.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,18,8,2024-11-26T00:19:25Z,710000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M15.00S,2024-11-26T00:21:44.7Z,1,REGULAR,substitution,out,[],1631097,,,1610612740,18,8,2024-11-26T00:22:06Z,720000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
