actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-01-28T00:10:53.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-28T00:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-28T00:10:57.2Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2026-01-28T00:10:57Z,40000,False,,,0,,Jump Ball D. Clingan vs. A. Sarr: Tip to D. Avdija,"[1630166, 1642270, 1642259]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-28T00:11:13.7Z,1,REGULAR,3pt,Jump Shot,[],1641739,32.14520367936925,65.19607843137256,1610612757,0,3,2026-01-28T00:11:57Z,70000,False,-76.0,250.0,1,left,T. Camara 26' 3PT step back (3 PTS),[1641739],1610612757.0,POR,step back,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,26.1,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2026-01-28T00:11:34.3Z,1,REGULAR,turnover,out-of-bounds,[],1642259,,,1610612764,0,3,2026-01-28T00:12:49Z,80000,False,,,0,,A. Sarr lost ball out-of-bounds TURNOVER (1 TO),[1642259],1610612764.0,WAS,lost ball,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Left,,,,2534.0,1.0,,,,,,,,,,,,,,,
9,PT11M13.00S,2026-01-28T00:11:46.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642270,32.40801576872536,31.127450980392158,1610612757,0,3,2026-01-28T00:12:00Z,90000,False,94.0,252.0,1,left,MISS D. Clingan 26' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,26.92,Missed,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2026-01-28T00:11:50.2Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,0,3,2026-01-28T00:11:50Z,100000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M02.00S,2026-01-28T00:11:56.8Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1641739,15.325229960578188,28.921568627450984,1610612757,0,3,2026-01-28T00:13:45Z,110000,False,105.0,92.0,1,left,MISS T. Camara 13' driving floating Shot,[1641739],1610612757.0,POR,driving floating,,,Camara,T. Camara,,,,,Mid-Range,8-16 Right,13.96,Missed,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2026-01-28T00:11:58.8Z,1,REGULAR,rebound,offensive,[],201950,,,1610612757,0,3,2026-01-28T00:13:45Z,120000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Right,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT10M58.00S,2026-01-28T00:12:01.6Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612757,0,3,2026-01-28T00:12:07Z,130000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1642273]",1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,1.0,,,,,George,1642273.0,,,,,,,,,
14,PT10M58.00S,2026-01-28T00:12:01.6Z,1,REGULAR,steal,,[],1642273,,,1610612764,0,3,2026-01-28T00:13:44Z,140000,False,,,0,,K. George STEAL (1 STL),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
