actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-02T00:10:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-02T00:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-02T00:10:49.8Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612764,0,0,2025-12-02T00:10:49Z,40000,False,,,0,,Jump Ball M. Bagley III vs. M. Turner: Tip to C. McCollum,"[203468, 1628963, 1626167]",1610612764.0,WAS,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Bagley III,1628963.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-12-02T00:11:08.6Z,1,REGULAR,foul,personal,['2freethrow'],1631157,,,1610612764,0,0,2025-12-02T00:11:17Z,70000,False,,,0,,R. Rollins shooting personal FOUL (1 PF) (McCollum 2 FT),"[1631157, 203468]",1610612749.0,MIL,shooting,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),8-16 Center,1628484.0,1.0,0.0,McCollum,203468.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2025-12-02T00:11:29.1Z,1,REGULAR,freethrow,1 of 2,[],203468,,,1610612764,0,0,2025-12-02T00:11:29Z,90000,False,,,0,,MISS C. McCollum Free Throw 1 of 2,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M40.00S,2025-12-02T00:11:29.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,0,0,2025-12-02T00:11:29Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M40.00S,2025-12-02T00:11:43.6Z,1,REGULAR,freethrow,2 of 2,[],203468,,,1610612764,1,0,2025-12-02T00:11:43Z,110000,False,,,0,,C. McCollum Free Throw 2 of 2 (1 PTS),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M16.00S,2025-12-02T00:12:08.7Z,1,REGULAR,2pt,Jump Shot,[],203507,12.697109067017081,25.49019607843137,1610612749,1,2,2025-12-02T00:12:13Z,120000,False,123.0,67.0,1,left,G. Antetokounmpo 13' fadeaway Jump Shot (2 PTS) (M. Turner 1 AST),"[203507, 1626167]",1610612749.0,MIL,fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,,,,,,Made,,2.0,13.96,M. Turner,1626167.0,1.0,,,,,,,,
14,PT11M06.00S,2025-12-02T00:12:19.1Z,1,REGULAR,3pt,Jump Shot,[],1642273,77.34888304862024,90.93137254901961,1610612764,1,2,2025-12-02T00:12:23Z,140000,False,205.0,160.0,1,right,MISS K. George 26' 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,26.01,,,,,,,,,,,
15,PT11M03.00S,2025-12-02T00:12:22.1Z,1,REGULAR,rebound,defensive,[],1631157,,,1610612749,1,2,2025-12-02T00:12:23Z,150000,False,,,0,,R. Rollins REBOUND (Off:0 Def:1),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,,,,,,1.0,1.0,0.0,,,,,
16,PT10M45.00S,2025-12-02T00:12:39.8Z,1,REGULAR,2pt,Jump Shot,[],1629645,24.26084099868594,38.970588235294116,1610612749,1,2,2025-12-02T00:12:43Z,160000,False,55.0,176.0,1,left,MISS K. Porter Jr. 18' pullup Shot,[1629645],1610612749.0,MIL,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,18.4,,,,,,,,,,,
