actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-01T00:12:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-01T00:12:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-03-01T00:12:39.5Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2026-03-01T00:12:39Z,40000,False,,,0,,Jump Ball T. Vukcevic vs. J. Poeltl: Tip to B. Carrington,"[1642267, 1641774, 1627751]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Vukcevic,1641774.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-03-01T00:12:56.8Z,1,REGULAR,turnover,out-of-bounds,[],1641731,,,1610612764,0,0,2026-03-01T00:13:03Z,70000,False,,,0,,B. Coulibaly bad pass out-of-bounds TURNOVER (1 TO),[1641731],1610612764.0,WAS,bad pass,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Right,1201.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2026-03-01T00:13:17.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,68.80749014454665,21.568627450980394,1610612761,0,0,2026-03-01T00:13:21Z,80000,False,-142.0,241.0,1,right,MISS R. Barrett 27' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,27.96,Missed,,,,,,,,,,,,,,,,
9,PT11M20.00S,2026-03-01T00:13:20.8Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,0,0,2026-03-01T00:13:21Z,90000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M06.00S,2026-03-01T00:13:34.8Z,1,REGULAR,3pt,Jump Shot,[],1642848,33.590670170827856,15.931372549019606,1610612764,0,0,2026-03-01T00:13:41Z,100000,False,170.0,263.0,1,left,MISS T. Johnson 31' 3PT,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Right Center,,,31.36,Missed,,,,,,,,,,,,,,,,
11,PT11M03.00S,2026-03-01T00:13:37.8Z,1,REGULAR,rebound,offensive,[],1641774,,,1610612764,0,0,2026-03-01T00:13:41Z,110000,False,,,0,,T. Vukcevic REBOUND (Off:1 Def:0),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Right Center,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,
12,PT10M59.00S,2026-03-01T00:13:42.1Z,1,REGULAR,turnover,bad pass,[],1642267,,,1610612764,0,0,2026-03-01T00:13:46Z,120000,False,,,0,,B. Carrington bad pass TURNOVER (1 TO),"[1642267, 1627742]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,Ingram,1627742.0,,,,,,,,,,
13,PT10M59.00S,2026-03-01T00:13:42.1Z,1,REGULAR,steal,,[],1627742,,,1610612761,0,0,2026-03-01T00:13:43Z,130000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2026-03-01T00:13:48.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1627742,84.97043363994744,8.088235294117647,1610612761,0,2,2026-03-01T00:14:26Z,140000,False,-210.0,89.0,1,right,B. Ingram 22' running Jump Shot (2 PTS) (R. Barrett 1 AST),"[1627742, 1629628]",1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left,,,22.76,Made,,,,,,,2.0,R. Barrett,1629628.0,1.0,,,,,,
